"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"74e0aa4a3fe0b450d351b80418518a7239a1ecda","@","@","Jaguar Server","@","","v 1.08; Copyright Public Domain","1996","Istari Software","@","","[JagOS]","","","","","","",""
"@",,"752d6e1ed185f9db49230f42319a573a44e32397","@","@","Bubsy in Fractured Furry Tails","@","","","1994","Atari","@","","","","","","","","",""
"@",,"75ee0ab0daba31284a1dff27f3c247885f5a427a","@","@","Power Drive Rally","@","","","1995","Time Warner","@","","","","","","","","",""
"@",,"76e84258ed422079ef70068762a568ff15c42815","@","@","Badcode0","@","","Copyright Public Domain","1999","Badcoder","@","","[JAG]","","","","","","",""
"@",,"77984fc234d14a9d66fc87828ba50faf09bbc014","@","@","Badcode4c","@","","Copyright Public Domain","2000","Badcoder","@","a","a 1","","","","","","",""
"@",,"77c5b429882da81ba2e502577d8ed5c18fde143b","@","@","PAULA Preview Demo","@","","Copyright Public Domain","19xx","Robert Jurziga","@","","","","","","","","",""
"@",,"77e854a9bd9d021c3a82e734c8b17b59a1734beb","@","@","Badcode4m","@","","Copyright Public Domain","2001","Badcoder","@","a","a 2","","","","","","",""
"@",,"7fa1ff299df7e792920b62a2ab70898ac06d8215","@","@","Jaguar Server Intro Mod","@","","Copyright Public Domain","199x","@","@","","","","","","","","",""
"@",,"80837205dd1c202a251517c3a9a60e145fa5c2da","@","@","Badcode4m","@","","Copyright Public Domain","2001","Badcoder","@","a","a 1","","","","","","",""
"@",,"816b5935efcd5cd797cab96866b81b47057bb4ee","@","@","Ladybug Demo","@","","Copyright Public Domain","199x","@","@","","[ROM]","","","","","","",""
"@",,"824613451be0b99020fc02e5dba15c45e76fc8c2","@","@","Flashback","@","","","1995","Atari","@","","","","","","","","",""
"@",,"82cc0af50325e30590874889e0db12cb60e655db","@","@","Badcode4c","@","","Copyright Public Domain","2000","Badcoder","@","","","","","","","","",""
"@",,"8377ff6c6527721e2e7f8458314d782925ce4590","@","@","Atari Jaguar Stubulator '93 BIOS","@","","","199x","Atari","@","","","","","","","","",""
"@",,"839646eaaa19608df140a4e6c5ace0300852e67a","@","@","Native Demo","@","","Copyright Public Domain","1997","@","@","a","a 1","","","","","","",""
"@",,"839c2a25e1c15a7a43eda9eb18e0dca0c5ba563b","@","@","DEMO1B","@","","Copyright Public Domain","199x","@","@","","","","","","","","",""
"@",,"87821a625222331827ce0ac10b464a25f844912d","@","@","Phase Zero","@","","Copyright Public Domain","2000","@","@","","[JAG]","","","","","","",""
"@",,"886cbbaa434d6e1e7fc4401bb6d176c2788c4d19","@","@","Flip Out","@","","","1995","Atari","@","","","","","","","","",""
"@",,"88e86085932af10dfb8c94032f73a5992a30b55c","@","@","Trevor McFur in the Crescent Galaxy","@","","","1993","Atari","@","","","","","","","","",""
"@",,"893c880a4c360d03d4d97832862e085d99ec427e","@","@","Jagmania: April 18th","@","","Copyright Public Domain","1998","Matthias Domin","@","","","","","","","","",""
"@",,"8967081069be98b9ee2395c8f8008c6d1dbe4698","@","@","Arkanna","@","","Copyright Public Domain","199x","@","@","","","","","","","","",""
"@",,"8bdefc60dd1734315e1c145e29abf41800f908cb","@","@","Iron Soldier","@","","","1994","Atari","@","","","","","","","","",""
"@",,"8c4fc02677b2eaa125ad0519c7b45986dd5f2f79","@","@","Atari Jaguar CD BIOS","@","","","1994","Atari","@","b","b 1","","","","","","",""
"@",,"8dbcfc0f5a891a9d43ab3991aa7709b90f213c9a","@","@","Ladybug Demo","@","","Copyright Public Domain","199x","@","@","","[JAG]","","","","","","",""
"@",,"91b0dd2188ecedd220cb75fb9c25f4aa448efdaa","@","@","Jaguar Server Scale 3","@","","Copyright Public Domain","199x","@","@","","","","","","","","",""
"@",,"9278b1e2e08eddac132bc8db66cba93b0d2aaad9","@","@","Demo 3","@","","Copyright Public Domain","2000","Jaguar Development Club","@","","","","","","","","",""
"@",,"930d9061067cc46a7df20e60ff25b8808c9ec16c","@","@","Jagmarble","@","","Copyright Public Domain","1997","Matthias Domin","@","","","","","","","","",""
"@",,"93b408cf3473c0b7dbe6b0dd17939ad23e640b0c","@","@","Jaguar Server 50Hz","@","","Copyright Public Domain","199x","@","@","","","","","","","","",""
"@",,"94e615e7a57f7c08645322870121bb32310298f5","@","@","Hover Strike","@","","","1995","Atari","@","","","","","","","","",""
"@",,"9a58bc0c8843fd00a2871c01b91fec206408bf80","@","@","Super Burnout","@","","","1995","Atari","@","","","","","","","","",""
"@",,"9c96e6c2195ce56aa930e677a041b35bd9b8bc7e","@","@","Atari Karts","@","","","1995","Atari","@","","","","","","","","",""
"@",,"9cfc25c7b1ef22ca7ce8bdbce15d99d0bc30e2c6","@","@","Memory Dump","@","","","199x","Matthias Domin","@","","","","","","","","",""
"@",,"9d2f894da3f25944c2f33e3a109ae8d0d951d329","@","@","Raiden","@","","","1994","Atari","@","","","","","","","","",""
"@",,"9df793ef7b4af6553fa36e6cf3ca2d2735a0f132","@","@","JagCube","@","","Copyright Public Domain","199x","@","@","","","","","","","","",""
"@",,"9f5b8844d58bb1c174da4824eabbfd8616ba28d2","@","@","Fight For Your Life","@","","","1996","Atari","@","","","","","","","","",""
"@",,"a226086571c857f3796fd664bbc2c8fe99c78224","@","@","Syndicate","@","","","1995","Ocean","@","","","","","","","","",""
"@",,"a4e1c670f4fa5202a47a825eff94bf824fcd0ec8","@","@","DEMO1","@","","Copyright Public Domain","199x","@","@","","[JAG]","","","","","","",""
"@",,"a6decc76430757c426bfbcdac8c081c324fb574f","@","@","Chroma Luma Colors Picker","@","","Copyright Public Domain","1996","Matthias Domin","@","","","","","","","","",""
"@",,"a75d148d2d74a1efc126666c55fcd6355781014c","@","@","BadCode4 Modified","@","","Copyright Public Domain","2000","Badcoder","@","","[BIN]","","","","","","",""
"@",,"acac48abbd7ea15b644a6b24d1a54f49eaca1959","@","@","BadCode4 Modified","@","","Copyright Public Domain","2000","Badcoder","@","","[JAG]","","","","","","",""
"@",,"acd8d516317cf9d5d55a6e06d67a860319f034e0","@","@","Hubble Fade","@","","Copyright Public Domain","199x","Robert Jurziga","@","","","","","","","","",""
"@",,"ad7fc45372b66a6b5db219c4914e6594bf924eba","@","@","Badcode4","@","","Copyright Public Domain","2000","Badcoder","@","a","a 1","","","","","","",""
"@",,"ae9b9952ad52cff22ccf8bd2d677cf096e4055cb","@","@","The Assassin","@","Assassin, The","v 1.0; Copyright Public Domain","199x","OMC Games","@","","","","","","","","",""
"@",,"af643900fea84234e08b616a6d27f03f0a61db96","@","@","Atari Jaguar BIOS","@","","","1994","Atari","@","","","","","","","","",""
"@",,"b1cb2379916ad43708ca8268e921563f68a2a303","@","@","Viewgif 2","@","","Copyright Public Domain","19xx","@","@","","","","","","","","",""
"@",,"b23cc6643ad742955382736dcf7ffc4a307f80b9","@","@","E2prom-Browser","@","","v 1.1","19xx","Matthias Domin","@","","","","","","","","",""
"@",,"b6879f850a406187b7f9a3222db35266ae009e2f","@","@","SlamRacer Intro","@","","Copyright Public Domain","19xx","@","@","","","","","","","","",""
"@",,"b75332ba734ca041c3be86f2f8cfefe1cf74096d","@","@","CES Demo","@","","Copyright Public Domain","199x","@","@","","[$802000]","","","","","","",""
"@",,"b867b754d36adc8ca23904eb34f0192b3a5c8b0a","@","@","SlamRacer Demo","@","","Copyright Public Domain","19xx","@","@","","","","","","","","",""
"@",,"b8a465846691a8fba4c668aae8bf99a1ff89010a","@","@","Jag Pattern","@","","Copyright Public Domain","199x","@","@","","[$4000]","","","","","","",""
"@",,"b9ba39a91bc737916a12d5440e5db1a235371094","@","@","Badcode3","@","","Copyright Public Domain","2000","Badcoder","@","","","","","","","","",""
"@",,"b9c8ff2d26fe1e91ecd6d59b9f3f76c5b5650f26","@","@","NBA Jam TE","@","","","1996","High Voltage Software","@","","","","","","","","",""
"@",,"bbfb3c09d42ce70e649b4930196883c210d64b7c","@","@","DEMO1","@","","Copyright Public Domain","199x","@","@","","[BIN]","","","","","","",""
"@",,"bf2a5a3742330f6d463beb239bedb77c805caa3d","@","@","Iron Soldier","@","","","1994","Atari","@","a","a 1","","","","","","",""
"@",,"c0e56d493647cc5ad8c571277c5dd61cd531dfe1","@","@","Blitter 2","@","","Copyright Public Domain","199x","@","@","","","","","","","","",""
"@",,"c2cb687ff79eebce9af8d547337296de38b408c8","@","@","CRZ Demo","@","","Copyright Public Domain","199x","@","@","","","","","","","","",""
"@",,"c4a3e81ea8156d6ca20990f451a027cfa84212f5","@","@","JSS Demo","@","","Copyright Public Domain","2002","@","@","","","","","","","","",""
"@",,"c4d176b2a584ab871e75f563723acc1e9274172a","@","@","BadCode2","@","","Copyright Public Domain","2000","Badcoder","@","","[COF]","","","","","","",""
"@",,"c71e0bc9eeed8670c6e7ccc7a0fe3b815d7bac83","@","@","Super Cross 3D","@","","","1995","Atari","@","a","a 1","","","","","","",""
"@",,"c888594306f15797b9ce3caa88c06c72104f8b74","@","@","Super Cross 3D","@","","","1995","Atari","@","","","","","","","","",""
"@",,"d05bf492b6165f074a7169bf196d3753797a6854","@","@","Atari Jaguar Object Processor Tester","@","","v 2; Copyright Public Domain","19xx","Lars Hannig","@","","","","","","","","",""
"@",,"d1e0ff2e65214302f214026b2153586f015bf93f","@","@","Joypad Tester","@","","Copyright Public Domain","2000","Matthias Domin","@","a","a 1","","","","","","",""
"@",,"d22912992fd966365a1221886e0fc5303ef04a59","@","@","Rayman","@","","","1995","Ubisoft Entertainment","@","","","","","","","","",""
"@",,"d3529c8bdf26b9767c0cf4e35c2f0cafb0108ebf","@","@","DEMO1","@","","Copyright Public Domain","199x","@","@","","[ROM]","","","","","","",""
"@",,"d61b7b5912118f114ef00cf44966a5ef62e455a5","@","@","Atari Jaguar CD Developer BIOS","@","","","1994","Atari","@","","","","","","","","",""
"@",,"d66b4e5f9ac27d53f0d781c741e420698630b9fc","@","@","Double Dragon V","@","","","1995","Atari","@","","","","","","","","",""
"@",,"da366ede25da13e945ff4f78ec440fcd2becb73b","@","@","Chroma Luma Colors Picker","@","","Copyright Public Domain","1996","Matthias Domin","@","a","a 1","","","","","","",""
"@",,"da7f5dac4317ab0258f54da436abb8d89e530f27","@","@","Dragon: The Bruce Lee Story","@","","","1994","Atari","@","","","","","","","","",""
"@",,"db686ee2db1308456c7b49dc81bf858632aec7a2","@","@","PAULA Preview Demo 2","@","","Copyright Public Domain","19xx","Robert Jurziga","@","","","","","","","","",""
"@",,"dbb54254d9b66fa69be717b9b6a6665aaa7af71e","@","@","96Kb Demo","@","","Copyright Public Domain","19xx","Mr Spock","@","","[$4000]","","","","","","",""
"@",,"dd63d3a20c44e53f3608e52b1d2dccc10b8ac604","@","@","JagMania","@","","Copyright Public Domain","200x","@","@","","","","","","","","",""
"@",,"dd708a824ebbf2e28afbb2693b240783a0948d98","@","@","Demo 1","@","","Copyright Public Domain","2000","Jaguar Development Club","@","","","","","","","","",""
"@",,"dd9b07630c3b350f7572c2e0451110cde43c8e04","@","@","Text Engin","@","","v 1.0; Copyright Public Domain","19xx","Edge Designs","@","","","","","","","","",""
"@",,"e00ab55f555fd1fe63b4fce66a9b8ffe3485963e","@","@","Cybermorph","@","","","1993","Atari","@","","","","","","","","",""
"@",,"e0db2fdea7f95743c1ef452b7d289f5fe8158e33","@","@","Ruiner Pinball","@","","","1995","Atari","@","","","","","","","","",""
"@",,"e3bd433bc4a573f3b05652239a6614c3878a04d1","@","@","Ultra Vortex","@","","(beta)","1995","Beyond Games","@","","","","","","","","",""
