"Group","SHA1","ID","Folder","FileName","Title","Media Filename","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"@",,"037b677a369fc892e08c268a8334d7f48b1fa05c","@","@","Tekichuu Rush","@","","","1993","Nippon Clary Business","jp","","","","","","","","",""
"@",,"03848a74502f4571bec20b42adab86ded357af81","@","@","Othello","@","","","1991","Tsukuda","eu,us","","","","","","","","",""
"@",,"039da1616e1a179aeda7186d6cc1955149f49581","@","@","Ikari no Yousai","@","","Language en","1991","Jaleco","jp","","","","","","","","",""
"@",,"03c52b4d076419139639d0c876aac7b458e5069b","@","@","Mega Man","@","","","1991","Capcom","us","","","","","","","","","5"
"@",,"03eb3a9a2af1e24e7de9de21a13dc677f46b06ce","@","@","WWF Raw","@","","","1994","LJN","@","","","","","","","","",""
"@",,"03f93a149328aa6df2fefbc29cf44039391d4d92","@","@","Killer Instinct","@","","","1995","Nintendo-Rare","@","o","o 1","","","","","","",""
"@",,"04227fcd3e049465f4499fefe6519322ee492a82","@","@","Toy Story","@","","v rev1","1996","THQ","us","","","","","","","","",""
"@",,"04290465d0326abaabb8643f4c9dfab743d89ba7","@","@","NBA Jam: Tournament Edition","@","","","1995","Acclaim","eu,us","b","b 1","","","","","","",""
"@",,"04313e0d2424e33ac2385dd413c31ca6eb978929","@","@","Soccer Mania","@","","","1991","Sony","us","o","o 1","","","","","","",""
"@",,"043d29ede2af013c000ff650231c10b3f62d7aca","@","@","The Lion King","@","Lion King, The","","1994","Virgin","eu","","","","","","","","",""
"@",,"0444e64d8001a5d3d9317e037b8b2272c5909d87","@","@","Hatris","@","","","1990","Bullet-Proof","@","a","a 1","","","","","","",""
"@",,"046563c6becff2c55c68847938a435dd4743975c","@","@","Z Kai: Kyukyoku No Kobun Tango","@","","","1998","Imagineer","jp","","","","","","","","",""
"@",,"0476deee81a97e485bea50d8d33f7e9031dbc5ed","@","@","Konami GB Collection Vol.1","@","","","1997","Konami","jp","o","o 1","","","","","","",""
"@",,"04861fba1269780bc5744ea100b449655e2c834c","@","@","Dennis the Menace","@","","","1993","Ocean","us","b","b 2","","","","","","",""
"@",,"04942da53df2277539b9d9974faa9b9e0949fb29","@","@","Teenage Mutant Hero Turtles II: Back from the Sewers","@","","","1992","Konami","eu","b","b 1","","","","","","",""
"@",,"049979d5a21a620d38b117662764a7b5e1ad7f14","@","@","Game Boy Wars","@","","","1990","Nintendo","jp","b","b 1","","","","","","",""
"@",,"04a4c6967d1938235731b7e42953717d15d070f8","@","@","Monster Maker 2","@","","","1993","Sofel","jp","a","a 1","","","","","","",""
