"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"@",,"02d33e5378fd78b17b84d6744b9058f36afba84e","@","@","Super Directory","@","","","19xx","@","@","","","","","","","","",""
"@",,"02d413a1e35bc5943f2e90472330ddfce53b09c8","@","@","Bomber Run","@","","","1983","K-Tel","@","","","","","","","","ultipart",""
"@",,"02d772d716f1b16079c0316b913a5c095e16460d","@","@","Kanonade","@","","Language de","1982","Commodore","@","","[3k]","","","","","","",""
"@",,"02de6db53c9ebb0420777390194a7332dff8dfc0","@","@","Wurmi","@","","","1987","Hunold, Peter","@","","[16k]","","","","","","ultipart",""
"@",,"0325a7ea562c02308597113364fa28a5c2ff779e","@","@","Panic","@","","","1982","Bug-Byte","@","","","","","","","","",""
"@",,"033cba79c628924f4cd980c005d5e2c0bf1d6978","@","@","Space Storm","@","","","1982","Rabbit","@","","","","","","","","",""
"@",,"0341f9d9fa3e7f774b2983cee07d931a757c4506","@","@","Mozart Machine","@","","","19xx","@","@","","","","","","","","",""
"@",,"0346916eec6e82b5a4145dbfde87f98db1cd2944","@","@","Mutant Herd","@","","Video PAL","1982","Thorn EMI","@","a","a 2; [A000]","","","","","","",""
"@",,"034c90160a4bcaf23831bf5b519cbfba8b550b98","@","@","Topografie","@","","Language nl","19xx","@","@","","","","","","","","ultipart",""
"@",,"03528d3c2b25284d88550afac83691833de2df0c","@","@","Vixplode","@","","","1983","Abrasco","@","","","","","","","","",""
"@",,"036ffec61ab801f469c37dd12ddf6d53ce97249c","@","@","Breakout","@","","","1982","Commodore","@","a","a 1","","","","","","",""
"@",,"03801024beb268dd1c3d359355be4d260e232788","@","@","Filelock","@","","Language nl","19xx","@","@","","","","","","","","",""
"@",,"0387a47e0008a50acf8298a23b5ec0c8485940eb","@","@","Paratroopers","@","","","1982","Rabbit","@","","","","","","","","ultipart","1"
"@",,"039b6b4ebac69e48a3823011d78470d8d338bdfb","@","@","Princess and Frog","@","","Video NTSC","1983","Romox","@","","[A000]","","","","","","",""
"@",,"03ae9cbc43fd84bb1699f441d97d582f16f27d43","@","@","Blam!","@","","","1983/12","Compute!","@","","[Compute!'s Gazette]","","ype-in","","","","",""
"@",,"03b274255f9aebd7a91fca0e7c9e4bd6291a624b","@","@","Moon Patrol","@","","","1995","Kircher, Michael","@","","","","","","","","",""
"@",,"03c0a68894781a11d9b7494cf4206a7cb9aabbfb","@","@","Character Assassination","@","","Video NTSC","1985/06","Compute!","@","","[Compute!'s Gazette]","","ype-in","","","","",""
"@",,"03c9d4453390d37e71e345faa409eb01a1cfeff9","@","@","Mission Impossible","@","","","1981","Commodore","@","b","b 1; [SYS 32592]; [4000]","","","","","","",""
"@",,"03d86748f968bea5c2cf08aa550ef8099b642690","@","@","Mosquito","@","","","1984","Atlantis","@","","","","","","","","",""
"@",,"03db57ba8ccdabf2fc746d4fb069430e8b5f8b0e","@","@","Jeeper's","@","","Language de","1987/04","Tronic Verlag","@","","[Compute mit]; [8k]","","ype-in","","","","ultipart",""
"@",,"03fe68d9955b519e7d121e02d120d075e3ea7ca8","@","@","Alphabet Zoo","@","","Video NTSC","1982","HES","@","","[A000]","","","","","","ultipart",""
"@",,"03fe74e84a66626401f131cf2ddc65cf6ce768b1","@","@","Radar Landing","@","","","1983","Cascade","@","","","","","","","","",""
"@",,"041bb709da0c994ca113f0ae8d75f2a8b7e3c9df","@","@","VIC Wedge","@","","","19xx","Hook, Davic A.","@","","","","","","","","",""
"@",,"0432498f422db60251ab466a614a86e705d93b35","@","@","Skramble","@","","","1982","Rabbit","@","a","a 1","","","","","","",""
"@",,"043297fbf8d0126f7c431a8d779e37eb51c4d030","@","@","Chopper","@","","","1982","Sumlock","@","","","","","","","","",""
"@",,"0432f1719422f385ededb98e0739bdcbccafc12c","@","@","Arcadia","@","","Video PAL","1982","Imagine","@","a","a 1; [A000]","","","","","","",""
"@",,"0439228bc097bce5e6582228c8718260b734ca82","@","@","Tacco","@","","Language de","1984/09","Markt & Technik","@","","[Happy Computer]","","ype-in","","","","",""
"@",,"04411a7f8d8a4f56744a1f76954ffb17fe58af98","@","@","Snakman","@","","","1981","Microdigital","@","","","","","","","","",""
"@",,"045306a1481067b5ac94bdf3208df192d440ec55","@","@","Snake","@","","","19xx","Rowe, Pete","@","u","u nreleased; [Commodore PET]","","","","","","","Malmber, David"
"@",,"045661ca13c43655e5f830dd87607044e8bc88b7","@","@","Catcha Troopa","@","","","1983","Abrasco","@","a","a 1","","","","","","",""
"@",,"045ac693c7d11279355cdac4b66a858887f056f3","@","@","Locos","@","","","1986/01","Tronic Verlag","@","","[Compute mit]","","ype-in","","","","",""
"@",,"045d5a1147dc2d8aa87c4c609c928db7ce049ffa","@","@","Penco","@","","Language de","1986/03","Markt & Technik","@","","[64'er Magazin Sonderheft]; [8k]","","ype-in","","","","ultipart",""
"@",,"045f42d06a3066078ccf26fd0f3bac4103e5b24b","@","@","Snertle","@","","","1984/05","Compute!","@","","","","ype-in","","","","",""
"@",,"0466cde5eabeaa77331adacbb95d00643f380bca","@","@","Hide and Seek","@","","","1983","ASK","@","","[16k]","","","","","","",""
"@",,"0467ea6c1ec52ae4a1d0a5f03a0688d683910a57","@","@","Takeover","@","","","2011","Ubiali, Alessandro","@","o","o nefile version; [16k]","","","","","","",""
"@",,"048996a8099d4045d8a4c22ba4a99c0d7714147d","@","@","Car Race","@","","","1982","Hayden Book Company","@","","","","","nl","","","",""
"@",,"0491a1182675ac7a608b0adf93bdb96538b998cf","@","@","Sword of Hrakel","@","","","1983","Romik","@","","[8k]","","","","","","",""
"@",,"04be4448117bf5a4f62af5b20329dcb33e32bbfd","@","@","Torg","@","","","1982","HES","@","","","","","","","","",""
"@",,"04c3386060c885a177d57db85d421af2737b02c6","@","@","At the Circus","@","","","1982","Sumlock","@","","[3k]","","","","","","",""
"@",,"04ce8e475781b9ba81457dea60d575c5b864c58f","@","@","Face Maker","@","","Video NTSC-PAL","1983","HES","@","a","a 2; [A000]","","","","","","",""
"@",,"04d64fd2d013a6248e3d0a11b2c79f107e75ce6a","@","@","Worm-Out II","@","","","1990","System Four","@","","[diff.]","","","","","","",""
