"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"@",,"31e617dcc0a6d6797dd955cbf65fce7fa2ef28db","@","@","Apple III Software Revision Utility vA01","@","","","1983/02/01","Apple Computer","@","","","","","","","","",""
"@",,"3275b7e9b072abce062d8f2717c46ab5e9b8a0dd","@","@","Bankcalc #3","@","","Copyright Public Domain; (Side A)","19xx","WAP III SIG","@","","[3AZW-09]","","","","","","",""
"@",,"336aea30782a6dbb2835cf41af2f9311dbb44453","@","@","Original Apple II Emulation Disk","@","","Copyright Public Domain; (Side A & B)","19xx","WAP III SIG","@","","[3EMM-01]","","","","","","",""
"@",,"34bae04379843a568e7117473f3b14857831d307","@","@","Typewriter Art Disk II by Bloom","@","","Copyright Public Domain; (Side A)","19xx","WAP III SIG","@","","[BLM-23]","","","","","","",""
"@",,"37d187a176f74751141f134397510283615ccfc0","@","@","CONPATH by Bloom","@","","Copyright Public Domain; (Side B)","19xx","WAP III SIG","@","","[3BLM-14]","","","","","","",""
"@",,"3a4b84e8a6b7ce2f9d79b3ee79c63337363950c1","@","@","Disk Window III","@","","Copyright Public Domain; (Side A)","19xx","WAP III SIG","@","","[3DAD-05]","","","","","","",""
"@",,"3a65e91ca5c73094b0f7175d3ae9d3bcf278adfa","@","@","Video Catalog","@","","Copyright Public Domain; (Disk 1 of 2); (Side A)","19xx","WAP III SIG","@","","[3AZW-10]","","","","","","",""
"@",,"3a88a3bf8bb1e6948010203ea7e64ce557031184","@","@","Apple Business BASIC","@","","v 1.1","1981","Apple Computer","@","","","","","","","","",""
"@",,"3ae216be415df74745e4ac399a9af230349d9fbd","@","@","Programmers Power Tools","@","","Copyright Public Domain; (Side A)","19xx","WAP III SIG","@","","[3BSB-12]","","","","","","",""
"@",,"3bab997a8f0213fb9744673741d4ca11138a4992","@","@","Accounting & Finance Templates","@","","Copyright Public Domain; (Side A); (Tessell Accounting System)","19xx","WAP III SIG","@","","[3AZW-03]","","","","","","",""
"@",,"3d9f16244811cf1f2601746d9a123cbc30ec2f9c","@","@","Pohlman","@","","Copyright Public Domain; (Disk 2 of 5); (Side A)","19xx","WAP III SIG","@","","[3BSB-04]","","","","","","",""
"@",,"420d7d26889063a44d40abdf6e5e913e2cefc111","@","@","Mail List Manager Utilities by Bloom","@","","Copyright Public Domain; (Disk 1 of 3); (Side A)","19xx","WAP III SIG","@","","[3BLM-08]","","","","","","",""
"@",,"42a0544f89100141016d8fbd61468791de530b4b","@","@","Power Cat and BASIC XRF","@","","Copyright Public Domain; (Side A); (Power Cat)","19xx","WAP III SIG","@","","[3DAD-07]","","","","","","",""
"@",,"432446f853b7541e617e256c49032833a33d9b5f","@","@","Pohlman","@","","Copyright Public Domain; (Disk 5 of 5); (Side A)","19xx","WAP III SIG","@","","[3BSB-07]","","","","","","",""
"@",,"4331344bd7ca8ccbb76a96dfeb17bb76828e72e3","@","@","Reviews by Bloom","@","","Copyright Public Domain; (Side A)","19xx","WAP III SIG","@","","[3BLM-04]","","","","","","",""
"@",,"46654d489ed6419c4d7fa939c3cc6871a5700e9d","@","@","D3.Backup by Bloom","@","","Copyright Public Domain; (Side A)","19xx","WAP III SIG","@","","[3BLM-26]","","","","","","",""
"@",,"48a6974b4d486c8ad81a9ee0f2b96ac778287299","@","@","Mail List Manager Utilities Manual by Bloom","@","","Copyright Public Domain; (Side B)","19xx","WAP III SIG","@","","[3BLM-07]","","","","","","",""
"@",,"48f08e89fe1acffe7d9bbdf9c42936b7be7fa179","@","@","ParishWorks","@","","Copyright Public Domain; (Disk 1 of 4); (Side A)","19xx","WAP III SIG","@","","[3AZW-12]","","","","","","",""
