"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,0e1632b4ac51abe98fe8ffa93a2f8f70a39d44a1,@,@,Mazy,,,,2021/10/10,Inufuto,jp,,,,,,,,,
@,,0e8f2ec5d263210c14bf8cddef69e60e602df535,@,@,"California Games",,,,1989,"Epyx / Sega",,b,,,,,,,,
@,,0e9f012ad91c8c4ef1b09f182a20a4fb13af59f3,@,@,"Castle of Illusion Starring Mickey Mouse",,,,1990,"Disney / Sega",us,,,,,fr,,,,
@,,0f11b9d7d6d16b09f7be0dace3b6c7d3524da725,@,@,"Super Monaco GP",,,,1990,Sega,,,,,,,,,,
@,,0f21d0f830686e83b112de3202238ccbb9fb0efe,@,@,"Wonder Boy III",,,,1989,Sega,,,,,,,,,,1
@,,0f60f545ce99366860a94fbb115ce7d8531ab7ba,@,@,"F-16 Fighting Falcon",,,,1985,"ASCII / Sega",jp,,,,,,,,,
@,,0f825f7f0d0259ce14169bc343e4cf26536996a8,@,@,"Sub Rescue",,,v0.2,2021/03/21,haroldo-ok,,,,,,,,,,
@,,0f995079fdc89114cf7eb64d382b6097a10c0eec,@,@,"R.C. Grand Prix",,,,1989,"Absolute Entertainment",,,,,,pt,,,,
@,,0fa1156931c83763bc6906efce75045327cdd7aa,@,@,"Basket Ball Nightmare",,,,1989,Sega,,,,,,,,,,
@,,0faa352434a113ab374190a5e49d755649740df0,@,@,"SMS Chip-8 Interpreter",,,"v0.11 / ",2002,Maxim,,,,,,,,,,
@,,1032d23d195104002ed10ab660aa707a84aa4cf5,@,@,SpaceOddity,,,"v0.02 / ",2005,"Mooz / Proppy / Tet",,,,,,,,,,
@,,1033072fe34e553cbdd9fdeb5577cd1ca30a9c44,@,@,"Photo Demo",,,"v1.00 / ",2002,Maxim,,,,,,,,,,
@,,1064ddae064fabd6b28836d39d44fc2c589e9f7d,@,@,"Digger Ball",,,"v0.01 / ",2007,"Aypok / PlayGeneration",,,,,,,,,,
@,,10a5095513efebae3d045b217caa7a520e66f26f,@,@,"Jang Pung II",,,,1993,Sieco,kr,,,,,,1,,,
@,,10abcd7df65a2fcd42353725a33913e92eb810ff,@,@,"TWO01 Demo",,,,1997,SMSC,,,,,,,,,,
@,,10d5f612a3df6ba7c8e033091fa35676feec1559,@,@,"Ninja Gaiden",,,,1992,"Sega / Tecmo",,,,,,es,,,,
@,,10dc132166c1aa47ca7b89fbb1f0a4e56b428359,@,@,"Enduro Racer",,,,1987,Sega,,,,,,,,,,
@,,110536303b7bccc193bef4437ba5a9eb6fd4ac8e,@,@,"Great Soccer",,,,1985,Sega,jp,,,,,,,,,
@,,116755e0a52a2f1ca633f497f86d1e9ce4d20f98,@,@,"Dynamite Duke",,,,1991,Sega,,b,,,,,,,,
@,,11d14cbce1c850ab766a35f88d99a40f2cfa301e,@,@,Picross,,,v1.00,2007,Maxim,,,,,,,1,,,
@,,11eb24dff09441a85aec470bfe706f7aed501746,@,@,"Sprite Test",,,"v0.01 / ",2004,Mic,,,,,,,,,,
@,,124012c8611db1e5a5013012fd8b10f4bfcc2e02,@,@,"Nine Pixels",,,v0.99,2006,"Warren, Nicolas",,,,,,,,,,
@,,12877c1c9bfba6462606717cf0a94f700ac970e4,@,@,"Dynamite Headdy",,,,1995,"Sega / Tec Toy",br,,,,,,,,,
@,,1298aab2a29071e258dcbb962c3b80f8fc337b7a,@,@,"Fushigi no Oshiro Pit Pot",,,,1985,Sega,jp,,,,,,,,,1
@,,129ea57e49d27ab27683753af445225e55e43d53,@,@,"Mick & Mack as The Global Gladiators",,,v1,1992,Virgin,,,,,1,,,,,
@,,12bd887efb87f410d3b65bf9e6dfe2745b345539,@,@,"Mortal Kombat II",,,,1994,"Acclaim / Midway / Probe",,,,,,,,,,
@,,12c5005f8a0d78c75704b61bf87961875b9d29d4,@,@,E-SWAT,,,proto,1990,Sega,,,,,,,,,,
