"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,01b45b9865282124253264c5f2e3d3338858ff92,@,@,"Dragon: The Bruce Lee Story",,"Dragon - Bruce Lee Story",@,1995-06,"Acclaim Entertainment",us,@,@,@,@,@,@,@,@,@
@,,01c670e0e36b9d29e67d3ae8bb735ef6f1c9fb61,@,@,"Shining Force 2 War of the Gods",,,@,2019-09-06,"Dark Claw",@,@,@,@,@,@,@,@,@,"Shining Force II"
@,,01e5bf3b6e3f208b0d8330fb94d36377fd51072d,@,@,Striker,,,@,1995-06,Sega,eu,@,@,"NTSC GhostlyDark",@,@,@,@,@,@
@,,01ed2026a930383d926d71192b2a8f9417dfb245,@,@,"College Football's National Championship",,,proto,1994-05-17,Sega,us,@,@,@,@,@,@,@,@,@
@,,01f76e2f719bdae5f21ff0e5a1ac1262c2def279,@,@,"Mega Bomberman",,,@,1994-11,Sega,eu,@,@,@,@,@,@,@,@,@
@,,020169eb2a4b3ad63fa2cbaa1927ab7c33b6add4,@,@,"Fire Shark",,,@,1990-10,DreamWorks,us,@,@,@,@,@,@,@,@,@
@,,0206a1f62fb21da9cb5f081d4bff0873a40e7c66,@,@,"Jurassic Park",,,@,1993-06,Sega,eu,@,@,"NTSC GhostlyDark",@,@,@,@,@,@
@,,021b3a96f7b7103678e3efcd173464c11bb2a2a4,@,@,"Teenage Mutant Hero Turtles: The Hyperstone Heist",,"Teenage Mutant Hero Turtles - Hyperstone Heist",@,@,NewGame,eu,@,@,@,@,ru,@,@,@,@
@,,0225c451017e5e12b4ddac26d9a8b397b10146ee,@,@,"Devil Crash MD",,,@,1991-10-10,Technosoft,jp,@,@,@,@,@,@,@,@,"enhanced colors Pyron"
@,,0232a702454c2512890f5cf07e3b9eb22c92bf99,@,@,Battlecity-md,,,"v1.02 | beta",2009-07-22,KRIKzz,@,@,@,@,@,@,@,@,@,@
@,,023c1eddb68d0082522b15296a8fa548ca92dc32,@,@,"Rolo to the Rescue",,,@,1993-03,"Electronic Arts",eu-us,@,@,@,@,@,@,@,@,*
@,,023d8a37902b22694abbed6e7eca764a9dae9908,@,@,"Dashin' Desperadoes",,,beta,1993,"Data East",us,@,@,2,@,@,@,@,@,header
@,,0246abca763bec8f7158767a73f26eaff3158357,@,@,"Splatterhouse 2",,,@,1992-07,Namco,us,@,@,@,@,@,@,@,@,"color changes, classic Rick fusaru"
@,,024811c47af1ead3f5ab39962875c153cf3955b5,@,@,"Command and Conquer",,,beta,19xx,Tomsoft,cn,@,@,@,@,@,*,@,@,@
@,,024ebaa6faba4a19f5d15f78d20dcf0f3e3f1dbb,@,@,"Bible Adventures",,,v5.0,1995-06-30,"Wisdom Tree",us,@,@,checksum,@,@,*,@,@,@
