"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,384311f2b20c256d755fe470fb82ce8ad094bca0,@,@,"Ace Of Aces",,,NTSC,1988,Atari,,,,,,,,,,
@,,38f044a7267e6beac17f0824325bda3cd2ec3b9b,@,@,"Ms. Pac-Man",,,NTSC,1987,Atari,,,,,,,,,,
@,,39836c29772e91acb3db84e526dc62e2bd726fbf,@,@,Crack'ed,,,PAL,1988,Atari,,,,,,,,,,
@,,39d2388d4b68c04b905eaa2e5456769da60c11bd,@,@,"Scrapyard Dog",,,PAL,1990,Atari,,,,,,,,,,
@,,3a0614b5ed04e878d63143fec23a75b778b9fd9b,@,@,"Dig Dug",,,PAL,1987,Atari,,,,,,,,,,
@,,3b79b823fdeb249bdcc2a460a316b08b8ffba02b,@,@,7800OpenBIOS,,,CC0,2021/07/05,"Saarna, Mike",,,,,,,,,,
@,,3ca412fdb435b49f3558c2e0649ac67f513484c7,@,@,Klax,,,"NTSC / proto",1992,Atari,,,,,,,,,,
@,,3e95e46a1e5b54908a8cf814478037f745e605d9,@,@,"Tomcat: The F-14 Fighter Simulator",,"Tomcat - F-14 Fighter Simulator",PAL,1989,"Absolute Entertainment",,,,,,,,,,
@,,3f2905ae606d5e7c2e05d1bf6bb6525f88af31ba,@,@,"Mario Bros.",,,PAL,1988,Atari,,,,,,,,,,
@,,4119308900bf39c313ac89f7031e232e0b4456d0,@,@,"Beef Drop",,,pre-release,2006/01/08,"Siders, Ken",,,,,,,,,,
@,,41c8df367c77f15457383140d590c5e6a0ee5f76,@,@,"Food Fight",,,PAL,1987,Atari,,,,,,,,,,
@,,42283b1297237e04c6ef69234770d093ffef8949,@,@,"Winter Games",,,NTSC,1987,Atari,,b,,,,,,,,
@,,46aa055a2cc950f075cf6833e1338c73027459d4,@,@,"Donkey Kong",,,NTSC,1988,Atari,,,,,,,,,,
@,,4741cdf3f8aaba6ec7e1f0142fee06147644d56a,@,@,"Beef Drop",,,pre-release,2005/02/24,"Siders, Ken",,,,,,,,,,
@,,48d87db3dfc85b20c04410104023694d60baf8a1,@,@,"Fight Night",,,NTSC,1988,Atari,,,,,,,,,,
@,,4a7afa496ad97bc2b840ac60eb2827a743b01074,@,@,"Touchdown Football",,,NTSC,1988,Atari,,,,,,,,,,
@,,4ab521b0e07afbab159c4c74172e11f13f5a54bf,@,@,"Beef Drop",,,alpha,2004/10/24,"Siders, Ken",,,,,,,,,,
@,,4cae4bf1bbcbe6879cf163a56c9efb40820e88ce,@,@,"Beef Drop",,,beta,2005/01/08,"Siders, Ken",,,"Pokey forced off",,,,,,,
@,,4f2cd2fdd900c26b4d56bc55349b8c34497e761d,@,@,Crossbow,,,PAL,1987,Atari,,,,,,,,,,
@,,4f385a64a1e8cbc9b6929c8ce49689fbe625624b,@,@,"Beef Drop",,,beta,2005/01/05,"Siders, Ken",,,,,,,,,,
@,,520b6d9ef2ef4edae9a8cdf8da57c85810908a9a,@,@,Crossbow,,,NTSC,1987,Atari,,,,,,,,,,
@,,56134e14414effe6e37d75935dbd9dda00888ff8,@,@,"Pit Fighter",,,"NTSC / proto",1992,Atari,,,,,,,,,,
@,,5791a81845b12cb2c1d6499b9eec8a028c4fc610,@,@,"Atari 7800 Symbolic Debug Monitor & Downloader",,,NTSC,1988,Atari,,,"encryption checker",,,,,,,"John Saeger"
@,,57ddbc1da7d8c91a6a2d3d80af7db98f0daa05e6,@,@,"Impossible Mission",,,NTSC,1987,Atari,,,,,,,,,,
@,,5824fea1546a64afecc2c6e817dce77b4c80f870,@,@,"Beef Drop",,,alpha,2004/10/19,"Siders, Ken",,,,,,,,,,
@,,585abb2fc9aeb0bf92ceb93bbaad153d16dd29c4,@,@,"Beef Drop",,,alpha,2004/10/19,"Siders, Ken",,,,,,,,,,
@,,58a82ff0bbbe418d1c2d950c9ecff7f5c549618f,@,@,"Planet Smashers",,,NTSC,1989,Atari,,,,,,,,,,
@,,58e1a65114689e526ad89a4a47e237161d15ab2b,@,@,"Super Huey UH-1X",,,NTSC,1988,Atari,,,,,,,,,,
@,,58fa0e899b1522cfd5d613e44eb011b3e06a010d,@,@,Poetiru,,,,2015,"Mihai, Sebastian",,,,,,,,,,
@,,5a140136a16d1d83e4ff32a19409ca376a8df874,@,@,"Atari 7800 BIOS",,,PAL,198x,Atari,,,,,,,,,,
@,,5a3de17714b24eb526d0ec62b327f4bc66a7fe9f,@,@,"Mean 18 Ultimate Golf",,,NTSC,1989,Atari,,,,,,,,,,
@,,5a5a0adb9a081972040eb608051d7e5edd28ee30,@,@,"Donkey Kong",,,PAL,1988,Atari,,,,,,,,,,
@,,5a9cb92d46a8f66d848df0915c0533f32db12b62,@,@,"Ikari Warriors",,,PAL,1989,Atari,,,,,,,,,,
@,,5aaffdf44b54afc494422ba740e6080e133dba9a,@,@,"Beef Drop",,,beta,2004/11/05,"Siders, Ken",,,,,,,,,,
@,,5fec935aa0e284e6373f456e5fb9158892d0f4e8,@,@,"Scrapyard Dog",,,NTSC,1990,Atari,,,,,,,,,,
@,,601818803ca6cfa55b7c0154fc9841001d7b379f,@,@,"Tower Toppler",,,PAL,1988,Atari,,,,,,,,,,
@,,624a8f70b433f04942d5544289ac156d50b93610,@,@,"Kung-Fu Master",,,NTSC,1989,"Absolute Entertainment",,,,,,,,,,
@,,625829093ce079c88a9c9129c0dab709311ff7a0,@,@,Joust,,,NTSC,1987,Atari,,,,,,,,,,
@,,63470ed89bf256fbe33e081bf2793e9c947619fe,@,@,Joust,,,PAL,1987,Atari,,,,,,,,,,
@,,6457dd40aeadb9733602c4ad3498780ebd7bf0d1,@,@,Choplifter!,,,NTSC,1987,Atari,,,,,,,,,,
@,,652e633776f608a3c2a1030a6796ba0c8669d8f0,@,@,Xevious,,,NTSC,1988,Atari,,,,,,,,,,
@,,66420526956011ef890f4d281a0b2023eede413e,@,@,"Beef Drop",,,alpha,2004/10/20,"Siders, Ken",,,,,,,,,,
@,,678d7ca5aa01ea2f8a1c3d05239a66485dcb688d,@,@,"Senso 7800 DX4",,,,2003,Taquart,,,,,,,,,,
@,,6ac3621d153e20ad44fabbdaf65b74c20fbb9fdb,@,@,"Double Dragon",,,NTSC,1989,Activision,,,,,,,,,,
@,,6b1a67a8639c89bb9ae8e1200c1fa910e9d55476,@,@,Jinks,,,PAL,1989,Atari,,,,,,,,,,
@,,6bb0205b88886f3079f50a25d7e6708bab32a49a,@,@,"Water Ski",,,NTSC,1988,Froggo,,b,,,,,,,,
@,,6cceb878627fbcae67ae1c7e0fbdbbd7a9dd0693,@,@,Basketbrawl,,,NTSC,1990,Atari,,,,,,,,,,
@,,6df3dbf42bcfa9c66fe94173f9b4338bbb5effd7,@,@,"Beef Drop",,,pre-release,2005/03/09,"Siders, Ken",,,,,,,,,,
@,,6ff9937e199ba98934a27170413cb962f5fc1218,@,@,"Title Match Pro Wrestling",,,NTSC,1989,"Absolute Entertainment",,,,,,,,,,
@,,70e4e1ca9827ae6bee26f5bc34f6b4203b09cd13,@,@,"Beef Drop",,,beta,2005/01/05,"Siders, Ken",,,,,,,,,,
@,,70eb9cbc1166c6ee46e100c8c73f979a66ba6cb3,@,@,"Pit Fighter",,,"NTSC / proto",1992,Atari,,b,,,,,,,,
@,,7144cb51e759168fc0e02d02776cde9c4da76ea1,@,@,"Pete Rose Baseball",,,NTSC,1989,"Absolute Entertainment",,b,,,,,,,,
@,,72c77e330825c0b82af7f6df310304152a54631c,@,@,"Dark Chambers",,,PAL,1988,Atari,,,,,,,,,,
@,,75466954e39abd99bcc24c647865766ee6ce3f16,@,@,"Beef Drop",,,alpha,2004/10/31,"Siders, Ken",,,,,,,,,,
@,,759d582fdbfa92f451b6c4a8bc739fc3e9f7128e,@,@,Galaga,,,PAL,1987,Atari,,,,,,,,,,
@,,776513b6408bb81ec3436cc8006db826a5bc83fd,@,@,Baseball,,,PAL,1989,"Absolute Entertainment",,,,,,,,,,
@,,77c3445993f2d0a2acf0a453ef80bc31e047b932,@,@,"Robotron: 2084",,"Robotron - 2084",NTSC,1987,Atari,,,,,,,,,,
@,,7874a9c33bcfdea480932c34307a7623891c27de,@,@,"3D Asteroids",,,"NTSC / proto",1984,Atari,,,,,,,,,,
@,,78b58a68239e2016b15699f0c113984487156c22,@,@,Rampage,,,NTSC,1989,Activision,,,,,,,,,,
@,,7a1b2db20226f8731006f69db015b23d10e7d0cf,@,@,"Beef Drop",,,pre-release,2006/07/04,"Siders, Ken",,,,,,,,,,
@,,7bc65ab655ff9360ecb4c12adea430b0ffda7404,@,@,"Tank Command",,,NTSC,1988,Froggo,,b,,,,,,,,
@,,7c5e2a16e8c8d88b044e5ff26355c56510830188,@,@,"Tower Toppler",,,NTSC,1988,Atari,,o,,,,,,,,
@,,7d56547db021ed5ab5511ba1015f395ba1d6c70f,@,@,Commando,,,PAL,1989,Atari,,,,,,,,,,
@,,7f616d96d90f7dfeedff1c2d133ecfdbe7547242,@,@,"Beef Drop",,,"Demo playable / ",2006/07/03,"Siders, Ken",,,,,,,,,,
@,,7fc7dfa46d6189422e008d978c09ea1e96734ed9,@,@,"Senso 7800 Test 5",,,,2001,Taquart,,,,,,,,,,
@,,807505a3af7458622c5dffc62da1d608826f917a,@,@,"Tank Command",,,NTSC,1988,Froggo,,,,,,,,,,
@,,80cc587f905781d50dc32b64ac2c3daf7d159a74,@,@,"Title Match Pro Wrestling",,,PAL,1989,"Absolute Entertainment",,,,,,,,,,
@,,80ed091b4081c134ea57b8e96fc3825b1d98e7b2,@,@,"Pete Rose Baseball",,,NTSC,1989,"Absolute Entertainment",,,,,,,,,,
@,,816073f9dd490c34e64db4b246bca0ec0e0834fb,@,@,Meltdown,,,NTSC,1990,Atari,,,,,,,,,,
@,,825536322712474b991770813436d82143753d98,@,@,"Beef Drop",,,beta,2004/12/09,"Siders, Ken",,,,,,,,,,
@,,827ef5711add202337cbbd5fd3e50c7814341c90,@,@,"Beef Drop",,,beta,2004/11/19,"Siders, Ken",,,,,,,,,,
@,,8283a91b59b4a3b25ef479ba855b4af1b3b72a2d,@,@,"Super Skateboardin'",,,PAL,1988,"Absolute Entertainment",,,,,,,,,,
@,,85475e9cb0e6a065960c6c0a337b4a2a65299511,@,@,Xevious,,,NTSC,1988,Atari,,,,,,,,,,
@,,85d6471cf423e4f16ed415bfe529605a39aee0f2,@,@,"Space War!",,,"v20040318 / ",2004,"Eric Ball",,,,,,,,,,
@,,86383e6553453a353fb641b60f7021662bfc6553,@,@,"Summer Games",,,NTSC,1987,Atari,,b,,,,,,,,
@,,86b33e9169d7e365187c13424fedc2e61beacbc9,@,@,"Ace of Aces",,,NTSC,1988,Atari,,,,,,,,,,
@,,87b0740a5f042a61a0c38b25c0425638eebeb11f,@,@,Basketbrawl,,,PAL,1990,Atari,,,,,,,,,,
@,,88cdff3f0dc80433fd5df86e4aa093faa36d34f5,@,@,"Diagnostic Test Cartridge",,,NTSC,1984,Atari,,,,,,,,,,
@,,8c782aa3faaef83f76f53e446a676881a4f44eb0,@,@,"Double Dragon",,,PAL,1989,Activision,,,,,,,,,,
@,,8e1866b33515d742bc0e1db0df0165f1c55694b9,@,@,"Dark Chambers",,,NTSC,1988,Atari,,,,,,,,,,
@,,8e73b2d1a29ba733fd1cb946b68ce26e9cd15c24,@,@,"Beef Drop",,,beta,2004/11/09,"Siders, Ken",,,,,,,,,,
