"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"@",,"05b7abce4fc41fd841afa150eb5f9cea014c37e2","@","@","ScummVM-N64","@","","v 1.1.0-agi; Copyright Public Domain","2010","ScummVM Team","@","","","","","","","","",""
"@",,"05bb33d215716208335abb983d7be32ead8144f9","@","@","GameBooster","@","","v 1.1; Language en","1998","Datel","eu","","","","","","","","","1"
"@",,"05c1d0fcff985c297964380fb41de9acefba49f7","@","@","Bust-A-Move 2: Arcade Edition","@","","Language en","1998","Acclaim - Taito","eu","b","b 1","","","","","","",""
"@",,"05d40e57c9cb29a8992595afdde6653936e16729","@","@","Wave Race 64","@","","","1996","Nintendo","jp","","","","","","","","",""
"@",,"05d82a2c73ac536180b68137dbb9972a9e8e883e","@","@","Mace: The Dark Age","@","","","1997","Midway","us","","","","","","","","",""
"@",,"0611730a09f2e38f105692f3279c16bd436fac91","@","@","Mike Piazza's Strike Zone","@","","","1998","GT Interactive","us","","","","","","","","","2"
"@",,"061b7956c3aadddc6fdc11aab885f95a71b7f463","@","@","Dual Heroes","@","","Language en","1998","G.M.I. - Hudson","eu","","","","","","","","",""
"@",,"0623109aaefcd7a636c722af9c9a1eb5de90779e","@","@","Top Gear Rally","@","","","1997","Boss Game Studios - Kemco - Midway","us","b","b 1","","","","","","",""
"@",,"064f5b1d92e7922401fc813b47b3bc0634873a38","@","@","Paperboy","@","","","1999","Atari - High Voltage Software - Midway","us","","","","","","","","","2"
"@",,"06597dc935651f8995bfacc30fde6e621d44c3e1","@","@","Conker's Bad Fur Day","@","","Demo 1","2000","Rare","@","","","","","","","","","1"
"@",,"0661b1b0e47bc02d9b0d87d1688fd466793c074b","@","@","Hydro Thunder","@","","Language en","1999","Midway","eu","","","","","","","","",""
"@",,"0663424bfb88eec3f0138aa66316bbad4c94e041","@","@","Happy Birthday Steve","@","","Copyright Public Domain","1998","Neptune","@","b","b 1","","","","","","",""
"@",,"0675789b58d35e3e33fb7f1d25bc2f5cae1708cd","@","@","Neon64","@","","v 0.03; Copyright Public Domain","2002","Halley's Comet Software","@","","","","","","","","",""
"@",,"0682b6745832984f43652c0589e4ecf37f937790","@","@","Rat Attack","@","","","1999","Mindscape","us","","","","","","","","",""
"@",,"06871f78e073125ca55a2df96a1abe238bd40658","@","@","Vigilante 8: 2nd Offense","@","","","1999","Activision","us","","","","","","","","","1"
"@",,"069482171a66fd68623f096866e50e3516a9689a","@","@","Jikkyou J.League Perfect Striker","@","","","1996","Konami","jp","b","b 1","","","","","","",""
"@",,"06af809632bd7ec041de88943e246696873dafb5","@","@","Super Smash Bros.","@","","","1999","Nintendo","us","","","","","","","","","1"
"@",,"06c6e85acee75e05f7b1fcda224aa671c0318fe2","@","@","Bung Enterprises Doctor V64 BIOS","@","","v 1.30; Copyright Public Domain","1997","Bung Enterprises","@","","","","","","","","","2"
