"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"Abraxas Assault On The Astral Rift",,58d20c08c52e89856c6f111e419d423ae6f24e79,,,,,,(s2),,,,,,,,,,,,,,,
"Abraxas Assault On The Astral Rift",,883cbb28954f30899ea5aa9fa0c1f4b495947224,,,"Abraxas Adventure #1 - Assault on the Astral Rift",,,"(Disk 1 of 2)",1984,"MMG Micro Software",us,a,"a 2",,,,,,,,,,
"Abraxas Assault On The Astral Rift",,adce7411eccad406bcef11262f81b85ef8757e3a,,,,,,(s1),,,,,,,,,,,,,,,
"Absolute Zero",,30da3f3e9ffb78155647f5682636722a99cce938,,,,,,,,,,,,,,,,,,,,,
Abuse,,073d6b055736a5e3b8b2bed8c5e2426a4ccda697,,,,,,,,,,,,,,,,,,,,,
"Abuse v2.9",,d940ee4a2d9e69ac5c434b8224ef67edc71c164a,,,Abuse,,,"v 2.9",1981,"Don't Ask Computer Software",us,,"[req OSb]; [BASIC]",,,,,,,,,,
"Ace Of Aces",,79d96a1ed0b24173ff3f1a3dba036b5f7f92cb3a,,,,,,,1987,"U.S. Gold",gb,,,,,,,,,,,,
"Ace Of Aces",,79d96a1ed0b24173ff3f1a3dba036b5f7f92cb3a,,,,,,,1987,"U.S. Gold",gb,,,,,,,,,,,,
"Ace Of Aces",,c5200dfd8bb97742467c57cb0922a0083b524455,,,,,,,1988,Atari,us,,,,,,,,,,,,
"Ace Of Aces",,f3c33a83f3ae20eec1085aa3ec1349017bb7d438,,,,,,,,,,,,,,,,,,,,,
ACE__ATARI_CASSETTE_ENHANCE,,4a7b937b282b20239720865725bb5dd9a2ec36a0,,,,,,,,,,,,,,,,,,,,,
ACE_OF_ACES___SIDE_A_AAREA_,,ef19e298ef3dfa63ddc53b54e1ef6c21cf344f3b,,,"Ace of Aces",,,"(Side A)",1987,"U.S. Gold",gb,a,"a 1",,,,,,,,,,
ACE_OF_ACES___SIDE_B_AAREA_,,831ad55c116026cbf330dfe446e3d101dfaf80a5,,,"Ace of Aces",,,"(Side B)",1987,"U.S. Gold",gb,b,"b 1",,,,,,,,,,
"Acey Deucey",,463c16c11f6312b5aba175248fb579553271a62f,,,Acey-Deucey,,,,1982,"L&S Computerware",us,,"[req OSb]; [k-file]",,,,,,,,,,
"Acquire -800b",,3c04bb0173796eb266d3a8935b453726b7fe2a96,,,"Computer Acquire",,,,1981,"Avalon Hill",us,a,"a 1; [req OSb]",,,,,,,,,,
"Action Biker",,9c7d506251b12f837b8f9c6c26bcd6af56aee72f,,,,,,,1985,Mastertronic,us,,,,,,,,,,,,
"Action Biker",,9c7d506251b12f837b8f9c6c26bcd6af56aee72f,,,,,,,1985,Mastertronic,us,,,,,,,,,,,,
"Action Biker",,310d6d102900d88d675cf466372a5817d5ef3bae,,,,,,,1985,Mastertronic,us,,"[compressed]; [k-file]",,,,,,,,,,
"Action Quest",,0c27b11be3f1bfe0a9a240a840e0e4565fb0fb6a,,,,,,,1982,"JV Software",us,,,,,,,,,,,,
"Action Quest",,8c13caba25925b41fbc0602f4a81dc41e97d62e6,,,,,,,1982,"JV Software",us,,"[req OSb]; [k-file]",,,,,,,,,,
ACTION_,,098dfc485ee688bda5cf9c7c9370014d2a20dc54,,,,,,,,,,,,,,,,,,,,,
ACTION_BICKER,,30dd65bacfe70da7084cf345bdc1fc72ce7aae1b,,,,,,,,,,,,,,,,,,,,,
"Adams Adventure 1 Adventureland",,91b976606dc179b45fe693580cb8f629f1b994a6,,,"Adventure No. 01 - Adventureland",,,"v 3.9-416",1981,"Adventure International",us,,[k-file],,,,,,,,,,
"Adams Adventure 1 Adventureland",,bd9aa1c7c550b004228bcd9f38c1a33b07aadf2c,,,"Adventure No. 01 - Adventureland",,,"v 3.9-416",1981,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 1 Adventureland",,37ce2b6971a8c3958fc434d901c833e977bd8a66,,,"S.A.G.A. No. 01 - Adventureland",,,"v 5.0-416; (Side A)",1982,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 1 Adventureland",,e5f65ccfc4d3ae314d4b03343e47d3588c41da90,,,"S.A.G.A. No. 01 - Adventureland",,,"v 5.0-416; (Side B)",1982,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 10 Savage Island Part I",,2a9c8b3db36e9b6946502038a60a86cb36058965,,,"Adventure No. 10 - Savage Island - Part I",,,"v 3.9-123",1981,"Adventure International",us,a,"a 1",,,,,,,,,,
"Adams Adventure 12 The Golden Voyage",,51c7fd31a04a79c0a2598d4348075d47f42e1d26,,,"Adventure No. 12 - The Golden Voyage",,,"v 3.9-182",1981,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 13 Sorcerer Of Claymorgue Castle",,85ced3563601ed838500f335d62b85a275c13782,,,"Adventure No. 13 - The Sorcerer of Claymorgue Castle",,,"v 3.9-123",1981,"Adventure International",us,,[k-file],,,,,,,,,,
"Adams Adventure 13 Sorcerer Of Claymorgue Castle",,9eaec5b93906603d1bcb874854073327aa2c0da4,,,"S.A.G.A. No. 13 - The Sorcerer of Claymorgue Castle",,,"v 5.1-125; (Side A)",1983,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 13 Sorcerer Of Claymorgue Castle",,d489dc32903f804998204bc95080b2e8ade3d331,,,"S.A.G.A. No. 13 - The Sorcerer of Claymorgue Castle",,,"v 5.1-125; (Side B)",1983,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 2 Pirate Adventure",,0bd48009da0451f7378cab0d6db6b023a62e7867,,,"Adventure No. 02 - Pirate Adventure",,,"v 3.9-408",1981,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 2 Pirate Adventure",,23d1fb7f12d18ebc5b4e721011eddb47ea417bd0,,,"Adventure No. 02 - Pirate Adventure",,,"v 3.9-408",1981,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 2 Pirate Adventure",,bab5bb28d83ed86f7ced388fe7b663db40927c01,,,"Adventure No. 02 - Pirate Adventure",,,"v 3.9-408",1981,"Adventure International",us,,"[Piratske Dobrodruzstvi]",,,"cs M. Lenz - P. Marsik",,,,,,,
"Adams Adventure 2 Pirate Adventure",,99daae0e6796b8c55502d260ddd8e5d2b16dcbb4,,,"S.A.G.A. No. 02 - Pirate Adventure",,,"v 5.0-408; (Side A)",1982,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 2 Pirate Adventure",,8629a573d01b4ed8cd44cd580e86b241ba230391,,,"S.A.G.A. No. 02 - Pirate Adventure",,,"v 5.0-408; (Side B)",1982,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 2 Pirate Adventure",,4659a2f20a21f5a851fdc94d9b8ce151231d064d,,,"Adventure No. 02 - Pirate Adventure",,,"v 3.9-408",1981,"Adventure International",us,,[k-file],,,,,,,,,,
"Adams Adventure 3 Mission Impossible",,764d4ef9572cfaf388c906a3ef5880544639acf4,,,"S.A.G.A. No. 03 - Mission Impossible",,,"v 5.0-306; (Side B)",1982,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 3 Mission Impossible",,58b5df7319b986d8c30fef8b8b8515fcec54f1f4,,,"S.A.G.A. No. 03 - Mission Impossible",,,"v 5.0-306; (Side A)",1982,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 3 Mission Impossible",,7397a1edb9c3384e98623f5b8e19146b75e1e2c4,,,"Adventure No. 03 - Mission Impossible",,,"v 3.9-306",1981,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 3 Mission Impossible",,8d33099ab9e2a75209abbb0a8cc4fbd400ec9175,,,"Adventure No. 03 - Mission Impossible",,,"v 3.9-306",1981,"Adventure International",us,,[k-file],,,,,,,,,,
"Adams Adventure 4 Voodoo Castle",,6f0b9476dc90f73869605d9102cb328d0c3cf0e5,,,"S.A.G.A. No. 04 - Voodoo Castle",,,"v 5.1-119; (Side A)",1983,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 4 Voodoo Castle",,74154a321b255de42396560a912c43861a9c0284,,,"S.A.G.A. No. 04 - Voodoo Castle",,,"v 5.1-119; (Side B)",1983,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 4 Voodoo Castle",,bae946302337edf594ed8c0ee3aa1931bde0ab4b,,,"Adventure No. 04 - Voodoo Castle",,,"v 3.9-119",1981,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 4 Voodoo Castle",,a2171c22e170e3a4ca2afe5d8b3651d58291ec94,,,"Adventure No. 04 - Voodoo Castle",,,"v 3.9-119",1981,"Adventure International",us,a,"a 1",,,,,,,,,,
"Adams Adventure 5 The Count",,941b7eb807d6dbedbdac67877d1031b1e87acb6d,,,"S.A.G.A. No. 05 - The Count",,,"v 5.1-115; (Side A)",1983,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 5 The Count",,a5ceae4bea5ed372c802366a18d283f5ee774095,,,"Adventure No. 05 - The Count",,,"v 3.9-115",1981,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 5 The Count",,907d14822d75db6c06948cf64a2fecb8e134b1ba,,,"S.A.G.A. No. 05 - The Count",,,"v 5.1-115; (Side B)",1983,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 5 The Count",,eec11de641550b229cb64cf4eab9fd52eaf1dab1,,,"Adventure No. 05 - The Count",,,"v 3.9-115",1981,"Adventure International",us,,[k-file],,,,,,,,,,
"Adams Adventure 6 Strange Odyssey",,309cc41f421e35e3928dc6014e928ef8378fda38,,,"Adventure No. 06 - Strange Odyssey",,,"v 3.9-119",1981,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 6 Strange Odyssey",,e87033306ef9aca63a5dd444c9f78fcc1f93fb59,,,"Adventure No. 06 - Strange Odyssey",,,"v 3.9-119",1981,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 7 Mystery Fun House",,861faf7ababcfbebce596f966fe66e0cef77c209,,,"Adventure No. 07 - Mystery Fun House",,,"v 3.9-145",1981,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 8 Pyramid Of Doom",,c7da3c9e9e3c48caf82467e31cf1ccca17ef526c,,,"Adventure No. 08 - Pyramid of Doom",,,"v 3.9-124",1981,"Adventure International",us,,,,,,,,,,,,
"Adams Adventure 9 Ghost Town",,5b84c63326765cc0dfb271aa82ac59b824c2dd39,,,"Adventure No. 09 - Ghost Town",,,"v 3.9-123",1981,"Adventure International",us,,,,,,,,,,,,
ADAMS_ADV__III_ATAREX_,,d44986f8f37334067be99af72792193abecdae23,,,,,,,,,,,,,,,,,,,,,
Adax,,4a0fca9102f72bd32baf8348dff51bdc5f8ed491,,,,,,,1992,"L.K. Avalon",pl,,,,,,,,,,,,
Adax,,8e5cf582350701ba0ec83dcdcca2bf4de9c21e30,,,,,,,1992,"L.K. Avalon",pl,,[k-file],,,,,,,,,,
Adax,,9c87ac5e0107688edab0b6504f2f62957ded75ee,,,,,,,1992,"L.K. Avalon",pl,a,"a 1; [k-file]",,,,,,,,,,
ADAX_AAREA_,,a7cf0f8ca0b17ae7a61f8d86c9b8ba388b5bc39c,,,Adaxbaud,,,,19xx,,,b,"b 1",,,,,,,,,,
ADAX_FIX_LOADER,,5d386b7eac4c389b42b7a1291aeb08c69b373d93,,,,,,,,,,,,,,,,,,,,,
Adebar,,dfc763e28c35436f5ec5573832f36932ec2f5574,,,,,,,,,,,,,,,,,,,,,
Adebar,,ace922a9bcf7110253ddd1c3913b55a4ab1e9307,,,,,,,1987,"Raindorf Soft",de,,,,,,,"Copy Crew Amsterdam",,,,,
"Adult Games 1",,e9272e02c5953bbb3e13f158ba4c8670fa914b2d,,,,,,,,,,,,,,,,,,,,,
"Adult Games Pinball 1",,7f1614608a54ecc015ec0db9d77e8326144c62e4,,,,,,,,,,,,,,,,,,,,,
"Advanced Pinball Simulator",,eee23c07ba7363a6d0d8a95f9764eebfb50fc698,,,,,,,19xx,"Code Masters",gb,,[k-file],,,,,"Mr. Bacardi",,,,,
Adventure,,04d5ff204c3c9b600a742c6899c0f7f0708d7357,,,"Dr D Adventure",,,,19xx,,,a,"a 1; [k-file]",,,,,,,,,,
Adventure,,28253cd21ceddb10d90e801f36ecbf4f7aa91911,,,,,,,,,,,,,,,,,,,,,
Adventure,,62f3a07f2bf9e5f4792f4fffab8eead65898b6f0,,,,,,,19xx,"Manowski, Max",,,[BASIC],,,,,,,,,,
Adventure,,62f3a07f2bf9e5f4792f4fffab8eead65898b6f0,,,,,,,19xx,"Manowski, Max",,,[BASIC],,,,,,,,,,
"Adventure At Vandenberg A.F.B",,e2e340a818b6d1a28696a31da7dfa1abc15ce218,,,"Adventure at Vandenberg A.F.B.",,,,1984,"ANALOG Computing",us,a,"a 2; [BASIC]",,,,,,,,,,
"Adventure at Vandenberg A.F.B.",,e2e340a818b6d1a28696a31da7dfa1abc15ce218,,,,,,,1984,"ANALOG Computing",us,a,"a 2; [BASIC]",,,,,,,,,,
"Adventure Craze",,71858609a09df70a41665e95b0d72def03d4c5e9,,,,,,,19xx,"Ward, Andrew",gb,,"[Ladder Maze hack]; [BASIC]",,,,,,,,,,
"Adventure Craze",,71858609a09df70a41665e95b0d72def03d4c5e9,,,,,,,19xx,"Ward, Andrew",gb,,"[Ladder Maze hack]; [BASIC]",,,,,,,,,,
"Adventure Creator",,5b655215bea25e92f871ed1b531c2a096e0fc9d6,,,,,,,1984,"Spinnaker Software",us,,[k-file],,,,,,,,,,
"Adventure Creator",,5b655215bea25e92f871ed1b531c2a096e0fc9d6,,,,,,,1984,"Spinnaker Software",us,,[k-file],,,,,,,,,,
"Adventure In The 5th Dimension",,f9265bf6b97bdada159013553317955a0ea1ae2b,,,,,,,1983,"ANALOG Computing",us,a,"a 1; [BASIC]",,,,,,,,,,
"Adventure In The 5th Dimension",,f9265bf6b97bdada159013553317955a0ea1ae2b,,,,,,,1983,"ANALOG Computing",us,a,"a 1; [BASIC]",,,,,,,,,,
"Adventure In Time",,c78faa4c66d8f2b2e22efb89ee1e959ee54246ad,,,,,,,1983,"Phoenix Software",us,,[k-file],,,,,,,,,,
"Adventure In Time",,dfbdadf0a539db4975363a6db5f9da5f388ba3ce,,,,,,,1983,"Phoenix Software",us,a,"a 1; [k-file]",,,,,,,,,,
"Adventure Master",,28c170520dbb81cb96313de2da16417502382451,,,,,,"(Side B)",1984,"CBS Software",us,,,,,,,,,,,,
"Adventure Master",,91dd9f28568b2854daedf1fcd42a9259a392e8fd,,,,,,"(Side A)",1984,"CBS Software",us,a,"a 1",,,,,,,,,,
"Adventure Master",,91dd9f28568b2854daedf1fcd42a9259a392e8fd,,,,,,"(Side A)",1984,"CBS Software",us,a,"a 1",,,,,,,,,,
"Adventure Master",,28c170520dbb81cb96313de2da16417502382451,,,,,,"(Side B)",1984,"CBS Software",us,,,,,,,,,,,,
"Adventure Quest",,cb936cdb1a8add9bc45bc48583f763e8f4a1e0ea,,,,,,,1983,"Level 9 Computing",,,,,,,,,,,,,
"Adventure Sagas 1 to 4",,07741714cca2cae66f9fda116c151bacedcf15ac,,,,,,,,,,,,,,,,,,,,,
"Adventure Sagas 5 to 8",,02feba7302b2549da2de20048cc82bd254d38fb5,,,,,,,,,,,,,,,,,,,,,
"Adventure Trilogy, The",,37882d549729b1c29cc7dff54428ad17d351cfa6,,,"The Adventure Trilogy",,"Adventure Trilogy, The","Copyright Public Domain",1987,"Howard, Mike",us,,,,,,,,,,,,
"Adventure! aka Collosal Cave",,b50f3ded235403434e6124787455d5c901e8fdfc,,,Adventure!,,,,1980,"Creative Computing",us,,[BASIC],,,,,,,,,,
"Adventures Of Buckaroo Banzai, The",,ff4b9716a4ade053370d91a5858c81dbecfd8996,,,"The Adventures of Buckaroo Banzai",,"Adventures of Buckaroo Banzai, The","(Side B)",19xx,"Adventure International",us,,,,,,,,,,,,
"Adventures Of Buckaroo Banzai, The",,ff4b9716a4ade053370d91a5858c81dbecfd8996,,,"The Adventures of Buckaroo Banzai",,"Adventures of Buckaroo Banzai, The","(Side B)",19xx,"Adventure International",us,,,,,,,,,,,,
"Adventures Of Buckaroo Banzai, The",,7d3387ee0e54630f25cc2e4cad079f5801b1c410,,,"The Adventures of Buckaroo Banzai",,"Adventures of Buckaroo Banzai, The","(Side A)",19xx,"Adventure International",us,,,,,,,,,,,,
"Adventures Of Buckaroo Banzai, The",,7d3387ee0e54630f25cc2e4cad079f5801b1c410,,,"The Adventures of Buckaroo Banzai",,"Adventures of Buckaroo Banzai, The","(Side A)",19xx,"Adventure International",us,,,,,,,,,,,,
"Adventures Of Dr Jones, The",,5a5bc9932938ca4fb80786a27d800680b26547d5,,,"The Adventures of Dr. Jones",,"Adventures of Dr. Jones, The","(Side A)",19xx,"Digital Artworx",us,,,,,,,,,"Alien BBS",,,
"Adventures Of Dr Jones, The",,fff175b37c990e4ad8b1a2af523e7d35d87cacf6,,,"The Adventures of Dr. Jones",,"Adventures of Dr. Jones, The","(Side B)",19xx,"Digital Artworx",us,,,,,,,,,"Alien BBS",,,
"Adventures of Dr. Jones, The",,5a5bc9932938ca4fb80786a27d800680b26547d5,,,"The Adventures of Dr. Jones",,"Adventures of Dr. Jones, The","(Side A)",19xx,"Digital Artworx",us,,,,,,,,,"Alien BBS",,,
