"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
Infidel,,3cfa08861a088528dfef82e0c0aa6f4e37d5fd53,,,,,,"(Disk 2 of 2)",1983,Infocom,us,,,,,,,,,,,,
Infiltrator,,d26b6445e22bfabf5a146b69906103fbb2a59ea6,,,,,,"(Side B)",1986,Mindscape,us,,,,,,,,,,,,
Infiltrator,,1e04f045a8df9648012c4c2796627b3682737148,,,,,,"(Side A)",1986,Mindscape,us,,,,,,,T.A.P.,,,,,
Infiltrator,,0e56a15be5ff052dab89bcd50cab2cd1cfdc0a3c,,,,,,,,,,,,,,,,,,,,,
Infiltrator,,50f282e988e1ba15e0f03e2fc8aad5ea5978e391,,,,,,"(Side A)",1986,Mindscape,us,,,,+1,,,,,,,,
Infiltrator,,5205634c8eb607ff50f5d23005e5127e391b2542,,,,,,"(Side A)",1986,Mindscape,us,,,,+1,,,T.A.P.,,,,,
Infiltrator,,d3bfcb1d865ba10825c7aa3be4e311ba0d74c5ce,,,,,,"(Side B)",1986,Mindscape,us,,,,,,,T.A.P.,,,,,
"Infiltrator - Adventure #1",,780494666960a21d863ce1d79be178310afd918c,,,,,,"Copyright Public Domain",1988,"Lee Offenberger",,,[BASIC],,,,,,,,,,
"Infiltrator The Adventure",,780494666960a21d863ce1d79be178310afd918c,,,"Infiltrator - Adventure #1",,,"Copyright Public Domain",1988,"Lee Offenberger",,,[BASIC],,,,,,,,,,
"Ingrid's Back",,4a48bc3aa1eafc78d916afe67b8959c893b3a230,,,,,,"(Part 1 of 3)",1988,"Level 9 Computing",gb,,,,,,,,,,,,
"Ingrid's Back",,61de8bef71b137bd361778b6decb8a365264360f,,,,,,"(Part 3 of 3)",1988,"Level 9 Computing",gb,,,,,,,,,,,,
"Ingrid's Back",,9e83a9890131caf0180aee00f6831be91d808db7,,,,,,"(Part 2 of 3)",1988,"Level 9 Computing",gb,,,,,,,,,,,,
"Inny Swiat",,02e883219720451a2895024d66f8add65e1b4e3a,,,,,,,,,,,,,,,,,,,,,
INNY_SWIAT_FIX_LOADER_APE,,e35c72057f8f5c431c5a0371471739ea54304c0c,,,,,,,,,,,,,,,,,,,,,
INNY_SWIAT_WORK_CAS2SIO,,aa43c7dc3da1b3ccce7262b2417654faedc256e6,,,,,,,,,,,,,,,,,,,,,
Insects,,6cc153edd5fc44e9ab6b24299d08129a2671f038,,,,,,,1982,"Jack Snooyink",,,,,,,,,,,,,
Insects,,af2a237caa46c9557e3cd124eb2a2398c740ccac,,,,,,,1982,"Jack Snooyink",,,[k-file],,,,,,,,,,
Inside,,a3e0eb42619d86279debabe5eeba1c5834e894d4,,,,,,(en),1994,"ANG Software",nl,,[k-file],,,,,,,,,,
Inside,,cec58c83dcab2f45ce91c9d0db22c4742e300a74,,,,,,,1990,Spektra,pl,,[k-file],,,,,"Madmax CS",,,,,
"Inspector Clouseau",,d463a201e5349f7fae46cb8a5421d06839ac1b6a,,,,,,,,,,,,,,,,,,,,,
Inspektor,,85e8cd1ddfca76772ed9b31b3f283a150733190f,,,,,,,1993,"Orkus Software",pl,,,,,,,,,"GSL - KSL",,,
"Institute, The",,77b2f0a175e42f08ffd9bb184c013d371473d3b3,,,"The Institute",,"Institute, The","(Side A)",1983,ScreenPlay,us,,,,,,,,,,,,
"Institute, The",,4040f69de2155d9dcaf7a35a94dc22fc572d1450,,,"The Institute",,"Institute, The","(Side A)",1983,ScreenPlay,us,,,,,,,,,Tomsoft,,,
"Institute, The",,77b2f0a175e42f08ffd9bb184c013d371473d3b3,,,"The Institute",,"Institute, The","(Side A)",1983,ScreenPlay,us,,,,,,,,,,,,
"Institute, The",,4baccff9cf3b0f5b1f535db9ddcc201710cc7892,,,"The Institute",,"Institute, The","(Side B)",1983,ScreenPlay,us,,,,,,,,,Tomsoft,,,
"Institute, The",,0aa8f67563502861fb29176801ace8d3eb6eecad,,,"The Institute",,"Institute, The","(Side B)",1983,ScreenPlay,us,,,,,,,,,,,,
"Institute, The",,0aa8f67563502861fb29176801ace8d3eb6eecad,,,"The Institute",,"Institute, The","(Side B)",1983,ScreenPlay,us,,,,,,,,,,,,
"Inter Galleon Battle",,fa92f5be4a9f4e87a8db97729554eda31e2c0348,,,,,,,1984,"K-Tek Software",us,,,,,,,Yogi,,,,,
"Inter Galleon Battle",,fa92f5be4a9f4e87a8db97729554eda31e2c0348,,,,,,,1984,"K-Tek Software",us,,,,,,,Yogi,,,,,
"International Karate",,f02c40e0e84dd6a239ade205a3213d7f5f5d338a,,,"World Karate Championship",,,,1986,Epyx,us,,[k-file],,itle,,,N.A.P.O.,,,,,
"International Karate",,730d1434a4f9a89f6181b25fd5231abd79b93061,,,,,,(PAL),1986,"System 3 Software",gb,,,,"ape version",,,,,,,,
"International Karate",,7675f46e80ed6bef216d1ffffcbb943c651a0737,,,,,,(PAL),1986,"System 3 Software",gb,,,,,,,,,,,,
"Into Deep!",,39b17212229e82d6c640a0a03f3e24852aca873c,,,,,,(en),1987,Computronic,de,,,,,,,,,,,,
"Into The Eagle's Nest",,41e339f4f0a8fa2ecd8e7fc8b1f1915d782d86ee,,,,,,,1988,Atari,us,,[k-file],,,,,,,"KSL - GSL",,,
"Into The Eagle's Nest",,c1695cd7ec998d58163aa05f5542e2f15c18b64d,,,,,,,1988,Atari,us,,,,,,,,,"KSL - GSL",,,
Intuitare,,4822bbd10ad0df9f40a1d1edc1df9f8b21cd394d,,,,,,"Demo 1",1995,Banklan,pl,,[k-file],,,,,,,,,,
Intuitare,,4822bbd10ad0df9f40a1d1edc1df9f8b21cd394d,,,,,,"Demo 1",1995,Banklan,pl,,[k-file],,,,,,,,,,
InvadersFile,,66be4681c32600a09ebc7f0c580962a51ec7d921,,,,,,,,,,,,,,,,,,,,,
Invasion,,ca10b8c3ac4806bf4e8cd13963694d695f609fda,,,,,,,1987,"Bulldog Software",gb,,[k-file],,,,,L.P.S.,,,,,
Invasion,,2d46d3f60dba0cadf35c0e2486d7d03d0a9fddda,,,,,,,,,,,,,,,,,,,,,
Invasion,,ece00dcee8296f71c9d6d7eec2e1ce7d55f1eb1f,,,,,,(en),1989,"Power Per Post",de,,[k-file],,,,,"Lord of Darkness",,,,,
Invasion,,d96755a77ec7419c5ad01c3594d39cfd3df02014,,,,,,,,,,,,,,,,,,,,,
"Invasion UK",,7dd60e4eabc21118867abfe54b40006f4b193701,,,Invasion,,,,1987,"Bulldog Software",gb,,[k-file],,,,,,,,,,
IO,,42f766190c809847e706a10c5b68a822c50e3cfa,,,,,,"Copyright Public Domain",1992,"Thomas Starace",us,,[BASIC],,,,,,,,,,
"Ion Power",,db7c6aeb9447b812134b4a7070caa5c94039d19c,,,"Ion Power Pinball",,,,1984,"Dog Byte",,,"[PCS]; [k-file]",,,,,,,,,,
"Ion Roadway",,e447f19ed47e07b4402a1c587ee3b4b097256778,,,,,,,1983,APX,us,,[k-file],,,,,,,,,,
"IQ Master",,5a14e317f669909f8086fa4e89ea259de89184bc,,,,,,,1992,ASF,pl,,[k-file],,,,,,,,,,
"IQ Master",,5a14e317f669909f8086fa4e89ea259de89184bc,,,,,,,1992,ASF,pl,,[k-file],,,,,,,,,,
"IQ vyherni test",,7ea5cb6e32408059ab248fa5008f286a55c339b0,,,,,,,,,,,,,,,,,,,,,
IQ_MASTER_FIX_LOADER,,b6537587a8530559ecc5d3b140afc63a175303cf,,,,,,,,,,,,,,,,,,,,,
IQ_MASTER_ORIGINAL_,,f41eba2355d7aacab393211b501f58a9b699b3d0,,,,,,,,,,,,,,,,,,,,,
"Iron Roadway",,fe83052aba1d2016753d397e8c412335cbf309bb,,,"Ion Roadway",,,,1983,APX,us,a,"a 1; [k-file]",,,,,,,,,,
"Iron Roadway",,6f03c7d493e3ca3ed5330515522a491a660b8f09,,,"Ion Roadway",,,,1983,APX,us,,[k-file],,,,,,"title Carlo Singler",,,,
IRON_ROADWAY,,850c2e501d0acc79c219c86344d9ebfe14474900,,,,,,,,,,,,,,,,,,,,,
"Island, The",,130151724f4f62d863aa110bcfd43c1fe0f0f470,,,"The Island",,"Island, The",,19xx,Aura,,,,,,,,,,,,,
Ixion,,7e38e5a4a2afafdde241ee561b9073ab32be2f6a,,,,,,,,,,,,,,,,,,,,,
Ixion,,244998ccd45e3f37fd9e97e9ae4e757b3f923862,,,,,,(beta),1985,"U.S. Gold",gb,,[k-file],,,,,"The Sorcerer",,"Iron Hacker",,,
Ixion,,244998ccd45e3f37fd9e97e9ae4e757b3f923862,,,,,,(beta),1985,"U.S. Gold",gb,,[k-file],,,,,"The Sorcerer",,"Iron Hacker",,,
"Jack And Jill",,562ee1f57215ea87e9785252e8d7a2aa0061c70a,,,"Jigsaws - Jack & Jill",,,,1981,"Thorn EMI",,,,,,,,,,,,,
Jadgstaffel,,0985aa00449f7e6506f3050afc5bd9ea5fbf716c,,,Jagdstaffel,,,,1980,"Discovery Games",us,,[k-file],,,,,,,,,,
Jaffar,,8eb10aa49165359ef9a6d991df304f0f186df1d8,,,,,,,1993,Mirage,pl,,,,,,,,,,,,
Jaffar,,7eae90710a8345a066f3c653b529e003a7dc82ba,,,,,,,1993,Mirage,pl,a,"a 1; [k-file]",,,,,,,,,,
Jaffar,,d98383fae1d4cbb11d325930b5659dc957808401,,,,,,,1993,Mirage,pl,a,"a 2; [k-file]",,,,,,,,,,
Jagdstaffel,,0985aa00449f7e6506f3050afc5bd9ea5fbf716c,,,,,,,1980,"Discovery Games",us,,[k-file],,,,,,,,,,
JA-JO,,99dea74737450a5cb54b63de2ae2f055c3081cee,,,,,,,1993,"YFA Software",pl,,,,,,,,,,,,
"James Bond",,811e83b3c26efcdb695860e324d1cb3d05bbc8df,,,"James Bond 007",,,,1984,"Parker Brothers",us,a,"a 4; [k-file]",,,,,,,,,,
"James Bond",,aa68403bf25b2e3c440c729e7cf7893203fbcc0a,,,"James Bond 007",,,,1984,"Parker Brothers",us,,,,1,,,,,,,,
"James Bond",,23dd1e5fabf4cc6d21a3c47b422d635caa5c3cf6,,,"James Bond 007",,,,1984,"Parker Brothers",us,,,,,,,,,,,,
"James Bond - Moonraker",,aa68403bf25b2e3c440c729e7cf7893203fbcc0a,,,"James Bond 007",,,,1984,"Parker Brothers",us,,,,1,,,,,,,,
JAMES_BOND_AAREA_,,23dd1e5fabf4cc6d21a3c47b422d635caa5c3cf6,,,"James Bond 007",,,,1984,"Parker Brothers",us,,,,,,,,,,,,
Janosik,,9e6e41ae5fa8ae4f5b94585b940d4b9ca9cbd060,,,,,,,,,,,,,,,,,,,,,
Janosik,,47acbad3fd27970ca8291c63cb8c97389b5feeab,,,,,,,1994,Mirage,pl,,,,,,,Aura,,,,,
Janosik,,8ab20dcc16b3053686e41dd55c478002c85c1a2e,,,,,,,1994,Mirage,pl,,[k-file],,,,,,,,,,
JANOSIK_FIXED_LOADER,,cf90299ae7e0561528e2606c983c2304a7e70e46,,,,,,,,,,,,,,,,,,,,,
JANOSIK_ORIGINAL_,,af650027d2416360ec03abb4458b06ea8313ca18,,,,,,,,,,,,,,,,,,,,,
Jaskiniowiec,,065c351ae1c6a3eb1e8ba319798dd91630b58691,,,,,,"Demo 1",1994,"Stanley - USG",pl,,[k-file],,,,,,,,,,
"Java Jim",,748552a60562c7b2547093319ca767e1a0c1e5f5,,,,,,,1985,Sparklers,gb,,[k-file],,,,,,,,,,
"Java Jim",,748552a60562c7b2547093319ca767e1a0c1e5f5,,,,,,,1985,Sparklers,gb,,[k-file],,,,,,,,,,
"Jaw Breaker",,2bedfb7ce2ccd0a8772fe89ceb06a52560242733,,,"Jawbreaker IV",,,,1983,"Sierra On-Line",,,"[Jawbreaker hack]",,1,,,,,,,,
"Jaw Breaker",,6529194582eb3bb1883605715be50dc05611f0f1,,,"Jawbreaker III",,,,1980,"Sierra On-Line",,a,"a 1; [Jawbreaker hack]; [k-file]",,,,,,,,,,
"Jaw Breaker",,3fe4fad032663fca05b91d6d966306504b57ebcc,,,Jawbreaker,,,,1980,"Sierra On-Line",us,,,,,,,,,,,,
Jawbreaker,,143cb3c8b2cf5296496a66a3ab028b5c9790d822,,,,,,,1980,"Sierra On-Line",us,,[k-file],,,,,,,,,,
Jawbreaker,,9bc20636d01b9c9da36d9d33a06912b25395ee77,,,,,,,1980,"Sierra On-Line",us,a,"a 1; [k-file]",,,,,,,,,,
"Jawbreaker Construction Set, The",,1bf72699062177d77c977d46145d1a6308066a8a,,,"Jawbreaker Contruction Set",,,,19xx,Utopia,,,[BASIC],,,,,,,,,,
"Jawbreaker Contruction Set",,1bf72699062177d77c977d46145d1a6308066a8a,,,,,,,19xx,Utopia,,,[BASIC],,,,,,,,,,
"Jawbreaker III",,20eee88cb928738903fb09b832ac46c60ec6d097,,,,,,,1980,"Sierra On-Line",,,"[Jawbreaker hack]; [k-file]",,,,,,,,,,
"Jawbreaker IV",,2bedfb7ce2ccd0a8772fe89ceb06a52560242733,,,,,,,1983,"Sierra On-Line",,,"[Jawbreaker hack]",,1,,,,,,,,
"Jax Stardo In Starblade",,358d3ad440f3c3363a4250d3de578848f811d3e5,,,Starblade,,,,1986,"Electric Dreams",gb,,,,itle,,,,,TEBSF,,,
"Jeepers Creepers",,93a40b0473458648e522a53ed81003073587bcb1,,,,,,,1982,"Quality Software",us,,[k-file],,,,,,,,,,
"Jeepers Creepers",,93a40b0473458648e522a53ed81003073587bcb1,,,,,,,1982,"Quality Software",us,,[k-file],,,,,,,,,,
"Jeepers Creepers",,64f49ff3b86f8f477a19a30be68e890a13b840c1,,,,,,,1982,"Quality Software",us,a,"a 1; [k-file]",,,,,,,,,,
JellyBeans,,7c60bd45b88d0a2b145d18a6d338f1c2415dc324,,,,,,,,,,,,,,,,,,,,,
"Jerkoff Junior",,72d2ac95d033ee1579bb79efeca4e04f10e9b223,,,,,,,1983,"Kloey Detect",,,"[Jumpman Jr hack]; [k-file]",,,,,,,,,,
"Jet Action, The",,bc739775e6ad032a30990f9e64008a21b177c7a7,,,"The Jet Action",,"Jet Action, The",,1992,"L.K. Avalon",pl,,[k-file],,,,,,,,,,
"Jet Action, The",,520d8af34ddbf43a4ad8185896ab0cbf039def51,,,,,,(v1),,,,,,,,,,,,,,,
"Jet Action, The",,c31a634dbecc9abe8153efc92aaf9e99c773741e,,,"The Jet Action",,"Jet Action, The",,1992,"L.K. Avalon",pl,,[k-file],,,,,"Mr. Bacardi",,,,,
"Jet Boot Jack",,a7e123b21e63f52f8d16d95fe134822de5dab997,,,,,,,1983,"English Software",gb,,"[req OSb]; [k-file]",,,,,,,,,,
"Jet Boot Jack",,7b7e105fc382fab53dab91c20d57e24d664362f5,,,,,,,1983,"English Software",gb,a,"a 1; [k-file]",,,,,,,,,,
"Jet Boot Jack",,7f20f6a326456fff52779abf336f2fab9ab739bd,,,,,,,1983,"English Software",gb,a,"a 1",,,,,,,,,,
"Jet Boot Jack",,6589d88749c3460ac183959a8f31d04d3d98e907,,,,,,,1983,"English Software",gb,,,,,,,,,,,,
"Jet Boot Jack",,ea4c2edebd8379ad07346469c51070ec53861ac1,,,,,,,1983,"English Software",gb,,,,1,,,,,,,,
"Jet Boot Jack",,4aae078d07351ec06497533b14f165d90f45742c,,,,,,,1983,"English Software",gb,,,,,,,,,,,,
"Jet Set Willy",,495007e54c2717028f95bc3bd2520847e6ab75f5,,,,,,,1986,Tynesoft,gb,,[k-file],,,,,,,,,,
"Jet Set Willy",,495007e54c2717028f95bc3bd2520847e6ab75f5,,,,,,,1986,Tynesoft,gb,,[k-file],,,,,,,,,,
JET_BOOT_JACK_ALT_VER_AAREA,,7f20f6a326456fff52779abf336f2fab9ab739bd,,,"Jet Boot Jack",,,,1983,"English Software",gb,a,"a 1",,,,,,,,,,
JET_SET_WILLY,,e8e7e41606f4cefa7872ca70ffb6b5e72c29093e,,,,,,,,,,,,,,,,,,,,,
JETBOOTJ,,64a0a0e4a6f7aef51d46dbf08a48bfe387ea5280,,,,,,,,,,,,,,,,,,,,,
Jetix,,82f57b32b3dff18155cf21fdc6375e1e5a3fa27b,,,,,,(en),19xx,"Magnum Soft",pl,,,,,,,,,,,,
Jetman,,26c6507d448a30c7846ed71748f8fe758310ca9c,,,,,,,19xx,"David Eaton",,,[k-file],,,,,,,,,,
Jetman,,26c6507d448a30c7846ed71748f8fe758310ca9c,,,,,,,19xx,"David Eaton",,,[k-file],,,,,,,,,,
"Jewel Eater",,3bb8c2eb1c1149425f2a19f9dc73aa8d58107fd8,,,,,,,1985,"Computer Kontakt",de,b,"b as2boot",,,,,,,,,,
"Jewel Eater",,3bb8c2eb1c1149425f2a19f9dc73aa8d58107fd8,,,,,,,1985,"Computer Kontakt",de,b,"b as2boot",,,,,,,,,,
"Jewels of Darkness #1 - Colossal Adventure",,e4c6e6e8edf77b3c83af31d3b393018234c91e60,,,,,,,1983,"Level 9 Computing",gb,,,,,,,,,,,,
"Jewels of Darkness #2 - Adventure Quest",,0516cfcf29ca22be32e5305d4cbcd95667f0aee4,,,,,,,1983,"Level 9 Computing",gb,,,,,,,,,,,,
"Jewels of Darkness #3 - Dungeon Adventure",,43db193a43c45975e2f6b8c5ef57a3aed89b613b,,,,,,,1983,"Level 9 Computing",gb,,,,,,,,,,,,
"Jewels of Darkness Trilogy, The",,2fbb1dc6c2bde71bd6f727205e8c0aea57194616,,,"The Jewels of Darkness Trilogy",,"Jewels of Darkness Trilogy, The",,1986,Rainbird,gb,,[compilation],,,,,,,,,,
"Jewels Of Darkness, The",,2fbb1dc6c2bde71bd6f727205e8c0aea57194616,,,"The Jewels of Darkness Trilogy",,"Jewels of Darkness Trilogy, The",,1986,Rainbird,gb,,[compilation],,,,,,,,,,
"Jewels Of Darkness, The - Adventure Quest",,cb936cdb1a8add9bc45bc48583f763e8f4a1e0ea,,,"Adventure Quest",,,,1983,"Level 9 Computing",,,,,,,,,,,,,
"Jewels Of Darkness, The - Colossal Adventure",,e4c6e6e8edf77b3c83af31d3b393018234c91e60,,,"Jewels of Darkness #1 - Colossal Adventure",,,,1983,"Level 9 Computing",gb,,,,,,,,,,,,
"Jewels Of Darkness, The - Dungeon Adventure",,43db193a43c45975e2f6b8c5ef57a3aed89b613b,,,"Jewels of Darkness #3 - Dungeon Adventure",,,,1983,"Level 9 Computing",gb,,,,,,,,,,,,
"Jigsaws - Baa Baa Black Sheep",,ce274c68f10a31f2236c4629a480a8151029bc4f,,,,,,,1981,"Thorn EMI",,,[k-file],,,,,,,,,,
"Jigsaws - Hickory Dickory Dock",,0f07e5700de808df154a119a482e5a2ea291fb4a,,,,,,,1981,"Thorn EMI",,,[k-file],,,,,,,,,,
"Jigsaws - Humpty Dumpty",,9e2d1eb98470c72e630859fcac00c5830fa306e3,,,,,,,1980,"Thorn EMI",,,[k-file],,,,,,,,,,
"Jigsaws - Jack & Jill",,562ee1f57215ea87e9785252e8d7a2aa0061c70a,,,,,,,1981,"Thorn EMI",,,,,,,,,,,,,
"Jigsaws - London Bridge",,0a2968e3e64639bed6fdb552d434e61aed5a4d2e,,,,,,,1981,"Thorn EMI",,,[k-file],,,,,,,,,,
"Jigsaws - Notre Dame",,2f1c0ad6abf4e6d253b8e0816fb7319c7e0db62e,,,,,,,1981,"Thorn EMI",,,[k-file],,,,,,,,,,
"Jigsaws - Pathenogen",,55bc8a3421bd4c494ad470e2c4cf849ee757ac10,,,,,,,1981,"Thorn EMI",,,[k-file],,,,,,,,,,
"Jigsaws - Rome",,4ddc02ca169961c6e2b4e8b6f950f715b3a12fca,,,,,,,1981,"Thorn EMI",,,[k-file],,,,,,,,,,
"Jigsaws - Tower of London",,4232695d76a37adbeae68cb767a73ae1eeb60e7f,,,,,,,1981,"Thorn EMI",,,[k-file],,,,,,,,,,
"Jigsaws - Windsor Castle",,2446293e4f317488e8d119db84c5b95a5c612456,,,,,,,1981,"Thorn EMI",,,[k-file],,,,,,,,,,
"Jigsaws Bavarian Castle",,2f1c0ad6abf4e6d253b8e0816fb7319c7e0db62e,,,"Jigsaws - Notre Dame",,,,1981,"Thorn EMI",,,[k-file],,,,,,,,,,
"Jigsaws Parthenon",,55bc8a3421bd4c494ad470e2c4cf849ee757ac10,,,"Jigsaws - Pathenogen",,,,1981,"Thorn EMI",,,[k-file],,,,,,,,,,
"Jigsaws Tower Of London",,4232695d76a37adbeae68cb767a73ae1eeb60e7f,,,"Jigsaws - Tower of London",,,,1981,"Thorn EMI",,,[k-file],,,,,,,,,,
"Jinxter v1.22",,ca88687c2bd6884cbf22d6db5b49f409c1447fb6,,,Jinxter,,,"v 1.22; (Side B)",1987,Rainbird,,,,,,,,,,,,,
"Jinxter v1.22",,d2afb9d4d93f7827110d4344cc462bb0e17af9ea,,,Jinxter,,,"v 1.22; (Side A)",1987,Rainbird,,,,,,,,,,,,,
"Jmeno Ruze",,4c28a1746eb7cb64ffc2f700c43ed332c94a7e46,,,,,,,1989,"Golden Bat",cz,,[k-file],,,,,,,,,,
"Jocky Wilson's Darts Challenge",,26212f912a922a1789e4fb006de9999030e7c7ac,,,,,,,1988,"Zeppelin Games",gb,,[k-file],,,,,"Lord of Darkness",,,,,
"Jocky Wilson's Darts Challenge",,cca7fbe3c55508b3fcb1c6cbb606cb0c63d78bc9,,,,,,,1988,"Zeppelin Games",gb,,[k-file],,,,,"Mr. Bacardi",,,,,
"Jocky Wilson's Darts Compedium",,43910227304bb5f0583536404ebe6e858ec874c5,,,,,,,1991,"Zeppelin Games",gb,,[k-file],,,,,,,,,,
Joe,,d99965a7d4d9f726dec581ae295a3a4b466e2e25,,,,,,,,,,,,,,,,,,,,,
"Joe Blade",,9dd8f6c6becd455176c05aab264d1b799c437f37,,,,,,(PAL),1988,Players,gb,,[k-file],,,,,L.P.S.,,,,,
"Joe Blade",,9dd8f6c6becd455176c05aab264d1b799c437f37,,,,,,(PAL),1988,Players,gb,,[k-file],,,,,L.P.S.,,,,,
"Joe Blade 2",,28a00059caea291f2c9a929a03ee6d532bfb0a63,,,,,,,,,,,,,,,,,,,,,
"John Anderson's Rally Speedway",,52e3d60cf431aaea30a97606c50991fd47bb5ce1,,,,,,,1983,"Adventure International",us,,[k-file],,,,,,,,,,
"Johny's Trouble",,a8f48c53c76873765fad355c67654fbc0eef3044,,,,,,(en),1992,Mirage,pl,,,,,,,TEBSF,,,,,
"Johny's Trouble",,a8f48c53c76873765fad355c67654fbc0eef3044,,,,,,(en),1992,Mirage,pl,,,,,,,TEBSF,,,,,
"Journey To The Planets",,cbd9bc26a8bff4a46bc916caa6fcdf1fae822beb,,,,,,,1982,"JV Software",us,,[k-file],,,,,,,,,,
"Journey To The Planets",,cbd9bc26a8bff4a46bc916caa6fcdf1fae822beb,,,,,,,1982,"JV Software",us,,[k-file],,,,,,,,,,
Joust,,b430219540a4472e8c20ca31c78deec0ef06c59d,,,,,,,,,,,,,,,,,,,,,
Joust,,94d49722dc7c9eea2f96bbe816ebf65430430c28,,,,,,,1983,Atari,us,,[k-file],,,,,,,,,,
Joust,,94d49722dc7c9eea2f96bbe816ebf65430430c28,,,,,,,1983,Atari,us,,[k-file],,,,,,,,,,
Joust,,c873e46f7e8c68c3bf906dd3c1c093d05ee1dced,,,,,,,1983,Atari,us,,,,Wizard,,,,,,,,
"Joystick Maths",,3f1110efc9cb7e0d43dd8467f413f781e03a6904,,,,,,,19xx,,,b,"b as2boot",,,,,,,,,,
"Joystick Maths",,3f1110efc9cb7e0d43dd8467f413f781e03a6904,,,,,,,19xx,,,b,"b as2boot",,,,,,,,,,
"Jr Pacman",,fc9e4047133f3c7ae15fee68d1cc2aa8e9380099,,,,,,,1984,Atari,us,u,"u nreleased; [5200]; [k-file]",,,,,,,Glenn,,,
"Jr Pacman",,fc9e4047133f3c7ae15fee68d1cc2aa8e9380099,,,,,,,1984,Atari,us,u,"u nreleased; [5200]; [k-file]",,,,,,,Glenn,,,
JR_PAC_MAN,,f5cbc966b385a398bdd5bb95ed4a09077b229891,,,,,,,,,,,,,,,,,,,,,
Juggler,,536eb60db26e4442914da26af22de0909cd7f8ca,,,,,,,1982,ISDI,us,,"[req OSb]; [k-file]",,,,,,,,,,
Juggler,,536eb60db26e4442914da26af22de0909cd7f8ca,,,,,,,1982,ISDI,us,,"[req OSb]; [k-file]",,,,,,,,,,
"Juggles' House",,86997b1b17142ffcaffde53f92bcc67a0c675da9,,,,,,,1982,Atari,us,,,,,,,,,,,,
"Juggles' House",,86997b1b17142ffcaffde53f92bcc67a0c675da9,,,,,,,1982,Atari,us,,,,,,,,,,,,
"Juggles' Rainbow",,b573389de076ce93e38d13e744b234d97c970d03,,,,,,,1982,Atari,us,,,,,,,,,,,,
"Juggles' Rainbow",,b573389de076ce93e38d13e744b234d97c970d03,,,,,,,1982,Atari,us,,,,,,,,,,,,
Juice!,,7a8fc29c02ab8f6fe86e7682de566f3c2b57b520,,,,,,,1983,Tronix,us,,[k-file],,,,,,,,,,
Juice!,,7a8fc29c02ab8f6fe86e7682de566f3c2b57b520,,,,,,,1983,Tronix,us,,[k-file],,,,,,,,,,
"Jumbo Jet Pilot",,37a88dc7f3630b8f3af68cf55e6ea811e203d2a3,,,,,,,1982,"Thorn EMI",gb,,[k-file],,,,,,,,,,
"Jumbo Jet Pilot",,a3f92a40fe490cf25e3a7848d29cbf60a2ce691a,,,,,,,1982,"Thorn EMI",gb,a,"a 1; [k-file]",,,,,,,,,,
JUMBO_JET_PILOT,,1c98fe4cf940a76ace6c59e695193ae0b73e0546,,,,,,,,,,,,,,,,,,,,,
JUMBOJET,,21b3ce6e6ec678caf4e54e9a2d582045fcaa96fb,,,,,,,,,,,,,,,,,,,,,
Jump,,0f9c06b3548bcddda463967a1b601d00979c990e,,,,,,,,,,,,,,,,,,,,,
Jump!,,92b2557c91e0635ccf717c3a1e89eab0b7d58b28,,,,,,,1986,Happy-Computer,de,,[k-file],,,,,,,,,,
Jump!,,92b2557c91e0635ccf717c3a1e89eab0b7d58b28,,,,,,,1986,Happy-Computer,de,,[k-file],,,,,,,,,,
"Jumper 2",,ab012a5a3c90503a3ff287000c6d3a5f07699f41,,,,,,(en),1984,Happy-Computer,de,b,"b as2boot",,,,,,,,,,
"Jumper 2",,ab012a5a3c90503a3ff287000c6d3a5f07699f41,,,,,,(en),1984,Happy-Computer,de,b,"b as2boot",,,,,,,,,,
"Jumping Jack",,6a884cf3ca9223335a37451b7b54b86b0a46de6c,,,,,,,1993,ASF,pl,,,,,,,,,,,,
"Jumping Jack",,65896d4af41c695475606bd39d0379561317dd6e,,,,,,,1993,ASF,pl,,[k-file],,,,,KSL,,,,,
"Jumping Jacks Big Adventure",,f748475c5863bc6b9d89ffde9e691acadbf4ffcb,,,,,,(en),1983,"Siegmund, Harald",de,,"[req OSa]",,,,,,,,,,
"Jumping Jacks Big Adventure",,f748475c5863bc6b9d89ffde9e691acadbf4ffcb,,,,,,(en),1983,"Siegmund, Harald",de,,"[req OSa]",,,,,,,,,,
"Jumping Jim",,da2413c9d447a8ac148b1a4204bf37e542c21332,,,,,,"v 0.3",1983,"Jim D'Agostino",,,[k-file],,,,,,,,,,
"Jumping Jim v0.3",,da2413c9d447a8ac148b1a4204bf37e542c21332,,,"Jumping Jim",,,"v 0.3",1983,"Jim D'Agostino",,,[k-file],,,,,,,,,,
JUMPING_JACK_FIX_LOADER,,04b8f4bd4168de4fe67f1cff52ee0ee935fdc531,,,,,,,,,,,,,,,,,,,,,
JUMPING_JACK_ORIGINAL_,,8449bdd3d8a8caf77951ada4bf3f12b0484a408f,,,,,,,,,,,,,,,,,,,,,
Jumpjet,,05c5a492587ddeff941cdba7f2f62282b24ab221,,,,,,,,,,,,,,,,,,,,,
