"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"Gates of Zendocon, The",,ed051179dc5fcff614c5e41a64cff7cbd3b0d63c,,,,,,"(1989)(Epyx Inc)[a]",,,,,,,,,,,,,,,
"Gates of Zendocon, The",,69a920cf25bc1f1b9c47e4f420f9df5d3a1a15ac,,,,,,"(1989)(Epyx Inc)",,,,,,,,,,,,,,,
"Gauntlet - The Third Encounter",,7cf7d08b52784e13d8278d249dcd8975d3714da4,,,,,,"(1989)(Tengen Inc)[a]",,,,,,,,,,,,,,,
"Gauntlet - The Third Encounter",,c6abb87eb1eb50ca5efba2a45e678a7677afed30,,,,,,"(1989)(Tengen Inc)",,,,,,,,,,,,,,,
"Gordo 106 - The Mutated Lab Monkey",,5c8b784b7089231cc96c589aca72c079c4e9b980,,,,,,"(1992)(Tenth Planet)[b]",,,,,,,,,,,,,,,
"Gordo 106 - The Mutated Lab Monkey",,949945ecd5ca1262512b4cfa45414db75f9af42e,,,,,,"(1992)(Tenth Planet)[b2]",,,,,,,,,,,,,,,
"Gordo 106 - The Mutated Lab Monkey",,46fd69c68cb0929a2d21ecc5225390b7425ae3f4,,,,,,"(1992)(Tenth Planet)",,,,,,,,,,,,,,,
"Hard Drivin'",,758ac32ef7c1aa7ad96393236795d70058d9af2c,,,,,,"(1993)(Tengen Inc)[a]",,,,,,,,,,,,,,,
"Hard Drivin'",,d15e40f97d277615e03e861d5962d3f5b35e1d58,,,,,,"(1993)(Tengen Inc)",,,,,,,,,,,,,,,
Hockey,,0465752c632e396218ce4d8a111c005e7dda55a2,,,,,,"(1992)(Atari Corp)[b]",,,,,,,,,,,,,,,
Hockey,,2f2d74cfba54360e7f5555d182a9e9e7f74287e8,,,,,,"(1992)(Atari Corp)",,,,,,,,,,,,,,,
Hydra,,397e0953fb2105268fcaf148b9900e614348db13,,,,,,"(1992)(Tengen Inc)[b]",,,,,,,,,,,,,,,
Hydra,,5ceb3ad748cd42e181067a191e2b0dccc0325057,,,,,,"(1992)(Tengen Inc)",,,,,,,,,,,,,,,
"Ishido - The Way of the Stones",,3508d30bf1c62dde31c6d888b29b2d7964b73149,,,,,,"(1991)(Atari Corp)[a]",,,,,,,,,,,,,,,
"Ishido - The Way of the Stones",,f7f2fb564c589fc8499f0aafd21ef13a38135947,,,,,,"(1991)(Atari Corp)",,,,,,,,,,,,,,,
"Jimmy Conners Tennis",,fd3b964695589d2208bd6977a21b8ab897eacdaf,,,"Jimmy Connors Tennis",,,"(1993)(Atari Corp)[b]",,,,,,,,,,,,,,,
"Jimmy Conners Tennis",,573eb78247f1d7b411fe6faa04d45eeff84f884d,,,"Jimmy Connors Tennis",,,"(1993)(Atari Corp)[b2]",,,,,,,,,,,,,,,
"Jimmy Conners Tennis",,eb53241c8cac2456684c4b1fe86aa8c90e765d91,,,"Jimmy Connors Tennis",,,"(1993)(Atari Corp)",,,,,,,,,,,,,,,
Joust,,9a72b390ce25ffe8400b7abdedd2ca61d3957cc3,,,,,,"(1993)(Shadowsoft Inc)[a]",,,,,,,,,,,,,,,
Joust,,667a5e64033076a242297aa846001ab4475e1472,,,,,,"(1993)(Shadowsoft Inc)[a2]",,,,,,,,,,,,,,,
Klax,,9dfc72e4bb77215a4f17a496eece50d6510d48a9,,,,,,"(1990)(Tengen Inc)[b]",,,,,,,,,,,,,,,
Klax,,66a04e14e07367a59fb979b25915008ac1602233,,,,,,"(1990)(Tengen Inc)",,,,,,,,,,,,,,,
"Krazy Ace Minature Golf",,a973124b5e6df36c24109b9a1baeb0002cb1458d,,,,,,(1992)(Telegames)[b3],,,,,,,,,,,,,,,
"Krazy Ace Minature Golf",,b2a43b2303447fde6426801417f18e28a69803d1,,,,,,(1992)(Telegames)[b],,,,,,,,,,,,,,,
