"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"1 Across 2 Down",,d7f2ddbd23bdf40a35cadf1afa7ab4de33bd2e98,,,,,,"Copyright Licenceware; (Disk 1 of 2)",1990/12,"Amiganuts United",,,[AMOS],,,,,,,,,,
"20000 Leagues Under the Sea",,6539458c387f0b2a17452e0fb860f2179ee54aba,,,,,,,1989,"Coktel Vision",,a,"a 1",,,,,,,,,,
"20000 Leagues Under the Sea",,fcbe031286afb46b2c58a46664c709898cbc32f2,,,,,,,1989,"Coktel Vision",,,,,,,,,,,,,
"20000 Leagues Under the Sea",,4fa9c3387b7d2d980da21956d8af5cbd6ae193d7,,,,,,,1989,"Coktel Vision",es,,,,,,,Antros,,,,,
"20000 Lieues Sous les Mers",,34c38b1d0a65dcd3bae14689fef9c6731b1abbe7,,,,,,,1988,"Coktel Vision",fr,a,"a 1",,,"en Ackerlight",,Ackerlight,,,,,
"20000 Lieues Sous les Mers",,f93b5929ba53ac92652328b955cda049248a2e21,,,,,,,1988,"Coktel Vision",fr,,,,,"en Ackerlight",,Ackerlight,,,,,
"20000 Lieues Sous les Mers",,10b54a113ab807b851b9a5ce5b66a24dbf8450c4,,,,,,,1988,"Coktel Vision",fr,,,,,,,"BS1 - TKT - INA",,,,,
"20000 Lieues Sous les Mers",,138dbb1b77d4cb699d8ffdc04bb3ad05463e5ba8,,,,,,,1988,"Coktel Vision",fr,,,,,nl,,"Guild of Thieves",,,,,
"20000 Meilen Unter dem Meer",,e32c8807ae1e26790d909a2c1aecde55431e4c4b,,,,,,,1988,"Coktel Vision",de,b,"o 1; b 1",,,,,Raistlin,,,,,
"20000 Meilen Unter dem Meer",,cc4dface8387b270e0d996205c16bb852abd6168,,,,,,,1988,"Coktel Vision",de,,,,,,,1,,,,,
"20000 Meilen Unter dem Meer",,dcb513a94876f83af9a4892727f0d531c5b866e0,,,,,,,1988,"Coktel Vision",de,,,,,,,Champs,,"Personal Crackings",,,
"20000 Meilen Unter dem Meer",,f3d669f8b314d1ff23ae427c3eba73009fde61b6,,,,,,,1988,"Coktel Vision",de,,,,,,,Champs,,,,,
"3001 - O'Connors Fight",,cab0c8e6757160300d87da455e7ce627ad2f7623,,,,,,,1990,"Rainbow Arts",,a,"a 1",,,,,Aeon,,,,,
"3001 - O'Connors Fight",,a432fec95ce44a15245b1ffc8b7607647213b217,,,,,,,1990,"Rainbow Arts",,,"[3001 - O'Connors Fight II]",,,,,Aeon,,TT,,,
"3001 - O'Connors Fight",,d851f5d93e316c8669f15cdfaec973ec1876e48b,,,,,,,1990,"Rainbow Arts",,,"[v Blizzard v1.0]",,,,,Aeon,,,,,
"3001 - O'Connors Fight",,ba3948d0fd469727fc5c356b1218658ac3dd4e0a,,,,,,,1990,"Rainbow Arts",,,,,,,,Aeon,bamcopy,,,,
"3D Construction Kit II r2.01",,c6fd3d02dc38329a79f1c91030fadcaeba05cc0d,,,,,,"(Disk 1 of 2)",1992,Domark,,,"[construction kit]",,,,,,,Ministry,,,
"3D Construction Kit II r2.01",,c1b3d1794dc27349f4b60a7bed3c60ce8f3270f2,,,,,,"(Disk 2 of 2)",1992,Domark,,,"[construction kit]",,,,,,,,,,
"3D Construction Kit II r2.03",,ba340022ba1ab0eaa5b3c078f4f0815fea21c690,,,,,,"(Disk 2 of 2)",1992,Domark,fr,,"[construction kit]",,,,,,,,,,
"3D Construction Kit II r2.03",,97ea7e6d4889904bc98342d25d21a3f0ceecc36f,,,,,,"(Disk 1 of 2)",1992,Domark,fr,,"[construction kit]",,,,,,,,,,
"3D Construction Kit r01.0000",,8589f3e09d37f3d2ed147cd4d9014e06adebd6d5,,,,,,,1991,Domark,,a,"a 1; [construction kit]",,,,,,,FLT,,,
"3D Construction Kit r01.0000",,e493ebc8ece761793d166463a083efccbca80ad8,,,,,,,1991,Domark,,,"[construction kit]",,,,,,,FLT,,,
"3D Construction Kit r01.0000",,f87bf31e4cb728bcacb5a5267e8c393297d35522,,,,,,,1991,Domark,,,"[construction kit]",,,,,,,,,,
"3D Construction Kit r01.1000",,ea71e8970dfc65fa1a37cdb4085d2bf4d35f3929,,,,,,,1991,Domark,m4,,"[v Virus Hunter 2.1]; [construction kit]; [docs]",,,,,,,"CSL - LSD",,,
"3D Construction Kit r01.2000",,98ef536edf0e19b500ad1f7ec5d5b07b79807ecc,,,,,,,1991,Domark,m4,,"[construction kit]",,,es,,,,SKN,,,
"3D Construction Kit r01.2000",,c4e5bfa58f6abe43b792452d585147ab2fe73478,,,,,,,1991,Domark,m4,,"[construction kit]",,,es,,,,,,,
"3D Galax",,ea0d4e5489b27e974626f682b8964412a773b470,,,,,,,1989,Gremlin,,,,"AGA Codetapper",,,,Codetapper,,,,,
"3D Pool",,3e2b102628bc12bab9ba435fc37586e75474bf4f,,,,,,,1991,MicroProse,,,,,,,,Spirit,,,,,
"3D Pool",,2282fab242beb4680567a3014c89b8cdea7ca15b,,,,,,,1989,Firebird,,,,,,,,"Black Monks",,,,,
"3D Pool",,7cfa4dcf51f1e3fae45f1fc631f4d7adb8e3693f,,,,,,,1989,Firebird,,,,,,,,"Black Monks",1,,,,
"3D Pool",,c142591377be500c1677a6463f4312db4df92b21,,,,,,,1989,Firebird,,b,"b corrupt file",,,,,"Black Monks",,,,,
"3D World Boxing",,f8891ee66d606259cd9ae442326fd84cc6fdf306,,,,,,,1992,Simulmondo,m4,,,,,,,SR,,,,,
"3D World Boxing",,ad2c2e968c5089d084cdfd338e228d9bcbe93a21,,,,,,,1992,Simulmondo,m4,a,"a 1",,,,,SR,,,,,
"3D World Boxing",,456dedd66d3a7252f4fb37bdb9a41647d50d1e55,,,,,,,1992,Simulmondo,m4,,,,"+5 GOD",,,SR,,,,,
"3D World Soccer",,d4c7298dbeb1fe18e8e233cc0ac2a24ed1f75f7a,,,,,,"(Disk 1 of 2)",1992,Simulmondo,m4,a,"a 2",,,,,Ministry,,,,,
"3D World Soccer",,871c12b9c0252cf210f502ca97badde41fc0744c,,,,,,"(Disk 1 of 2)",1992,Simulmondo,m4,a,"a no cracktro",,,,,Ministry,,,,,
"3D World Soccer",,07e7c04256661d4b2c2383fab8f63ace2510e6bf,,,,,,"(Disk 2 of 2)",1992,Simulmondo,m4,b,"b corrupt file",,,,,,,,,,
"3D World Soccer",,57cddc86d1f397e127577b26b2035cfed49cfad2,,,,,,"(Disk 2 of 2)",1992,Simulmondo,m4,,,,,,,,,,,,
"3D World Soccer",,2cac43f8844f62a984c2482aa1488aee43d7d065,,,,,,"(Disk 1 of 2)",1992,Simulmondo,m4,,,,,,,Ministry,,,,,
"3D World Soccer",,2a594d2c73ccdd0d6011aa5819245e4e7e5b6e21,,,,,,"(Disk 4 of 4)",1992,Simulmondo,m4,b,"b ootable",,,,,CDI,,,,,
"3D World Soccer",,5acb2c55506da51cc52d581956b918d4c84230e1,,,,,,"(Disk 1 of 4)",1992,Simulmondo,m4,,,,,,,CDI,,,,,
"3D World Tennis",,0cc748bfe8b026970c28653cc61856bc77dd8c89,,,,,,,1992,Simulmondo,m4,a,"a 5 cracktro disabled; [KS2.0]",,,,,CDI,,,,,
"3D World Tennis",,d104dd9e27e5643c9ac4ec9b9f6e1afb885e1b60,,,,,,,1992,Simulmondo,m4,,,,,,,CDI,,,,,
"3D World Tennis",,eba9b290dde56e0607808bf311057d66e411b1d8,,,,,,,1992,Simulmondo,m4,a,"a 1",,,,,CDI,,,,,
"3D World Tennis",,fa291c647ef2c67059fcd2104ba52b1de191d96f,,,,,,,1992,Simulmondo,m4,a,"a 4 cracktro disabled; [KS2.0]",,,,,CDI,,,,,
"3D World Tennis",,ded74864dc3a550b914183cf24b6f8b6f1a0993e,,,,,,,1992,Simulmondo,m4,a,"a 6 cracktro disabled; [KS2.0]",,,,,CDI,,,,,
"3D World Tennis",,5755cfd1fe28be910f734de77545fb335bdf42b3,,,,,,,1992,Simulmondo,m4,,,,,,,CDI,bamcopy,,,,
"3D World Tennis",,2ff59294cc19266b2312d4b2164761ef8d814b6e,,,,,,,1992,Simulmondo,m4,a,"a 3 cracktro disabled; [KS2.0]",,,,,CDI,,,,,
"3D World Tennis",,d7725953ce563ca0dfbc7c53a41945b048fd3c69,,,,,,,1992,Simulmondo,m4,a,"a 2",,,,,CDI,,,,,
"3D World Tennis",,19550e514410870e7e7d87e40ec6256a2ab13d8a,,,,,,,1992,Simulmondo,m4,,,,,,,CDI,,"Kon Tiki",,,
"4D Sports Boxing v1.0",,74d7502165f89ab60674919339549325427b70a3,,,"4D Sports Boxing",,,"v 1.0; (Disk 2 of 2)",1991,Mindscape,,,,,,,,,"player data",,,,
"4D Sports Boxing v1.0",,f80ed24772919bf97eaef456430ff9fa026721e7,,,"4D Sports Boxing",,,"v 1.0; (Disk 1 of 2)",1991,Mindscape,,,,,,,,CSL,bamcopy,,,,
"4D Sports Boxing v1.0",,96b432eba2af0228472fcd34c334e7a475ee68c3,,,"4D Sports Boxing",,,"v 1.0; (Disk 2 of 2)",1991,Mindscape,,,,,,,,,"3 player data",,,,
"4D Sports Boxing v1.0",,c6252301046182fa428a6b12470e24b392391b45,,,"4D Sports Boxing",,,"v 1.0; (Disk 1 of 2)",1991,Mindscape,,,,,,,,CSL,1,,,,
"4D Sports Boxing v1.0",,a7ddee666212fee76f61911edc0e41755fd8851d,,,"4D Sports Boxing",,,"v 1.0; (Disk 2 of 2)",1991,Mindscape,,,,,,,,,,,,,
"4D Sports Boxing v1.0",,7a7f42ab57458b4fd3e365a973f30a18f3b97a12,,,"4D Sports Boxing",,,"v 1.0; (Disk 2 of 2)",1991,Mindscape,,,,,,,,,bamcopy,,,,
"4D Sports Boxing v1.0",,f2bb4e8ae73ecb0228197433840fb74f5711e80a,,,"4D Sports Boxing",,,"v 1.0; (Disk 2 of 2)",1991,Mindscape,,,,,,,,,1,,,,
"4D Sports Boxing v1.0",,5c2126ba757480e3b91846386872b884df3b86c7,,,"4D Sports Boxing",,,"v 1.0; (Disk 2 of 2)",1991,Mindscape,,,,,,,,,"2 player data",,,,
"4D Sports Boxing v1.0",,2522bbdf9dada9183db9f2c7df98c337182ca733,,,"4D Sports Boxing",,,"v 1.0; (Disk 1 of 2)",1991,Mindscape,,,,,,,,CSL,,,,,
"4D Sports Boxing v1.0",,69631e63deeb9728f7bec6fe243aa690f72912e6,,,"4D Sports Boxing",,,"v 1.0; (Disk 1 of 2)",1991,Mindscape,,,,,,,,CSL,2,,,,
"4D Sports Driving v1.2",,42f793295e1bab767c1a880f6ddfabcfc0fdd239,,,"4D Sports Driving",,,"v 1.2; (Disk 2 of 2)",1992/01/10,Mindscape,,a,"a 2; [modified tracks]",,,,,,1,,,,
"4D Sports Driving v1.2",,204506cbb5e259135e2c25d800d5fcfb610725c9,,,"4D Sports Driving",,,"v 1.2; (Disk 2 of 2)",1992/01/10,Mindscape,,a,"a 3; [modified tracks]",,,,,,1,,,,
"4D Sports Driving v1.2",,426fa679bf05dc34f7f7c39ab4afa886739b31df,,,"4D Sports Driving",,,"v 1.2; (Disk 2 of 2)",1992/01/10,Mindscape,,a,"a 6; [modified tracks]",,,,,,1,,,,
"4D Sports Driving v1.2",,0ea4ee585b715e73ae16f5eb064daff8f22504eb,,,"4D Sports Driving",,,"v 1.2; (Disk 1 of 2)",1992/01/10,Mindscape,,,,,,,,CSL,,Liberty,,,
"4D Sports Driving v1.2",,7970c1a029adb0d2dd0f1a83de9e169299ee6775,,,"4D Sports Driving",,,"v 1.2; (Disk 1 of 2)",1992/01/10,Mindscape,,,,,,,,1,,,,,
"4D Sports Driving v1.2",,e0374c4a7a32e4840b7396e082e14b78760aff1e,,,"4D Sports Driving",,,"v 1.2; (Disk 2 of 2)",1992/01/10,Mindscape,,a,"a 4; [modified tracks]",,,,,,1,,,,
"4D Sports Driving v1.2",,0c14094adf31536d46bfca385fde5b137673ffe0,,,"4D Sports Driving",,,"v 1.2; (Disk 2 of 2)",1992/01/10,Mindscape,,a,"a 1; [modified tracks]",,,,,,1,,,,
"4D Sports Driving v1.2",,e9dce664d4153b9a08b955a878016b11945a1c1a,,,"4D Sports Driving",,,"v 1.2; (Disk 1 of 2)",1992/01/10,Mindscape,,,,,,,,CSL,,TSS,,,
"4D Sports Driving v1.2",,f34c6c51f9a4d947f1a510719a18f6f4b866b379,,,"4D Sports Driving",,,"v 1.2; (Disk 2 of 2)",1992/01/10,Mindscape,,a,"a 8; [modified tracks]",,,,,,1,,,,
"4D Sports Driving v1.2",,c946218f1a8b15196f4818ca196b09eb78da3c77,,,"4D Sports Driving",,,"v 1.2; (Disk 1 of 2)",1992/01/10,Mindscape,,b,"b corrupt file",,,,,CSL,,TSS,,,
"4D Sports Driving v1.2",,1d5f401ed489199e1692f600deeda916151b92aa,,,"4D Sports Driving",,,"v 1.2; (Disk 1 of 2)",1992/01/10,Mindscape,,a,"a 1",,,,,CSL,,KTS,,,
"4D Sports Driving v1.2",,a4ff1a36e125f68605a01fd0f98cda871608687b,,,"4D Sports Driving",,,"v 1.2; (Disk 1 of 2)",1992/01/10,Mindscape,,b,"b corrupt files",,,,,CSL,,"Taipan - M-M-D",,,
"4D Sports Driving v1.2",,68ae99ef5340e3268e0cc917c2d906670d925337,,,"4D Sports Driving",,,"v 1.2; (Disk 2 of 2)",1992/01/10,Mindscape,,,,,,,,,diskoptim,,,,
"4D Sports Driving v1.2",,181e222a96c8b6c2ae97eaf573f3bf432b3dbae0,,,"4D Sports Driving",,,"v 1.2; (Disk 1 of 2)",1992/01/10,Mindscape,,b,"b 1","AGA SYX",,,,CSL,,,,,
"4D Sports Driving v1.2",,0f63913ed798aafffe264c5ef9cc907f3b972fbe,,,"4D Sports Driving",,,"v 1.2; (Disk 2 of 2)",1992/01/10,Mindscape,,a,"a 5; [modified tracks]",,,,,,1,,,,
"4D Sports Driving v1.2",,94811433dcdbfc5844c0c735eacade547267f129,,,"4D Sports Driving",,,"v 1.2; (Disk 1 of 2)",1992/01/10,Mindscape,,,,,,,,CSL,,,,,
"4D Sports Driving v1.2",,f74c896c43c1ae8ff935957a57e923f9d26fa9e8,,,"4D Sports Driving",,,"v 1.2; (Disk 1 of 2)",1992/01/10,Mindscape,,a,"a 1",,,,,CSL,,,,,
"4D Sports Driving v1.2",,c5ea8a9b47b1dbed82ef194e6de7bc55397c34ec,,,"4D Sports Driving",,,"v 1.2; (Disk 1 of 2)",1992/01/10,Mindscape,,,,"AGA Fix Ltd",,,,CSL,,,,,
"4D Sports Driving v1.2",,956eb24376dbba8375fb96eea52259c1b5de1c13,,,"4D Sports Driving",,,"v 1.2; (Disk 2 of 2)",1992/01/10,Mindscape,,a,"a 7; [modified tracks]",,,,,,1,,,,
"4D Sports Driving v1.2",,eec3ba898e57c5f3378c0672d6f53b85b64ea291,,,"4D Sports Driving",,,"v 1.2; (Disk 2 of 2)",1992/01/10,Mindscape,,,,,,,,,,,,,
"4D Sports Driving v1.2",,d3554d26c126489b4156b86f6a9eb320426a1dee,,,"4D Sports Driving",,,"v 1.2; (Disk 2 of 2)",1992/01/10,Mindscape,,,"[modified tracks]",,,,,,1,,,,
4-Get-It,,1ed9e7b42338f8c2cda1b7ce2e55354f6b9a4ae5,,,,,,,1992,"TTR Development",,b,"b corrupt file",,,,,SR,,,,,
4-Get-It,,3fd716f7fba61e56a6e3d40d443069ab7cc71111,,,,,,,1992,"TTR Development",,,,,,,,SR,,,,,
"4th & Inches",,4ce37f461f78ab8ade18a5f654ac9b03be1c42fc,,,,,,,1988,Accolade,,,[KS1.2],,,,,WOW,,,,,
