"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
Dunjunz,,024d29ee03a752fe15c7cd2db71aaadeaa4f78bd,,,Dunjunz,,,"(Side 1)",1987,"Bug Byte",,,[DUNJUNZ],,,,,,,,,,,
"Indoor Sports",,025a8b081a083eb630942d555a4a9cc18b0d32e9,,,"Indoor Sports",,,,1988,Tynesoft,,,,,,,,,,3,,,,
"Drunken Dan",,025e63f5d9d67d56bb98d4f2d6e435af03cec334,,,"Drunken Dan",,,,19xx,,,,,,,,,,,TSTH,,,,
@,,0272c07899d29e6527d7829c6db986a5b31e3c8c,,,Lemon,@,,"v 4.00",1985,@,@,,,,,,,,,,,,,
"Red Arrows, The",,027c5c822eb90e437dcff4256c3bb14a7c7fb703,,,"The Red Arrows",,"Red Arrows, The",,1985,Database,,,[REDARW],,,,,,,,,,,
Sinistar,,0287f06036059e3b43dc37bc6efa6ebebec6c603,,,Sinistar,,,,1985,Atarisoft,,,[SINIST1],,,,,,,,,,,
Robotron,,0287f2617021ccb9fedbf9147713dfdcfca65e2b,,,Robotron,,,,19xx,Silversoft,,a,"a 1; [ROBOTRO]",,,,,,,,,,,
"Knight Lore",,029194333d02c867f6d8b9ab95b94546b875b27a,,,"Knight Lore",,,,19xx,Ultimate,,b,"b 2; [KNIGHT]",,,,,,,,,,,
Tapper,,0298d597df070a2e58d4f083b0071e681393c345,,,Tapper,,,,1986,"U.S. Gold",,,,,,,,,,2,,,,
"Mysterious Adventure 03: Arrow of Death: Part 1",,02a7c16a85d342154705644886ccced4f7628b1c,,,"Mysterious Adventure 03: Arrow of Death: Part 1",,,,19xx,"Digital Fantasia",,a,"a 2; [ARROW]",,,,,,,,,,,
Golf,,02ab3006e94880cd8c1869f9f52204c6f860b843,,,Golf,,,,19xx,,,,[GOLF],,,,,,,,,,,
"Lunar Jetman",,02c5080d01a5d2df05a7b65c1e45bfa1d6b471ca,,,"Lunar Jetman",,,,19xx,Ultimate,,,,,,,,,,TSTH,,,,
"Bruce Lee",,02d1845e7b3f0e8f15764f35da90a9d1ae30e0dd,,,"Bruce Lee",,,,1985,"Micro Power",,a,"a 2; [BRULOAD]",,,,,,,,,,,
"Beebug Magazine: Volume 03: Number 01 to 10 & Volume 05 Number 01",,02d9e3c4ab569b0b278febce6f50594a07db897e,,,"Beebug Magazine: Volume 03: Number 01 to 10 & Volume 05 Number 01",,,,19xx,Beebug,,,[ADFS],,,,,,,8-Bit,,,,
"Crystal Castles",,02e9a4030863c49677a82438f28a7e46b8fb515b,,,"Crystal Castles",,,,19xx,"U.S. Gold",,a,"a 1; [CRYSTAL]",,,,,,,,,,,
"Shanghai Warriors",,02eb1c6ac07a2edcbdd5c548b5eda3c63df6bf7f,,,"Shanghai Warriors",,,,1989,Players,,,,,,,,,,,,,,
