"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Super Mario World VIP & Wall & ALASKA MIX 5 aae 1.05 unlocked",,00da953a775cfa1b391d7ac3c8b9c34bd5a769c3,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Hanna Barbera's Turbo Toons",,00dbd47f950d1573eb7ef455fa812b8b41dfde5a,,,,,,"(E) [h1C]",,,,?,,,,,,,,,,,,
"Table Game Daishuugou! Shougi Mahjong Hanafuda",,00ddbd9471f9b22b927a2361c672d7e4081fb69d,,,,,,"(J) (BS)",,,,?,,,,,,,,,,,,
"Tales of Phantasia",,00de1576c4c5dc177013d6cdec19087e3693d05d,,,"Tales of Phantasia",,,,1994,Namco,jp,,,,,,,,,1,,,,
"Chuck Island Full by Fr3akyZockt Fertige",,00e0e201e7a0239fd5dc5c61a96f28689bf8de91,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"F1 Pole Position",,00e121518ab484e43b6eb298c9b38ac5aaeab208,,,,,,"(U) [h1C]",,,,?,,,,,,,,,,,,
"Thoroughbred Breeder III",,00e19f7eb868eebc256c1d5734867c377904f302,,,,,,(J),,,,?,,,,,,,,,,,,
Timeslip,,00e791fefb9923eb832bc7fef2c1b738de4f8f3f,,,TimeSlip,,,"(E) [!]",,,,?,,,,,,,,,,,,
SMWPIEI,,00e887ecfcb68f38cc71016390ac23b002f17d39,,,,,,"(fixed) (SMW1 Hack)",,,,?,,,,,,,,,,,,
"Bassin's Black Bass",,00ed4647b76ba25458217fb7960c36dbe8be86b0,,,,,,"(U) [b1]",,,,?,,,,,,,,,,,,
"Super Mario World: Piemerican Edition",,00f019553645f25b2ce47189097b49815034467d,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Kung-Fu Master Demo by Lint",,00f1444a3e07e88bd0b9e424e54112432b1a6d63,,,,,,(PD),,,,?,,,,,,,,,,,,
"Gekitou Burning Pro Wrestling",,00f3e3b835a8f5148784cd8b6802441a3dfbba7c,,,,,,"(J) [T-Eng_Phil]",,,,?,,,,,,,,,,,,
"Beavis and Butt-head",,00f649f44816ff432ee2b29d7290f2e9544857b5,,,,,,"(U) [!]",,,,?,,,,,,,,,,,,
"Smashit by elix",,00f899dc885fe5d9db9bffa99a26fba9baf9f96f,,,,,,"(PAL) (PD)",,,,?,,,,,,,,,,,,
"NHL Stanley Cup",,00f91e952aec27cf799d50c6aaaca7454e32640b,,,"Super Hockey",,,(E),,,,?,,,,,,,,,,,,
"Daibakushou Jinsei Gekijou: Ooedo Nikki",,01068ed4d7865372f3c22342f5898204a1ebcf5f,,,,,,"(J) [!]",,,,?,,,,,,,,,,,,
"NHL '94 2on5-Pittsburgh Penguins",,0109f4714eabf4d6daa51226bc59195488967ce9,,,,,,(Hack),,,,?,,,,,,,,,,,,
"Knights of the Round",,010a23558a48d778342768f93887ed03720e0418,,,,,,"(U) [t3]",,,,?,,,,,,,,,,,,
"Unknown Super Mario World",,010c604851dbdc70475661e05b4b71225d5997fb,,,,,,"(048) (SMW1 Hack)",,,,?,,,,,,,,,,,,
