"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Shooting Game Builder",,0da8be14772b6cd3ac3c24813b36cee2f0fb4076,,,SB,,,v0.99.94,,,,?,,,,,,,,,,,,
"Kirisame Blade 2",,0daae97d17d43a97f821541711a040c01cc769e4,,,,,,v1.30,,,,?,,,,,,,,,,,,
"Hexxen 2",,0ddff93fe544cc00e8ba9e43714408d94b110738,,,REGISTER,,,,,,,?,,,,,,,,,,,,
Stranded,,0e99dc877d2da469574459f95e07579eb32069cc,,,,,,v1.30,,,,?,,,,,,,,,,,,
Motorhead,,0ee71856db9ef6c6d258480513aa7a1332428292,,,,,,v1.0,,,,!,,,,,,,,,,,,
"Castlevania: Lecarde Chronicles",,0eebe9c10138bcff12dcfd702cdcc7c92faef02f,,,"ctlc data b",,,,,,,?,,,,,,,,,,,,
Screwball,,0f14a41a748a04c38042372243c4f1d868db8442,,,,,,,,,,?,,,,,,,,,,,,
MUGEN,,0f1cc29b81017a08fe725c2d7d88b5f8b360b9a1,,,sndmaker,,,v1.02,2010/05/04,Elecbyte,xw,?,,,,,,,,,,,,
"Star Wars Rogue Squadron",,0f30c546b042bdc27fe46293d788ce3558e66fa5,,,register,,,,,,,?,,,,,,,,,,,,
"Maniac Mansion Deluxe",,0f531f6c790c90c9db3349f18c62953f1009eafd,,,,,,,,,,!,,,,,,,,,,,,
Neverball,,0f67c57f17e9c7940ed519ee0252e5dc9d2def73,,,mapc,,,,,,,?,,,,,,,,,,,,
"PC Sensible World of Soccer: Total Pack",,0ffd232d470be8f4257ef63e7830305e7e00274e,,,updater,,,,,,,?,,,,,,,,,,,,
Unreal,,10b8c3c2fcb60fc7b67233de0d853e1d66b7375c,,,,,,,,,,?,,,,,,,,,,,,
"Touhou 6: The Embodiment of Scarlet Devil",,10bc56801ecadefe2ac75d7783726b07f099d899,,,th06_english_patch_0.8,,,,,,,?,,,,,,,,,,,,
"Shooting Game Builder",,10e4a502772b1c466d982daecb1ea82aec8de155,,,dae,,,v0.99.94,,,,?,,,,,,,,,,,,
"Maldita Castilla",,12584ec24251f9ba1b67c38be0745046d7c0c053,,,Settings,,,,,,,?,,,,,,,,,,,,
"Shiawase no mahou ishi",,1263635518f78eda77393acdf80bafb6c74aa2ff,,,KeyConfig,,,,,,,?,,,,,,,,,,,,
Kamui,,12b462ace347944a1aa9f63c54d9b5c8fc9b6062,,,"Kamui: Setup",,,v1.03,,,,?,,,,,,,,,,,,
Spelunky,,12cb9517e70758fc7ccd3050e45952241221f7b2,,,,,,v1.1,,,,?,,,,,,,,,,,,
"Bloodborne PSX",,12fe7fdb6da8132eb79e5f858885d6038ba1d7e7,,,,,,v1.03,,,,?,,,,,,,,,,,,
"Virtua Figther PC",,132661ea640649a6b4b55f8515e58926963e22bb,,,DXSETUP,,,,,,,?,,,,,,,,,,,,
"Castlevania: Hell's Lullaby",,135e264261778ac40f06d8d035cf001c62cf597f,,,,,,v1.2.0,,,,?,,,,,,,,,,,,
"五月雨 ～samidare～",,13d6b5377898c86431d76c14655a9343a7721343,,,Rain_FFB,,,,,,,?,,,,,,,,,,,,
