"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"DinoSaw PD",,525f37de06025689e8a33dd37dcfa06bb2ace858,,,,,,,19xx,"Cooper, Tom",,,,,,,,,,,,,,
"Multi-Program 14",,527f429b2cb5011cc4c679923b16098297c4b315,,,,,,,19xx,,,,,,,,,,,,,,,
"Bubble Fair",,52924827d448385b8088182fc51ad944be49030e,,,,,,,1991,Eterna,,,,,,,,,,,,,,
"Coconizer v1.3",,54183952c0ee20cdbd29d73f8e0df4e5e089c8f7,,,Coconizer,,,"v 1.3",1990,Playfield,,,,,,,,,,,,,,
VZap,,54da1d0545b62591070b4f586efd5f3bf2859f62,,,,,,,2000,"Vigay, Paul",,b,"b 1",,,,,,,,,,,
@,,5757ca6129520bd0b8aa520f0d7ce1f9eeb20ceb,,,Heimdall,@,,"(Disk 1 of 5); (Disk 0)",1993,"Krisalis Software",gb,,[F1018801],,,,,,,,,,,
@,,58b61c7171cf944ed1e7a949bb6d1998982bef38,,,"Oh, No! More Lemmings",@,,,2001,"R-Comp Interactive",gb,,"[F1059601 - RPC-SA-Kinetic-RO4 Compatible Version]",,,,,,,,,,,
Starch,,58e1e3791a880cdf1544eaccdbe43452f8846ace,,,,,,,1990,"Alien Images",,,,,,,,,,,,,,
"Simon the Sorcerer",,59b5706488a5be5dc7774c142b1f01cd61bcb766,,,,,,"(Disk 09 of 10)",1994,Gamesware,,,,,,,,,,,,,,
@,,5a541ea99fd3e143285922799fd33628d8a4830c,,,Populous,@,,,1992,"Krisalis Software",gb,,[F1028501],,,,,,,,,,,
"Archimedes Moria",,5ae480ff4765575e5fac504e25daeb885a41228d,,,,,,,19xx,,,,,,,,,,,,,,,
"Multi-Program 01",,5c6fff2812f3c5657fac111f0d3b61cd52ac50bc,,,,,,,19xx,,,a,"a 1",,,,,,,,,,,
"Multi-Program 13",,5c777725ef67d9467eabc30f66a551117ad85d3c,,,,,,,19xx,,,,,,,,,,,,,,,
Ixion,,5fec9daf4499e5161306be9f66c0795aaa0f75cb,,,,,,"(Disk 2 of 2)",1992,"Software 42",,,,,,,,,,,,,,
"Spheres of Chaos",,60218e51bc9045906a0ec570d2436b01a26e6a98,,,,,,,1992,"Black, Matt - McLeod, Iain",,a,"a 1",,,,,,,,,,,
@,,60a83b38ec52abf7b57c1d438be49a4c4e89fcc5,,,Minotaur,@,,,1987,Minerva,gb,,[F1025101],,,,,,,,,,,
