"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Hunt for Red October",,00e094a225253903a4da287e6b613c003f3baf58,,,"The Hunt for Red October",,"Hunt for Red October",,199x,,us,,,,,,1,,,,,,,
"Street Fighter II",,00e58c05c1ddc011418b762e203283ba61510549,,,"Master Fighter 3",,,"Unl; a1",,,,?,,,,,,,,,,,,
"Super Mario Bros.",,00e5eb460df32c4ab7e1943fa6d45b3afc0de307,,,"Girl Merio",,,"SMB1 Hack",,,,,,,,,,,,,,,,
Metroid,,00e9f1879896d22aaa47ab30408ddc61c4ff3bd8,,,,,,PC10,,,,?,,,,,,,,,,,,
"Tecmo World Wrestling",,00ebb12f84869ac7302941247390aa5851ece5c7,,,,,,,1990/11/23,Tecmo,eu,,,,,,,,,,,,,
"Super Mario Bros.",,00ec84aa666c9edbad59945ea5358508faedc15d,,,"Mario 97",,,"SMB1 Hack; o1",,,,,,,,,,,,,,,,
"P.O.W.: Prisoners of War",,00ecbc42dbed11eb42639e9a2a3a5965a6d8d95a,,,,,,,1989/09,SNK,us,,v.20060217,,,"zh MS emumax",,,,,,,,
"Chiyonofuji no Ooichou",,00ecfa25301c2bb1108853b2d894f48923e5631f,,,,,,,1990/12/07,Face,jp,,"FFE copier",,,,,,,1,,,,
@,,00ed7558794666b7427e5fb1431c6ea7c6a1b18c,,,"Tecmo Super Bowl: TE Season 5 Week 09",,,,200x,"Tecmo Elite",us,@,"Tecmo Super Bowl",,,,,,,1,,,,
Contra,,00eda561bf84dd5bc219d6880b612d9e1983c6df,,,,,,"J; t5",,,,?,,,,,,,,,,,,
Sqoon,,00eeaf01f43c9c10ff74c57d4af8261851c7932e,,,,,,"J; t1",,,,?,,,,,,,,,,,,
"Adventures of Rocky and Bullwinkle and Friends",,00eed62e887ef94b263497d6b49f85f1a77a7b30,,,"The Adventures of Rocky and Bullwinkle and Friends",,"Adventures of Rocky and Bullwinkle and Friends",,1992/12,THQ,us,b,"b 7",,,,,,,,,,,
"Romance of the Three Kingdoms II",,00f3442dd5ca6d485adc72284381250e4d24869a,,,,,,,1991/09,Koei,us,u,"b 4; u 2",,,,,,,,,,,
