"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"F-ZERO X",,030c934d9b50c21507a5ced76e3ee658700540d5,,,,,,,1998,Nintendo,jp,b,,*,,,,,,,@,,,
@,,03172daaa5a5767742c6fb331e1cf91324c264c1,,,"Super Mario 64",,,@,1996,Nintendo,us,@,@,@,@,@,@,@,@,169,@,,,
"Kirby 64: Crystal Shards",,03257c820b7705400c32bde1bcc3161c55814605,,,"Hoshi no Kirby 64",,,v3,2000,"HAL Laboratory | Nintendo",jp,!,,,,,,,,,@,,,
"Action Replay Pro 64",,0329069c753ecad12fa20d78fbf1131cb58d09a2,,,"Action Replay Professional 64",,,v3.0,1999,Datel,,?,,*,,,Unlicensed,,,*,@,,,
"South Park: Chef's Luv Shack",,0344b569e8410a860cd54165bc33130e80760896,,,,,,,1999,Acclaim,us,!,,,,,,,,,@,,,
@,,03548ac8a147316eb13f2a826fa1dbf30da8e712,,,"Paper Mario",,,@,2001,Nintendo,us,@,@,@,@,@,@,@,@,*,@,,,
"Action Replay Pro 64",,0356d51bb9be7e2000a61536aa31f4961a735909,,,"Action Replay Professional 64",,,v3.0,1999,Datel,,b,,,,,Unlicensed,,,,@,,,
"Triple Play 2000",,03619f14149d5a2716dffbe02e21c2a0f5ee24f5,,,,,,,1999,"Electronic Arts",us,!,,,,,,,,,@,,,
"NBA Hangtime",,036218a520b9a1e0227a1f2b3f854f4ccd79b068,,,,,,,1996,Midway,us,?,,PAL,,,,,,*,@,,,
"Clay Fighter 63 1-3",,036873ab0d3107b2d9b3225a180f67daf0899365,,,,,,,1997,Interplay,us,!,,,,,,,,,@,,,
@,,037fb397cee2669048ed6b762a64698de4a4d88a,,,"Turok: Rage Wars",,,v1,1999,Acclaim,us,@,@,@,@,@,@,@,@,@,@,,,
@,,038321ae2cf7492d5c2c08b6a5734120d53de039,,,"Super Mario 64",,,@,1996,Nintendo,us,@,@,@,@,@,@,@,@,73,@,,,
