"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Casino De Luxe",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Microsoft Entertainment Pack 2",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Dagger's Rage",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Hanna-Barbera Cartoon Carnival",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Yukon Trail, The",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Skull Cracker",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Exile 2: Crystal Souls",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
Morphman,,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Castillo Quantum",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Mordor: The Depths of Dejenol",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Virtual Chess",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
Stars!,,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"The Incredible Toon Machine",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Microsoft Entertainment Pack 4",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"This Means War!",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
WinTrek,,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Extreme Chess",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Metal Marines: Master Edition",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Microsoft Windows 3.11",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Merlin’s Apprentice",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Zombie Wars",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Exile 3: Ruined World",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Sintesoft Truco 1.0",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Microsoft Golf",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Solitaire Deluxe",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Classic WordZap",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
Warpath,,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Galactical Apocalypse",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Oregon Trail, The",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Indiana Jones and his Desktop Adventures",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Flight Commander 2",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
UltraVixen,,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
EmPipe,,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
SimPark,,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Comet Busters! v1.4",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Juegos Reunidos Multimedia",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"SimCity Classic for Windows",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Blades of Exile",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Sid Meier's Colonization for Windows",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Truco Para Windows v1.2",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"Best of Microsoft Entertainment Pack, The",,002aaa64cd842717a1037dda25c0e4498ffb8e20,,,DIAGNOSE,,,,,,,?,,,,,,,,,,,,
"PGA European Tour",,002ba9da7448a56fbf7a750d564f212c6f03c6f7,,,INSTALL,,,,,,,?,,,,,,,,,,,,
"MOD y utilidades",,002d01f0f03e519f041736275defb86e3fb5e8c9,,,MODEDIT,,,,,,,?,,,,,,,,,,,,
Pictionaries,,002f68f5bbfdee7748aaadb33390a7dd45bded42,,,PICTIONA,,,,,,,?,,,,,,,,,,,,
"Tristan Pinball",,0033a0c0a071af0bdc117664c3504a6c2dc66aba,,,TRISTWIN,,,,,,,?,,,,,,,,,,,,
"IndyCar Racing",,00359788148b2c9c848f430e3cf083116172767f,,,CUTRPY,,,,,,,?,,,,,,,,,,,,
AmnesiaRol,,0035d5f5eeadb1b3429c5ee69becff75f81702eb,,,PARTE2,,,,,,,?,,,,,,,,,,,,
"Reach for the Skies",,003abe71e8a05eefdb749bdb4a2635a8f299f55a,,,LHA213,,,,,,,?,,,,,,,,,,,,
"Game Masters",,003bd305fc916947910d1b33375af474763442a2,,,addit,,,,,,,?,,,,,,,,,,,,
Sarakon,,004098827194920fd1b2275079d78b912939a756,,,SARAKON,,,,,,,?,,,,,,,,,,,,
"In Pursuit of Greed",,00418da64777e00dae468dc498b8db54a4daa6c0,,,SET,,,,,,,?,,,,,,,,,,,,
"Air Power: Battle in the Skies",,0042d0eab9f1adff2d60770c0e152006a30cd6e2,,,BFBPIRT1,,,,,,,?,,,,,,,,,,,,
"Air Power: Battle in the Skies",,0042d0eab9f1adff2d60770c0e152006a30cd6e2,,,BFBPIRT0,,,,,,,?,,,,,,,,,,,,
"Yendorian Tales Book I",,004539ac23b44450aa7e54702e146852f0572d94,,,PROG16,,,,,,,?,,,,,,,,,,,,
Overlord,,0047e88d24ad3ad3b236e3cba61882fa3dd4b4e2,,,bfbrffo5,,,,,,,?,,,,,,,,,,,,
"Post Mortem: The Hell of Pleasures",,0048cf6d1b7de3be6ac594d96fe00068edfa4334,,,LEEME,,,,,,,?,,,,,,,,,,,,
"Break Machine",,004b791419504148565748d790606e1e6587ef3b,,,BM,,,,,,,?,,,,,,,,,,,,
"Cross Country Canada",,004c91ba1f063dfb59bbd9b1891bb3f1dfebc131,,,CONFIG,,,,,,,?,,,,,,,,,,,,
BrainStorm,,004fe4e1ba65e835ef997451196ddc665524dc2e,,,DOC,,,,,,,?,,,,,,,,,,,,
"NFL Pro League Football",,0050581801fbeed8e42da7d7089b8b3c130528af,,,README,,,,,,,?,,,,,,,,,,,,
"Chuangshi Fengmo Zhuan",,0053fa77440dc9df4e3e9b4a67fd4570406714b3,,,CDDRV,,,,,,,?,,,,,,,,,,,,
"Tex Murphy II: Martian Memorandum",,00584233bb6c201967735253d73bbb4c36a82f7e,,,MM,,,,,,,?,,,,,,,,,,,,
"Mickey's Memory Challenge",,0058f5a67f44ed49fcd0b523ba3a34f4064d4c48,,,MICKEY,,,,,,,?,,,,,,,,,,,,
"Eco Saurus",,0059c87e8691f06d64f0680aa71dcae7cd01b995,,,SOUNDBST,,,,,,,?,,,,,,,,,,,,
"NFL Pro League Football",,005c4f5b5564af8d28724b4f6aa21ae8d5cb897b,,,BRUN40,,,,,,,?,,,,,,,,,,,,
"NFL Pro League Football",,005c4f5b5564af8d28724b4f6aa21ae8d5cb897b,,,BRUN40,,,,,,,?,,,,,,,,,,,,
"Truco v5.5",,005c4f5b5564af8d28724b4f6aa21ae8d5cb897b,,,BRUN40,,,,,,,?,,,,,,,,,,,,
"NFL Pro League Football",,005c4f5b5564af8d28724b4f6aa21ae8d5cb897b,,,BRUN40,,,,,,,?,,,,,,,,,,,,
"Virus Killer",,005c4f5b5564af8d28724b4f6aa21ae8d5cb897b,,,BRUN40,,,,,,,?,,,,,,,,,,,,
