"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"Donkey Kong Junior",,2d02b7ec0ef958df5fbe11c1764c8932452e7451,,,"Donkey Kong Junior",,,"Video NTSC",1988,Atari,,a,"a 1",,,,,,,,,,
@,,30d214753b89b13455830b5d99aacd926127d63a,,,"Desert Falcon",@,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,
"Pole Position II",,319702e597f1fc419c1a530ed8cff2ea6c76e8fb,,,"Pole Position II",,,"Video NTSC",1987,Atari,,a,"a 1",,,,,,,,,,
@,,329782dd80a7ef88b81ab348aba4a0d478f0432f,,,Ballblazer,@,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,
@,,32b5ddc7bef1b140e94b17ce002809cf4566929f,,,Karateka,@,,"Video NTSC",1988,Atari,@,,,,,,,,,,,,
Commando,,3314ce17df8b1b6fc52e13ccf8d6ea1aadbc66c4,,,Commando,,,"Video NTSC",1989,Atari,,a,"a 1",,,,,,,,,,
"Mean 18 Ultimate Golf",,34e8ae5ecbed5a27635ce0b7aa5e1c154f7c8a6c,,,"Mean 18 Ultimate Golf",,,"Video PAL",1989,Atari,,,,,,,,,,,,,
@,,34f4e33c4d395f3d06197f96fb3e190c72e96f1f,,,Choplifter!,@,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,
"Super Huey UH-1X",,35a03c8a15e63e53f5cc4334450bc7d695b7bea8,,,"Super Huey UH-1X",,,"Video PAL",1988,Atari,,,,,,,,,,,,,
"Motor Psycho",,363006e26a7c30d7140b8172faeaad4dc5f265d5,,,"Motor Psycho",,,"Video PAL",1990,Atari,,,,,,,,,,,,,
"Ace Of Aces",,384311f2b20c256d755fe470fb82ce8ad094bca0,,,"Ace Of Aces",,,"Video NTSC",1988,Atari,,a,"a 1",,,,,,,,,,
@,,38f044a7267e6beac17f0824325bda3cd2ec3b9b,,,"Ms. Pac-Man",@,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,
Crack'ed,,39836c29772e91acb3db84e526dc62e2bd726fbf,,,Crack'ed,,,"Video PAL",1988,Atari,,,,,,,,,,,,,
"Scrapyard Dog",,39d2388d4b68c04b905eaa2e5456769da60c11bd,,,"Scrapyard Dog",,,"Video PAL",1990,Atari,,,,,,,,,,,,,
"Dig Dug",,3a0614b5ed04e878d63143fec23a75b778b9fd9b,,,"Dig Dug",,,"Video PAL",1987,Atari,,,,,,,,,,,,,
Klax,,3ca412fdb435b49f3558c2e0649ac67f513484c7,,,Klax,,,"Video NTSC; Language proto",1992,Atari,,a,"a 1",,,,,,,,,,
"Tomcat: The F-14 Fighter Simulator",,3e95e46a1e5b54908a8cf814478037f745e605d9,,,"Tomcat: The F-14 Fighter Simulator",,,"Video PAL",1989,"Absolute Entertainment",,,,,,,,,,,,,
"Mario Bros.",,3f2905ae606d5e7c2e05d1bf6bb6525f88af31ba,,,"Mario Bros.",,,"Video PAL",1988,Atari,,,,,,,,,,,,,
"Food Fight",,41c8df367c77f15457383140d590c5e6a0ee5f76,,,"Food Fight",,,"Video PAL",1987,Atari,,,,,,,,,,,,,
"Winter Games",,42283b1297237e04c6ef69234770d093ffef8949,,,"Winter Games",,,"Video NTSC",1987,Atari,,b,"b 1",,,,,,,,,,
"Donkey Kong",,46aa055a2cc950f075cf6833e1338c73027459d4,,,"Donkey Kong",,,"Video NTSC",1988,Atari,,a,"a 1",,,,,,,,,,
"Fight Night",,48d87db3dfc85b20c04410104023694d60baf8a1,,,"Fight Night",,,"Video NTSC",1988,Atari,,,,,,,,,,,,,
"Touchdown Football",,4a7afa496ad97bc2b840ac60eb2827a743b01074,,,"Touchdown Football",,,"Video NTSC",1988,Atari,,,,,,,,,,,,,
"Beef Drop 7800 by Ken Siders",,4ab521b0e07afbab159c4c74172e11f13f5a54bf,,,,,,"(V20041026-Rev05) [a1]",,,,,,,,,,,,,,,
Crossbow,,4f2cd2fdd900c26b4d56bc55349b8c34497e761d,,,Crossbow,,,"Video PAL",1987,Atari,,,,,,,,,,,,,
Crossbow,,520b6d9ef2ef4edae9a8cdf8da57c85810908a9a,,,Crossbow,,,"Video NTSC",1987,Atari,,,,,,,,,,,,,
"Klax: Impossible Level 3",,52d18767dfb2745cb3d0abaf15b2a52717d0bcbc,,,,,,(Hack),,,,,,,,,,,,,,,
"Q-bert Demo by Ken Siders",,54624fd7862fcd471ecec08f9ef5e937b02e97ca,,,,,,"(V20021109) (PD)",,,,,,,,,,,,,,,
"7800 Kern Demo by Christopher Tumber",,54c3b69e8ed46a4fdacceab9a899a2542d55f81f,,,,,,(2004),,,,,,,,,,,,,,,
"Pit Fighter",,56134e14414effe6e37d75935dbd9dda00888ff8,,,"Pit Fighter",,,"Video NTSC; Language proto",1992,Atari,,,,,,,,,,,,,
"Atari 7800 Symbolic Debug Monitor & Downloader",,5791a81845b12cb2c1d6499b9eec8a028c4fc610,,,"Atari 7800 Symbolic Debug Monitor & Downloader",,,"Video NTSC",1988,Atari,,,"[encryption checker]",,,,,,,"John Saeger",,,
"Beef Drop 7800",,57a35c80acd7210966ddf50a9135c463b46bba5c,,,,,,"(Oct 20-Rev 03) (2004) (PD)",,,,,,,,,,,,,,,
@,,57ddbc1da7d8c91a6a2d3d80af7db98f0daa05e6,,,"Impossible Mission",@,,"Video NTSC",1987,Atari,@,a,"a 1",,,,,,,,,,
"Beef Drop 7800 by Ken Siders",,5824fea1546a64afecc2c6e817dce77b4c80f870,,,,,,(V20041019-Rev02),,,,,,,,,,,,,,,
"KDEMO by Ken Siders",,58505cf44e6bd9b2b7bce7751c1a21070c3fd5fd,,,,,,"(V20021013) (PD)",,,,,,,,,,,,,,,
"Beef Drop 7800 by Ken Siders",,585abb2fc9aeb0bf92ceb93bbaad153d16dd29c4,,,,,,(V20041019-Rev01),,,,,,,,,,,,,,,
"Planet Smashers",,58a82ff0bbbe418d1c2d950c9ecff7f5c549618f,,,"Planet Smashers",,,"Video NTSC",1989,Atari,,,,,,,,,,,,,
@,,58e1a65114689e526ad89a4a47e237161d15ab2b,,,"Super Huey UH-1X",@,,"Video NTSC",1988,Atari,@,a,"a 2",,,,,,,,,,
@,,5a140136a16d1d83e4ff32a19409ca376a8df874,,,"Atari 7800 BIOS",@,,"Video PAL",198x,Atari,@,,,,,,,,,,,,
@,,5a3de17714b24eb526d0ec62b327f4bc66a7fe9f,,,"Mean 18 Ultimate Golf",@,,"Video NTSC",1989,Atari,@,,,,,,,,,,,,
"Donkey Kong",,5a5a0adb9a081972040eb608051d7e5edd28ee30,,,"Donkey Kong",,,"Video PAL",1988,Atari,,,,,,,,,,,,,
"Ikari Warriors",,5a9cb92d46a8f66d848df0915c0533f32db12b62,,,"Ikari Warriors",,,"Video PAL",1989,Atari,,,,,,,,,,,,,
"Beef Drop 7800 by Ken Siders",,5aaffdf44b54afc494422ba740e6080e133dba9a,,,,,,(V20041105-Rev12),,,,,,,,,,,,,,,
Rampage,,5d09622379ff37fe4c9f71700e8832b2ebcead61,,,,,,"(1989) (Activision) [b1]",,,,,,,,,,,,,,,
"Scrapyard Dog",,5fec935aa0e284e6373f456e5fb9158892d0f4e8,,,"Scrapyard Dog",,,"Video NTSC",1990,Atari,,,,,,,,,,,,,
"Tower Toppler",,601818803ca6cfa55b7c0154fc9841001d7b379f,,,"Tower Toppler",,,"Video PAL",1988,Atari,,,,,,,,,,,,,
"Kung-Fu Master",,624a8f70b433f04942d5544289ac156d50b93610,,,"Kung-Fu Master",,,"Video NTSC",1989,"Absolute Entertainment",,,,,,,,,,,,,
@,,625829093ce079c88a9c9129c0dab709311ff7a0,,,Joust,@,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,
Joust,,63470ed89bf256fbe33e081bf2793e9c947619fe,,,Joust,,,"Video PAL",1987,Atari,,,,,,,,,,,,,
Choplifter!,,6457dd40aeadb9733602c4ad3498780ebd7bf0d1,,,Choplifter!,,,"Video NTSC",1987,Atari,,a,"a 1",,,,,,,,,,
Xevious,,652e633776f608a3c2a1030a6796ba0c8669d8f0,,,Xevious,,,"Video NTSC",1988,Atari,,a,"a 1",,,,,,,,,,
"Senso 7800 DX4",,678d7ca5aa01ea2f8a1c3d05239a66485dcb688d,,,"Senso 7800 DX4",,,"Copyright Public Domain",2003,Taquart,,,,,,,,,,,,,
"Double Dragon",,6ac3621d153e20ad44fabbdaf65b74c20fbb9fdb,,,"Double Dragon",,,"Video NTSC",1989,Activision,,,,,,,,,,,,,
Jinks,,6b1a67a8639c89bb9ae8e1200c1fa910e9d55476,,,Jinks,,,"Video PAL",1989,Atari,,,,,,,,,,,,,
"Water Ski",,6bb0205b88886f3079f50a25d7e6708bab32a49a,,,"Water Ski",,,"Video NTSC",1988,Froggo,,b,"b 1",,,,,,,,,,
Basketbrawl,,6cceb878627fbcae67ae1c7e0fbdbbd7a9dd0693,,,Basketbrawl,,,"Video NTSC",1990,Atari,,,,,,,,,,,,,
"Title Match Pro Wrestling",,6ff9937e199ba98934a27170413cb962f5fc1218,,,"Title Match Pro Wrestling",,,"Video NTSC",1989,"Absolute Entertainment",,,,,,,,,,,,,
"Pit Fighter",,70eb9cbc1166c6ee46e100c8c73f979a66ba6cb3,,,"Pit Fighter",,,"Video NTSC; Language proto",1992,Atari,,b,"b 1",,,,,,,,,,
"Pete Rose Baseball",,7144cb51e759168fc0e02d02776cde9c4da76ea1,,,"Pete Rose Baseball",,,"Video NTSC",1989,"Absolute Entertainment",,b,"b 1",,,,,,,,,,
