"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
Hydra,,397e0953fb2105268fcaf148b9900e614348db13,,,,,,,1992,"Tengen Inc",,b,,,,,,,,,,,,
@,,3b0048d6b3ab5af0812c470217cfede5bb1bf791,,,Raiden,,,,1997,"Atari Corp",,,,,,,,,,,,,,
"Dracula: Undead",,3b3346863f0d248c904e62af914f8c5ed5d2f76f,,,,,,,1991,"Atari Corp",,b,,,,,,,,,,,,
"Super Asteroids & Missile Command",,3b36e4e256ceabfd8ef8f86731d01bc191f7d5a7,,,,,,,1994,"Atari Corp",,,,,,,,,,,,,,
"European Soccer Challenge",,3b7311c98cd6ecf441d8d352b97f5200b9e4752a,,,,,,,1993,Telegames,,,,,,,,,,,,,,
@,,3c531b12980c12c9e91943d4b749b97b82448b2d,,,Catkanoid,,,,2012,"Mihai, Sebastian",,,,,,,,,,,,,,
Xenophobe,,3c9af585a1a8072a8dcaef893eb5dcf1f88a6f0d,,,,,,,1990,"Atari Corp",,,,,,,,,,,,,,
"S.T.U.N. Runner",,3ccd01902f07ab06f9c815ac75a4865a82e78599,,,,,,,1991,"Tengen Inc",,,,,,,,,,,,,,
"Marlboro Go!",,3d0ee922c3572c9a861fc250082e659e6ebd4c8c,,,,,,Proto,1993,"Digital Image",,,,,,,,,,,,,,
"Marble Madness",,3daee2f4948ac2017d7362f287ae41b21fbf545e,,,,,,,1997,"Matthias Domin",,,,,,,,,,,,,,
@,,3e54f0b70b66741e41dbbf7c170ff2c3e6db4f08,,,"Cross Chase",,,,2018/05/19,"Caruso, Fabrizio",,,light,,,,,,,,,,,
"Mini Demo 1",,3f0114bee416ebac192549105946f8815329562a,,,,,,,1998,,,,,,,,,,,,,,,
"Conquest of Zow",,3f69275634918fde50be9f81cda7eda75bc0513f,,,,,,,1996,"Dodgson, Harry",,,,,,,,,,,,,,
@,,3f7d32509e09fb5b1da78f7b0a5565e027dd0390,,,"Asteroids Chasers",,,,2020/08/14,Fadest,,,,,,,,,,,,,,
"C65: Demo0",,3fa4fe5e6a34646092d5c6879dbbb2ce8e2d9715,,,,,,,1998,,,,,,,,,,,,,,,
