"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"Tennis Ace",,0d202166d4a3bdfcf90514c711c77e4f20764552,,,"Tennis Ace",,,,1989,Sega,,,,,,,,,,,,,
"Phantasy Star",,0d2697c750e8e7ea877050c580dd0856f8e495f7,,,"Phantasy Star",,,,1987,Sega,jp,b,"b 1",,,,,,,,,,
@,,0d65f936812068ceea0ed97bc9e9f43d42d73102,,,"Penguin Adventure",@,,,19xx,Zemina,kr,,,,,,,,,1,,,
"Public Domain",,0d6c27af48bd4fb4d1d4ebead0db3da6b4f727f6,,,"Maechiko's Omikuji",,,"(SG-1000) (PD)",,,,,,,,,,,,,,,
@,,0da0b9755b6a6ef145ec3b95e651d2a384b3f7f9,,,"Alien Syndrome",@,,"v rev1",1987,Sega,@,,,,,,,,,,,,
Vigilante,,0dc37f1104508c2c0e2593b10dffc3f268ae8ff9,,,Vigilante,,,,1988,"Irem - Sega",,,,,,,,,,,,,
"Loletta no Syouzou",,0ddd7448f5bd437d0d33b85a44f2bcc2bf2ea05e,,,"Loretta no Shouzou",,,"Language en,ja",1987,Sega,jp,,,,,,,,,,,,
"Miracle Warriors: Seal of the Dark Lord",,0df890c3dd153e3eb41df482c371b259d4129162,,,"Miracle Warriors: Seal of the Dark Lord",,,,1988,"ASCII - Sega",,b,"b 2",,,,,,,,,,
"Girl's Garden",,0e08786587fb76909b3f9806ba1f5d57ea17728c,,,,,,(SG-1000),,,,,,,,,,,,,,,
"Fire & Ice",,0e12ce919cda400b8681e18bdad31ba74f07a92b,,,"Fire & Ice",,,,1993,"Graftgold - Tec Toy - Virgin",br,,,,,,,,,,,,
"California Games",,0e8f2ec5d263210c14bf8cddef69e60e602df535,,,"California Games",,,,1989,"Epyx - Sega",,b,"b 2",,,,,,,,,,
"Castle of Illusion Starring Mickey Mouse",,0e9f012ad91c8c4ef1b09f182a20a4fb13af59f3,,,"Castle of Illusion Starring Mickey Mouse",,,,1990,"Disney - Sega",us,,,,,fr,,,,,,,
"Super Monaco GP",,0f11b9d7d6d16b09f7be0dace3b6c7d3524da725,,,"Super Monaco GP",,,,1990,Sega,,,,,,,,,,,,,
"Wonder Boy III: The Dragon's Trap",,0f21d0f830686e83b112de3202238ccbb9fb0efe,,,"Wonder Boy III",,,,1989,Sega,,,,,,,,,,1,,,
"F-16 Fighter",,0f60f545ce99366860a94fbb115ce7d8531ab7ba,,,"F-16 Fighting Falcon",,,"Language en",1985,"ASCII - Sega",jp,,,,,,,,,,,,
"R.C. Grand Prix",,0f995079fdc89114cf7eb64d382b6097a10c0eec,,,"R.C. Grand Prix",,,,1989,"Absolute Entertainment",,,,,,pt,,,,,,,
"Basket Ball Nightmare",,0fa1156931c83763bc6906efce75045327cdd7aa,,,"Basket Ball Nightmare",,,,1989,Sega,,,,,,,,,,,,,
"Public Domain",,0faa352434a113ab374190a5e49d755649740df0,,,"SMS Chip-8 Interpreter",,,"v 0.11; Copyright Public Domain",2002,Maxim,,,,,,,,,,,,,
OutRun,,102cdd361e4c207219af7803f8be8121fadf2edc,,,,,,"(UE) [b1]",,,,,,,,,,,,,,,
"Public Domain",,1032d23d195104002ed10ab660aa707a84aa4cf5,,,SpaceOddity,,,"v 0.02; Copyright Public Domain",2005,"Mooz - Proppy - Tet",,,,,,,,,,,,,
"Public Domain",,1033072fe34e553cbdd9fdeb5577cd1ca30a9c44,,,"Photo Demo",,,"v 1.00; Copyright Public Domain",2002,Maxim,,,,,,,,,,,,,
@,,1064ddae064fabd6b28836d39d44fc2c589e9f7d,,,"Digger Ball",@,,"v 0.01; Copyright Public Domain",2007,"Aypok - PlayGeneration",@,a,"a 1",,,,,,,,,,
@,,10a5095513efebae3d045b217caa7a520e66f26f,,,"Jang Pung II",@,,,1993,Sieco,kr,,,,,,1,,,,,,
"Public Domain",,10abcd7df65a2fcd42353725a33913e92eb810ff,,,"TWO01 Demo",,,"Copyright Public Domain",1997,SMSC,,,,,,,,,,,,,
"Ninja Gaiden",,10d5f612a3df6ba7c8e033091fa35676feec1559,,,"Ninja Gaiden",,,,1992,"Sega - Tecmo",,,,,,es,,,,,,,
"Enduro Racer",,10dc132166c1aa47ca7b89fbb1f0a4e56b428359,,,"Enduro Racer",,,,1987,Sega,,,,,,,,,,,,,
"Great Soccer",,110536303b7bccc193bef4437ba5a9eb6fd4ac8e,,,"Great Soccer",,,"Language en",1985,Sega,jp,,,,,,,,,,,,
"Dynamite Duke",,116755e0a52a2f1ca633f497f86d1e9ce4d20f98,,,"Dynamite Duke",,,,1991,Sega,,b,"b 1",,,,,,,,,,
@,,11d14cbce1c850ab766a35f88d99a40f2cfa301e,,,Picross,@,,"v 1.00",2007,Maxim,@,,,,,,1,,,,,,
"Public Domain",,11eb24dff09441a85aec470bfe706f7aed501746,,,"Sprite Test",,,"v 0.01; Copyright Public Domain",2004,Mic,,,,,,,,,,,,,
"Terebi Oekaki",,12296f2bb57d80d1774749d3002a039e0940c6fa,,,,,,"(SG-1000) [!]",,,,,,,,,,,,,,,
"Public Domain",,124012c8611db1e5a5013012fd8b10f4bfcc2e02,,,"Nine Pixels",,,"v 0.99",2006,"Warren, Nicolas",,,,,,,,,,,,,
"Dynamite Headdy",,12877c1c9bfba6462606717cf0a94f700ac970e4,,,"Dynamite Headdy",,,"Language en",1995,"Sega - Tec Toy",br,,,,,,,,,,,,
"Fushigi no Oshiro Pit Pot",,1298aab2a29071e258dcbb962c3b80f8fc337b7a,,,"Fushigi no Oshiro Pit Pot",,,"Language en",1985,Sega,jp,,,,,,,,,1,,,
"Mick & Mack as The Global Gladiators",,129ea57e49d27ab27683753af445225e55e43d53,,,"Mick & Mack as The Global Gladiators",,,"v rev1",1992,Virgin,,,,,1,,,,,,,,
"Mortal Kombat 2",,12bd887efb87f410d3b65bf9e6dfe2745b345539,,,"Mortal Kombat II",,,,1994,"Acclaim - Midway - Probe",,,,,,,,,,,,,
@,,12c5005f8a0d78c75704b61bf87961875b9d29d4,,,E-SWAT,@,,"Language proto",1990,Sega,@,,,,,,,,,,,,
"Psychic World",,130cc93f8b77e3689bb1bbabca2eaeebf4291ca7,,,"Psychic World",,,,1991,Sega,,,,,,fr,,,,,,,
"Great Volleyball",,133ffdde0a5a0ce951c667a4c5d7f9d9f35e9658,,,"Great Volley Ball",,,"v rev1",1987,Sega,,,,,,,,,,,,,
"Wonder Boy",,14210196f454b6d938f15cf7b52076796c5d0f7d,,,"Wonder Boy",,,"v rev0",1987,Sega,,,,,,,,,,,,,
"Public Domain",,14213dffac2fbc5be8b19b755ba5407c0d91a76c,,,"Picture Demo",,,"Copyright Public Domain",200x,FluBBa,,,,,,,,,,,,,
