"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
Batman,,016d2838aaafd20a08f610dea11d62157c7c0ed7,,,,,,,1986,,gb,,,,,,,,,,""" "",cat",,,
"Darkstrad 2",,0173178f582861e1435ed8596dc3c2a1104eae4d,,,,,,"Disk 4 of 4",199x,,fr,?,,,,,,,,,""" "",cat",,,
"Revenge on the C5",,01818b0721a8caaacc516bae663687090731d9b2,,,,,,,1986,"Atlantis Software",gb,?,,,,,,,,,""" "",cat",,,
"Tennis 3D",,0184d89a697c01a552f8f50bc53aa30b88384bda,,,,,,,1986,,fr,?,,,,,,,,*,""" "",cat",,,
Survivant,,018631feac94312ecd7b70e2757a967330097e73,,,,,,,1985,,fr,,,,,,,,,,""" "",cat",,,
"!Public Domain",,01873ab47043e1ca10c787abf632ab858acee917,,,"Robot PD 17107",,,"Disk 1 of 2",19xx,"Fairhurst, Richard",,?,,,,,,,,,""" "",cat",,,
CPC-Gooding,,018d5b6c5b4312b7cd361bdb2f178044b3238f0d,,,"Alf Demo",,,,1989,"42 Crew",,?,,,,,,,,,""" "",cat",,,
"Real Ghostbusters",,019500598df3592ce8980d271db8344c15fd497d,,,,,,"Disk 2 of 2",1989,Activision,gb,?,,,,,,Kev,,*,""" "",cat",,,
Antares,,0196bcd3cf7d5b1fb0a69540a1a21efab55c097b,,,,,,,1987,"Dro Soft",es,,,,,,,,,,""" "",cat",,,
"West Phaser",,019e5176794f9bfeb86608927c22e3b1404a054b,,,,,,"Disk 2 of 2",1989,Loriciels,fr,?,,,,,,,,,""" "",cat",,,
M'Enfin,,01a13d08e0525710ed88f337bcd1512e6312a837,,,,,,"Disk 1 of 2",1986,Ubisoft,fr,,,,,,,,,,""" "",cat",,,
"Beyond the Ice Palace",,01a34ec756c2c00b2576a8e71b1c3aac085c7370,,,,,,,1988,,gb,,,,,,,,,,""" "",cat",,,
"!Public Domain",,01a4125e0efeeb96d4f4bf02cf852d03d8d1cdc3,,,"Robot PD 19208",,,"Disk 2 of 2",19xx,"Fairhurst, Richard",,?,,,,,,,,,""" "",cat",,,
"Solar Empire",,01a42fdac62881d0f12ec8dbc2f622d1b927060a,,,,,,,1990,"Players Premier Software",gb,?,,,,,,,,,""" "",cat",,,
"!Multi-Game Disks",,01a7b9f0a90d7af121a017fd7415b7a71d4e85d5,,,"Clever | Smart | Mission Delta | Saboteur",,,,19xx,,,?,,,,,,,,,""" "",cat",,,
DISC070A,,01b5e7cf956d1f24b0295e978f37ddbd77822844,,,,,,,19xx,,,?,,,,,,,,,""" "",cat",,,
Dive-Dive-Dive,,01b8cc1e4e87aa933b1b5ac241c61a60039e156a,,,,,,,1987,XOR,gb,?,,1,*,,,XOR,,,""" "",cat",,,
"!Game Compilations",,01c2cf6d9cc9c59c542f57115cb020ca67f4297a,,,"Konami Arcade Collection",,,"Disk 4 of 4 | Yie Ar Kung-Fu II | Ping-Pong",1988,,gb,!,,,,,,,,,""" "",cat",,,
Infection,,01c2f8e760e30165975b0c736a6631ce4ebba56e,,,,,,,1989,,gb,?,,,,,,,,,""" "",cat",,,
"Games: Summer Edition",,01c3646672daa48b2873ac415d5d08425fed626b,,,,,,"Disk 1 of 2",1989,,gb,,,,,,,,,,""" "",cat",,,
"Back to the Future Part II",,01c3653c2b1cdff21726091466316ef3d0afdf9f,,,,,,"Disk 1 of 3",1990,"Image Works",gb,,,,,,,,,,""" "",cat",,,
Mercs,,01c6d2ecd9ed7b1974ff03fd9dc5c575fae12f6a,,,,,,,1991,XOR,fr,?,,1,+2,,,XOR,,,""" "",cat",,,
"!Public Domain",,01c7850d8bec1de3039e2ca7b67774e68b9cc765,,,"Robot PD 16201",,,"Disk 2 of 2",19xx,"Fairhurst, Richard",gb,?,,,,,,,,,""" "",cat",,,
"5th Axis",,01c80804c4a5bfe90781d0f11d24a00fc23bcfa2,,,,,,,1985,Loriciels,fr,,,,,,,,,,""" "",cat",,,
"Puffy's Saga",,01caf363262c7297fae6075c5d6aedc245d36980,,,,,,"CPM | Disk 1 of 2",1989,Ubisoft,gb,!,,,,,,,,,""" "",cat",,,
"Derniere Mission",,01d629dbb6cffc5675f62766abf2b7e338a254bf,,,,,,"Disk 1 of 2",1988,,fr,,,,,,,,,,""" "",cat",,,
6-Pak,,01dc91e07835279db16d246695d099ac91276e4a,,,,,,"Disk 1 of 2",1987,,gb,!,,,,,,,,,""" "",cat",,,
"Play Bac",,01dd1f9e536437b4a5cbc547bdbf12bfd52dd831,,,,,,"Disk 1 of 2",1987,,fr,,,,,,,,,,""" "",cat",,,
@,,01e0365a8cc2528497f0f25087581232c395df0a,,,Tenebra,,,@,2022/12/07,Haplo,au,@,@,@,@,@,@,@,@,@,@,,,
"!Public Domain",,01e052147a35bee5df2545625d4fe7b29e7b6acc,,,Porky,,,,1987,"Dirk B.",gb,?,,,,,,,,,""" "",cat",,,
"Amstrad Action",,01f1ccc73af0820ebf2d996f248b511eff1787a8,,,"Amstrad Action Cover Tape 70",,,"Switchblade Demo | MegaPhoenix Demo | Future Knight | Balldozer",,,,,,,,,,,,,""" "",cat",,,
"!Public Domain",,01fb4a036389c2751fbf832ce39975aa5fc69c17,,,"Robot PD 10304",,,"Disk 1 of 2",19xx,"Fairhurst, Richard",gb,?,,,,,,,,,""" "",cat",,,
@,,020395783760ca7c9b72f0e30357a23add6969dc,,,"Rom Dos XL",,,@,1992,"KDS Electronics | Siren Software",@,@,@,@,@,@,@,@,@,@,@,,,
"Vector Ball",,020c799ea441eed867ef3278ca7bb0a62f62d63d,,,,,,,1988,,gb,,,,,,,,,,""" "",cat",,,
"Howard The Duck",,020f516eeacc5b81e188ad78e5848a53958d0030,,,,,,,1987,Activision,gb,,,,,,,,,,""" "",cat",,,
"!Public Domain",,02120e057a5dd7717732363d3d6f96c209c566f4,,,"Databox 06-07-92",,,"Disk 1 of 2",1992,,de,?,,,,,,,,,""" "",cat",,,
"!Multi-Game Disks",,021818c669b37c42b872d398334b6d958d3f7deb,,,"Beyond the Ice Palace | Ballbreaker | Blue Tomb | Great Giana Sisters",,,,19xx,,,?,,,,,,,,,""" "",cat",,,
"Amo del Mundo",,021a7ce248acf63244f0ab4ea8943ff559475309,,,,,,,1990,Positive,es,?,,,,,,"The Spanish Hacker",,,""" "",cat",,,
"Anglais: Primaire",,021bdcccb067eded61ba92a7cdca580e5e316111,,,,,,"Disk 1 of 2",1989,"Micro C",fr,,,,,,,,,,""" "",cat",,,
"Xyphoes Fantasy",,022290b639c8f7ce580ba48be960ec9a2edf394e,,,,,,"Disk 3 of 3",1991,,gb,?,,3,,,,,,,""" "",cat",,,
"Druid's Moon",,0226c6d082e3f980d68545321b133f86aaf4345a,,,,,,,1987,"Alternative Software",gb,,,,,,,,,,""" "",cat",,,
Barbarian,,0228c0b93f71776a9c6b8d2e0ba57178f61784fd,,,"Barbarian Part III",,"Barbarian Part 3",,1988,"Des Soft",fr,?,,,,,,,,*,""" "",cat",,,
"!Public Domain",,022f5a53b9e0563724f8389758e1c78296fb10cf,,,"Robot PD 19101",,,"Disk 1 of 2",19xx,"Fairhurst, Richard",,?,,,,,,,,,""" "",cat",,,
