"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
100000Pyramid,,53b44dbabc9881b8eaa7bb722d17f31901a3dd71,,,,,,,,,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 075",,1907528ff9fa8a62a458ef90c5b445f5c90fb1ef,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 076",,d5bdcf6ca2c299c0856cd381450ef29e9c986c5f,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 078",,0877ba8306b1d143c544f3aa6e5f2a327f36fdb9,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 079",,7c9dfb6db664cbf9722d36fdcffbc73ad2d95e6b,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 092",,cc1bdc9cc7a6d3b73b5f99f87df1b73e2c93604f,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 100",,d099cb783f52af4237474e9b71c8c61efb2601f3,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 101",,54d3bc545924349248809668fe1113105a3df7f5,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 102",,b899ba39e68828df6516774c65ef398311deca84,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 103",,74e0c9a56e3736b774662a3d9364b2ba03851fac,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 104",,b5d278cfc975ece191a7ada1a6630aa55aa3b856,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 105",,b500d0d6f57531bdd0fe523c88f8aee747b46c69,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 106",,19d7a3b2f7626bf78352f440b7e8d01e2440172c,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 107",,5e1213a9d49b21f971ecaff286d29a3087497fb5,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
