"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
Terminator,,032814fe252c3f8f2fc2c1cebba70b465900bfe0,,,,,,,1992/02,Virgin,us,b,,,,,,,,,,,,
"Brian Lara Cricket",,032eb1a15c95540b392b52ee17eef7eee6ac436d,,,,,,,1994/11,Codemasters,au,,,,,,,,,,,,,
@,,0330611a5fcb1f3ca173fcb3387fd35b865f1131,,,"Feng Kuang Tao Hua Yuan",,,,2001,"Creaton Softech",tw,,,,,,1,,,,,,,
"Great Circus Mystery: Starring Mickey & Minnie",,0341c231c268b61add922c5c3bf5ab2f9dfbf88f,,,"Great Circus Mystery: Mickey to Minnie Magical Adventure 2",,,,1994/12/16,Capcom,jp,,,,,,,,,,,,,
"Slap Fight MD",,035d655c1060a49a7c7cb51ac412d54762954a8a,,,,,,,1993/06/11,Tengen,jp,,,,,,,,,2,,,,
"World of Illusion Starring Mickey Mouse & Donald Duck",,035ef16bbdef87c7a85346e7a1dd9a8c1b21ad94,,,,,,,1992/12/14,Sega,eu,,,,,es,,,,,,,,
"Sensible Soccer",,03621dd7e9f86a10782b3dd09d5dea6de098fc8d,,,,,,Beta,1993,"Renegade - Sony Imagesoft",eu,,,,,,,,,4,,,,
"Phantasy Star II",,036438b6ac32cc5bb660f30ffd0f4285588a322a,,,,,,vRev01,1990/01,Sega,"eu,us",,,,,es,,,,,,,,
@,,0384a60ef9167cebcd40c1ad490a3f7aacb874bf,,,"Simpsons Trivia",,,v2.0,2021/11/30,"StevePro Studios",,,,,,,,,,,,,,
@,,0392d3d443b6a5738657a7823dff8dad67738e41,,,"Dino Runner Genesis",,,,2021/09/30,Rafagars,,,,,,,,,,,,,,
"Sonic & Knuckles",,0393b2da57ef0a44730b15c54a51f718e0afa721,,,"Sonic & Knuckles with Sonic the Hedgehog 3",,,,,,xw,,,2,,,,,,,,,,
"Advanced Daisenryaku: Deutsch Dengeki Sakusen",,03979287a2bebb5d720bcbc5adba2166596cf937,,,,,,vRev1,1991/06/21,Sega,jp,,,,,en,,,,,,,,
Tetris,,039ace9029c79d69615fb7686d3d93c01b5489c7,,,,,,,1989,Sega,jp,,,,,,,,,3,,,,
"Sorcerer's Kingdom",,039c46ee7e24e1780eec26948de9aaffd29c712c,,,,,,vRev0,1993/08,Treco,us,,,,,,,,,1,,,,
"Ranger X",,03a69c2c7f134c3af0e6caf959b781396dc935f3,,,Ex-Ranza,,,,,,jp,,,,,,,,,h1C,,,,
@,,03a7b9df0e8bccedad34fde509cc2c0c03b94b85,,,"Alcon Special",,,,2018/10/20,DUSTINODELLOFFICIAL,,,,,,,,,,"Slap Fight",,,,
"Theme Park",,03c6504b5d797f10c7c361735d801902e4b00981,,,,,,,1995/04,"Electronic Arts","eu,us",,,,,,,,,,,,,
"World Trophy Soccer",,03e1a6c7fb8003e196c0f0bf787276a14daa313e,,,"European Club Soccer",,,,1992/08,"Virgin Games",eu,,,,,,,,,,,,,
"Super Bubble Bobble",,03f40c14624f1522d6e3105997d14e8eaba12257,,,"Super Bubble Bobble MD",,,,1995,,tw,,,,,,1,,,,,,,
@,,03f48da0541dac5a11788460c427d5fdb34bbd1b,,,"Du Shen Zhi Meng Huan Poker",,,,1995,"Creaton Softech",tw,,,,,,1,,,,,,,
"ESPN Sunday Night NFL",,03f8c8805ebd4313c8a7d76b34121339bad33f89,,,,,,,1994/11,"Sony Electronic Publishing",us,,,,,,,,,,,,,
