"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
Aquanoid,,1efb0d5314be694b43d66f489d0ded2add04acae,,,,,,,,,,?,,,,,,,,,,,,
elvira_0_9,,1f40e247d4b9564d87cdf3348c8556c058ffe22c,,,,,,,,,,?,,,,,,,,,,,,
"Batman R9",,1f629f9aefebb1370580cb45b285531089bc5bd5,,,,,,,,,,?,,,,,,,,,,,,
Aquarius.Gottlieb.1970,,1fdef58f27cdb8b92da70eca0fe0c73f559ed98d,,,,,,,,,,?,,,,,,,,,,,,
"American Catch A Ball",,1ffa597c06c7fe4cdf1ea8abf2f78c29940bce40,,,,,,,,,,?,,,,,,,,,,,,
"Cheetah 1.0",,202574396799910e872dc347663a3fde16e4323e,,,,,,,,,,?,,,,,,,,,,,,
HypnoBall,,2073c58cb5d3e54e39703ccba5a1cb5c0c7ebe2f,,,,,,,,,,?,,,,,,,,,,,,
"Heat Wave-voice",,20bee4d19dc755e720ac627dbdf7e308e87798b9,,,,,,"(Williams 1964)",,,,?,,,,,,,,,,,,
Chinatown,,20f6337fc4a7fc43a0a16b57d1e687eed7e303be,,,,,,"(Gottlieb 1952)",,,,?,,,,,,,,,,,,
Chinatown,,20f6337fc4a7fc43a0a16b57d1e687eed7e303be,,,,,,"(Gottlieb 1952) (2)",,,,?,,,,,,,,,,,,
Boomerang,,216abccf624b8b017669fab95e13aba0a0be915b,,,,,,,,,,?,,,,,,,,,,,,
BUCKAROO,,21cba6f841b8fe8133225905ebb17646c76bd3ca,,,,,,"(Gottlieb 1965)",,,,?,,,,,,,,,,,,
"Space Invaders 1.1",,21dc5bd8138f9c75c67dd830877f5f5fb1eefdb9,,,,,,,,,,?,,,,,,,,,,,,
"PM Time 2000",,21f91b60ac2405c2b71bbb9ed30a94c97d92a16a,,,,,,,,,,?,,,,,,,,,,,,
"Last Action Hero 0.9",,22c97d89cfc4a64fc01d627763355cebf2923d82,,,,,,,,,,?,,,,,,,,,,,,
DropACard_RC1,,23b145a201b46c832020a604e34baace78c63ec4,,,,,,,,,,?,,,,,,,,,,,,
tutorial,,24cc07595a31407ea3c42a792d9ef1c83644670b,,,,,,,,,,?,,,,,,,,,,,,
Blackout,,25444f5376e31d5e900a20144c5f964fb74fbcf3,,,,,,"(Williams 1980)",,,,?,,,,,,,,,,,,
RollerCoaster-V1,,256fd4e503690398a78b4d7f59400adf2cb08c90,,,,,,,,,,?,,,,,,,,,,,,
"JokerZ! 1.0",,25c45cee11396b0246e53941a92dbc4e2fd35ffa,,,,,,,,,,?,,,,,,,,,,,,
"Lethal Weapon RC1",,25d79f4570fbdae77e93fe842e71c779c4dc82dc,,,,,,,,,,?,,,,,,,,,,,,
"Alien Poker",,264771d9a998b9db28553ab7dde5371727c9d386,,,,,,"(Williams 1980)",,,,?,,,,,,,,,,,,
"Ali 1.0",,264eaadbb19bd372fea07acc1912758ee4546957,,,,,,,,,,?,,,,,,,,,,,,
"Monster Bash b4",,269e3aaa02bc1c31f9f274861643c7f666badc65,,,,,,,,,,?,,,,,,,,,,,,
"Old Faithful",,273f3ec3bea2065f919c46fca34253bd8307652a,,,,,,"(Gottlieb 1949)",,,,?,,,,,,,,,,,,
"Striker RC1",,27725af1538e3aa229eff7e441ee2d831cce8c56,,,,,,,,,,?,,,,,,,,,,,,
"PM Stargate 1.6",,2816c230d2a76ffffb620fccba96823e8d2844e1,,,,,,,,,,?,,,,,,,,,,,,
