"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Mario Clash",,7556a778b60490bdb81774bcbaa7413fc84cb985,,,,,,,1995,Nintendo,"jp,us",!,,,,,,,,,@,,,
@,,7743978a58a27b8e05e36d353439a8b11ead5235,,,"Mario Kart: Virtual Cup",,,,2008,DogP,,,,,,,1,,,,@,,,
@,,77ebaf5dbe667d8347d098b6749b6f3be09f5814,,,"VUE Snake",,,"v1.1 /",2009,"Radke, Christian",,,,,,,,,,,@,,,
@,,788881159b93bd9989727b76310f378487e615e3,,,GoSub,,,"v20090413 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,789de3169911430fb79c92ab843717318b0d1d07,,,GoSub,,,"v20091106 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,7d71edae3bb198959eaf28c739ce80669c4ca3d7,,,Tron,,,v20080501,2008,"Covarrubias, Alberto",,,,,,,1,,,,@,,,
@,,7dc2124fed92cc81610265de670c25f6ecd0b689,,,GoSub,,,"v20090806 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
"Panic Bomber",,80216b2874cf162f301d571bb8aebc98d80b4f3e,,,,,,,1995,Hudson,us,!,,,,,,,,,@,,,
@,,814adb42a7abb93ff410981057a6e365b86686be,,,"Super Fighter Demo",,,,2002,"Radke, Christian",,,,,,,,,,,@,,,
@,,820078a574625d3f0c229e427a15a6ca76da9340,,,"Yeti3D Demo",,,"v20100102 /",2010,"Bergman, Dan",,,,,,,,,,,@,,,
@,,82067d7326c217d3b5bbb09031a1d51fc5811e56,,,"Soviet Union 2011",,,"v1.1 /",2012,"Horvat, Matej",,,,,,,,,,,@,,,
@,,824242813fa762f74ed4b9f2161d523b62c83ded,,,"Mode7 Demo",,,,2009,dasi,,,,,,,,,,,@,,,
@,,8662d41cba9ef508fdc96ed5d3d530f00cc4dbb1,,,"Jack Bros.",,,,1995,Atlus,us,,,,,de,,,,,@,,,
@,,866620c7b6b7c259c331df7ec2e37428696746ab,,,"OBJ SPT Pointer Demo",,,,2003,"Bergman, Dan",,,,,,,,,,,@,,,
@,,8a9364788e0e02d9018cd160a235cab1ad32f388,,,GoSub,,,"v20090715 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,8a9bd07985bb25e9af0047645ba9502483cecf92,,,GoSub,,,"v20090410 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,8ad80e9a985113dc8cf19ad5a28c5001a3f0b397,,,GoSub,,,"v20091006-1 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
"Insane Mouse Mansion",,8bb91e681959207be068796d540120565c174d37,,,"Innsmouth no Yakata",,,,1995,I'Max,jp,b,,,,,,,,,@,,,
@,,8e03fe6dde15f3bb155dbde89a53b360186c4545,,,GoSub,,,"v20091107 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,907a2ffacb122749b7118364306fed107cf608ed,,,GoSub,,,"v20091102 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,92f93201c0ec4dc09cf7bef7c73ce4b653a36eef,,,GoSub,,,"v20090718 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,9326b1fdfc77914d90f4b55d4061373edd9585ea,,,GoSub,,,"v20090505 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,93a1d43dc5c0f045fbe7b9dd9194f29a744e9ca4,,,"VbJAEngine Demo 4",,,,2007,Jorgeche,,,,,,,,,,,@,,,
"Galactic Pinball",,93a25abf4f86e71a49c1c3a470140bb40cb693d6,,,,,,,1995,Nintendo,"jp,us",!,,,,,,,,,@,,,
@,,940785e07f313f7a5e9bfd9f70f8867b85db60f1,,,"Hello, World!",,,"v1.0 /",2002,"Bieler, Amos",,,,,,,,,,,@,,,
@,,94e897227852d76a316d756d1007e07886ede04f,,,"Super Bounce",,,,2010,DogP,,,,,,,,,,,@,,,
@,,96e2c68f91ad7cf36477f154bc99e904e5a5f820,,,"Chrono Trigger Run Demo 2",,,,2009,MrSparkle,,,,,,,,,,,@,,,
@,,9bd0db06a4b7c4475059d9ed86469b1eaba47512,,,"Nester's Funky Bowling",,,,1996,Nintendo,us,b,,,,,,,,,@,,,
@,,9c84f75182f372891d2d41f75a32326e1b17ebeb,,,"Soviet Union 2011",,,"v20111101 / / beta",2011,"Horvat, Matej",,,,,,,,,,,@,,,
@,,a1309b082a2e064e3e8e66aef3be7315aa621424,,,"Panic Bomber",,,,1995,Hudson,us,,,,,,,,,4,@,,,
