"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Yetisports 4: Albatros Overload",,b375dc95205acb254e81cd5fe33fc7b1aeb7b507,,,yetisports4,,,,,,,?,,,,,,,,,,,,
"Abusimbel Deluxe",,b39317867516faa960e2acf0258ad117f2f3c9c3,,,Abusimbel,,,,,,,?,,,,,,,,,,,,
Vocaluxe,,b4b38decfb76c2e98b687f22c3a25a1777c5cf02,,,ges-launch-1.0,,,,,,,,,,,,,,,,,,,
"The Underside",,b4ca647ab9071dc161ed1877cdecb3e32e38c6cf,,,"Almighty Paintbrush",,,,,,,?,,,,,,,,,,,,
"Abusimbel Profanation",,b7ba538b8cdaabb15e1f40bfadf56cb2f36dc474,,,Abusimbel,,,,,,,?,,,,,,,,,,,,
"Crazy Shuffle v0.33",,b7e6316f7885bd07d0f7d5146d38b65aa3a70947,,,"Crazy Shuffle",,,v0.33,,,,?,,,,,,,,,,,,
"Alien 8",,bac0a99655872d8d170d45a39f0e050b41b7a64b,,,Alien8,,,,,,,?,,,,,,,,,,,,
"Chill Out",,bfab3ae374dd918c9115d209139cba5446070b8c,,,ChillOut,,,,,,,?,,,,,,,,,,,,
"7 Servant's Blade v1_15",,c52cf44cb0b363ffd297dc512a8f72152217b493,,,"7 Servant's Blade",,,v1.15,,,,?,,,,,,,,,,,,
"Beeps and Blips",,c905c1589c713764f3dee6b018612f834c29029b,,,,,,,,,,?,,,,,,,,,,,,
"Ancient Evil",,cd37be37a2c6a4eadf69b4bb36f3a5bc8d6b3c3f,,,RPG,,,,,,,?,,,,,,,,,,,,
Vocaluxe,,d12f5c292fc84ba663b805e95c9145e00faf4243,,,gst-launch-1.0,,,,,,,,,,,,,,,,,,,
StepMania,,d4298c1b877a5d72016fe47a760dcbb9d32e13e3,,,,,,,,,,,,,,,,,,,,,,
"Bits and Pieces v1.0",,d54b753ab501c475f112970343a0d41b583c6a8c,,,"Bits and Pieces",,,v1.0,,,,?,,,,,,,,,,,,
"Billy Bob",,d5f1073baca94381796e68a947a51d61e6b687c1,,,,,,,,,,?,,,,,,,,,,,,
"Crazy Power Disc",,d77800a3397512cffd1e8fd5b5d5cba1165b1fd3,,,,,,,,,,?,,,,,,,,,,,,
Vocaluxe,,d7dc8b5a2d783350f573fdbb35b917449e07acaa,,,gdk-pixbuf-csource,,,,,,,,,,,,,,,,,,,
"Streets of Rage Remake v5_1",,da39a3ee5e6b4b0d3255bfef95601890afd80709,,,"Way of the Warrior: Bonus Content 3: UFC Mode Setup",,,,,,,,,,,,,,,,,,,
Vocaluxe,,dd1cd82d0f05ff843974685d833fee304bc5a904,,,glib-compile-schemas,,,,,,,,,,,,,,,,,,,
Sombreros,,dea40d57db78af3d4dca1f69f24648f437995157,,,,,,,,,,?,,,,,,,,,,,,
"Critical Bypass",,df3a65931eb1c0a295fd5fdfe325dcb68f129bbe,,,CriticalBypass,,,,,,,?,,,,,,,,,,,,
1916,,e146f043f5446aca4757037920361a3f89bf22af,,,,,,,,,,?,,,,,,,,,,,,
MUGEN,,e6fbab57e104ce1cd604bf093e00265ef04441db,,,SprMaker,,,2.01beta,2010/06/16,Elecbyte,xw,,,,,,,,,,,,,
"Non Human v0.92",,e9f8a1759e21263a8b96859a1df74649252d7c57,,,Nonhuman,,,,,,,?,,,,,,,,,,,,
"Anarchy v1.1",,ea7124e34334ccd3ac2c6739d6d07a0449a8cb6f,,,Anarchy,,,v1.1,,,,?,,,,,,,,,,,,
Vocaluxe,,f06a32cd64535771ecaf620dae562d333b40fe61,,,gst-typefind-1.0,,,,,,,,,,,,,,,,,,,
"Adagio v3_03",,f3a811202353929ca47dccbb31738e9dfb68c189,,,Adagio,,,v3.03,,,,?,,,,,,,,,,,,
"City of Doom v1.0",,f4527f55089d4879974373a25408356617c4209d,,,"City of Doom",,,v1.0,,,,?,,,,,,,,,,,,
"Alltynex Second v1_02a",,f9a7cc74455a971fa372a56df1675df982d869eb,,,"Alltynex Second: Config",,,,,,,?,,,,,,,,,,,,
"Cirno and Letty's Xmas",,fd3831a47001f491d662062e73e97fcf2bc59bbf,,,x05_cfg,,,,,,,?,,,,,,,,,,,,
"Mash Man v1.0",,fef8f9682eb45b0763e9b47fd6377f8f239cfbe2,,,MashMan,,,,,,,?,,,,,,,,,,,,
"Slashers v0.5a",,ff63704620eca1ea7393cdb12b06418a9289ed6e,,,,,,,,,,?,,,,,,,,,,,,
