"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
@,,2441dcc18125514596c36b7ebc090f3fb3644fdb,,,"Zone of the Enders: The Fist of Mars",@,,"Language en",2002,Konami,eu,,,,,,,,,,,,
"Dragon Ball Z: Taiketsu",,246aa170a59ded56badd22e4327157cd331c5c55,,,,,,"(U) [hI]",,,,,,,,,,,,,,,
"Broken Sword: The Shadow of The Templars",,25c6cf94b1b54a1ac5058460faad00cf93d272f5,,,,,,"(E) (M5) [!]",,,,,,,,,,,,,,,
"Donald Duck Advance",,25d775890227ebc5ab6fd867ee81c02ba716e50e,,,,,,"(E) (M5)",,,,,,,,,,,,,,,
@,,260edf2f12976fa67a4c22e1fb2c3ba8bb74d135,,,"Zoids: Legacy",@,,,2004,"Atari - Tomy",us,,,,1,,,,,,,,
"Tales of the World: Narikiri Dungeon 3",,263b5ba40b1e0afbc2c23f478cc83f794846a47f,,,,,,(J),,,,,,,,,,,,,,,
@,,280212894b6f5a90bb9d8563c61fecd20739d269,,,"Zoids Saga II",@,,,2003,Tomy,jp,,,,,zh,,,,,,,
@,,285d82976abefa9bdb1c0454458d419408aeb545,,,"Zoku Bokura no Taiyou: Taiyou Shounen Django",@,,"v rev0; Language en,ja",2004,Konami,jp,,,,,zh,,,,,,,
"2 Games in 1: Sonic Advance & Sonic Pinball Party",,2872ddc6bf2ead9f08abec66836ff8cb5c9b0909,,,,,,"(E) (M5)",,,,,,,,,,,,,,,
@,,2953f982dfacfc7ac93bc216382f413aad674e21,,,"Zoey 101",@,,"Language en",2007,THQ,"eu,us",,,,,,,,,,,,
"Monster Bass Fishing",,29f65a74f8e06987ce3a3c8c7a3fc6e8a45ed8c2,,,,,,(E),,,,,,,,,,,,,,,
@,,2a9825db34a7aedcfd0a9fae5c7cee50292f03b7,,,"Yu Yu Hakusho: Spirit Detective",@,,,2003,Atari,us,,,,,,,,,,,,
"Pokemon: Ruby Version & Sapphire Version",,2adca0320229d657573a43a983b39d6d872cfb99,,,"Pokemon: Edicion Rubi",,,"(S) (V1.1) [f1]",,,,,,,,,,,,,,,
Snood,,2c09548ae924ac0c1a3e15412d9a7aae7707a753,,,,,,"(U) [!]",,,,,,,,,,,,,,,
"Tales of Phantasia",,2cc3c21c99c48dc445f499e6cc8aa9b90b2c795b,,,,,,"(E) (M5)",,,,,,,,,,,,,,,
"Mario Kart Super Circuit",,2cdfc94cbe7a7f4efe00d98dd33ebb5f50cf91f0,,,,,,"(E) [!]",,,,,,,,,,,,,,,
"Super Mario Advance 4: Super Mario Bros. 3",,2e5ce11a893464dc0cce0a6b451580ba35a7e5de,,,,,,"(E) (V1.1) [o1]",,,,,,,,,,,,,,,
Driven,,2f859f34254d2295c3a3db27aa076121f6db8c27,,,,,,"(U) [hI]",,,,,,,,,,,,,,,
"Tales of the World: Narikiri Dungeon 2",,2feb4cff9485c68758c1fac847c6eb907e747a01,,,,,,(J),,,,,,,,,,,,,,,
@,,307798ca71bda7f6b313ff1c18880f22c5a81711,,,"Breath of Fire II",@,,,2002,"Capcom - Ubi Soft",eu,!,,,,,,,,,,,
"Broken Sword: The Shadow of The Templars",,314eced054604866153883ee20e0966e1443e0d9,,,,,,"(U) [!]",,,,,,,,,,,,,,,
"Fire Pro Wrestling A",,31bdd1b360646d41fb4d11e5bc1338097a928400,,,,,,(J),,,,,,,,,,,,,,,
"Jimmy Neutron: Boy Genius",,31ed7659e2e072d1c00baf95c0ee9c770e949900,,,,,,"(U) [!]",,,,,,,,,,,,,,,
"Mario Golf: Advance Tour",,327e98d9e48b88eaa8feb48df54e5411f71807db,,,,,,(G),,,,,,,,,,,,,,,
"Chu Chu Rocket",,34f3066bc8dbd3f046e43db01476f87e64dcc38b,,,,,,"(E) (M5) [!]",,,,,,,,,,,,,,,
"Monster Guardians",,350351b03349728a8ff0a5b0985ad62df7baacc9,,,,,,(J),,,,,,,,,,,,,,,
"Angel Collection 2: Pichimo ni Narou",,3619766cedf93045a9213b0d251a169439990cf1,,,,,,(J),,,,,,,,,,,,,,,
"2-in-1: Dragon Ball Z Gamepack: Buu's Fury & GT: Transformation",,3733adaff49866a8fe01e23526f4f52ca39cbf58,,,,,,(U),,,,,,,,,,,,,,,
"Street Fighter Alpha 3",,3816bd6f4cdcf414f51b94717ea8860188ee111f,,,,,,"(E) (M3) [hI]",,,,,,,,,,,,,,,
@,,38226dc5e368e24a05d863f086d3a1e3d225b5e4,,,"Legend of Zelda, The: Fushigi no Boushi",@,,,2004,Nintendo,jp,,,,,,,,,2,,,
"Doom II",,38c7bafdc2e6d7b9700385c01fbef6b6888e4a33,,,,,,(E),,,,,,,,,,,,,,,
"King of Fighters EX2, The: Howling Blood",,38fec1391a0ff02f19c10cacf8e61414c640beba,,,,,,"(U) [a1]",,,,,,,,,,,,,,,
"Sword of Mana",,390dff3ec37d24a5d00165deb17eb64c0ace32b1,,,,,,"(E) (M2) (It-Sp)",,,,,,,,,,,,,,,
"Breath of Fire II",,3a769b7c93688b9c38c3d8eeda6ebf1e7b9f82be,,,,,,"(U) [hI]",,,,,,,,,,,,,,,
@,,3a7fceffa1405640fe4606e006d272d1af542f2b,,,"Yu-Gi-Oh!: World Championship Tournament 2004",@,,,2004,Konami,us,,,,,,,,,,,,
"Dave Mirra Freestyle BMX 2",,3b86100fce6fda95b46c0d9e02d08052e69c2c2c,,,,,,"(U) [!]",,,,,,,,,,,,,,,
@,,3bb7f97ada7d60d8d334b271084effd1db853b32,,,"Legend of Zelda, The: A Link to the Past: Four Swords",@,,,2003,Nintendo,eu,!,,,,,,,,,,,
"Ecks vs. Sever",,3c3793b85733b427816495e01ba51cdec2c0647d,,,,,,"(U) (M5) [hI]",,,,,,,,,,,,,,,
@,,3ded1227698fbdb2ba47f03025cd1934fc184b99,,,"Yu-Gi-Oh!: Dungeon Dice Monsters",@,,,2003,Konami,eu,,,,,,,,,,,,
"Super Street Fighter II Turbo: Revival",,3ebfdcea237844b027c05080f5fb175d7809876f,,,,,,"(E) [!]",,,,,,,,,,,,,,,
"Game Shark GBA",,3fc60fa1b564afcc6f70e3b8a106158e03bbb463,,,"Action Replay",,,"(E) (M4)",,,,,,,,,,,,,,,
"Mario Pinball Land",,3fdcd3bb30d61b4dd6829dbdc1a0ac116618b87d,,,,,,(U),,,,,,,,,,,,,,,
@,,404edc3d6ef65055b65b7fb4e9622d1fc586edf4,,,"Worms Blast",@,,,2002,"Team17 - Ubisoft",eu,b,"b 1",,,,,,,,,,
"Mortal Kombat: Tournament Edition",,405be6e00eabdef9d5600341ac5d2854d38002b3,,,,,,"(U) (M5) [hI]",,,,,,,,,,,,,,,
"Harry Potter and The Sorcerer's Stone",,40d3f693e444192c94a0ff3cd9ed5f64162ac777,,,,,,"(UE) (M12) [!]",,,,,,,,,,,,,,,
@,,40d9e41d715ee54d395e02aff153cfc2355e28ab,,,"Zone of the Enders: The Fist of Mars",@,,,2002,Konami,us,,,,,,,,,1,,,
"Batman: Vengeance",,413d18ee8a41e4b5051ea5bed343edf8e52eeee2,,,,,,(E),,,,,,,,,,,,,,,
"Altered Beast: Guardian of the Realms",,4178bc2c89187dce127ab64dac2becf99fed0679,,,"Altered Beast: Guardian of the Realms",,,,2002,"Infogrames - Sega",eu,!,,,,,,,,,,,
@,,41c1d98287ac350a1a673a41fef8e40fdf56c9e2,,,"Worms Blast",@,,,2002,"Team17 - Ubisoft",eu,b,"b 2",,,,,,,,,,
@,,42501ed8395dfcc87cc112d20183a9394d0b232f,,,"Zero One",@,,,2003,Fuuki,jp,,,,,,,,,,,,
"Dragon Ball Z: The Legacy of Goku II",,426f11dafa52d5d68e1c12bba34a9836682e3628,,,,,,"(E) (M5) [hI][f_5]",,,,,,,,,,,,,,,
"Army Men Advance",,43cd22c8e5832790b0cdbdcf0e11859021747342,,,,,,"(UE) (M5) [!]",,,,,,,,,,,,,,,
"Castlevania: Circle of the Moon",,45070d7237f6c71306d83c1e7353f50205d9233e,,,"Akumajou Dracula: Circle of the Moon",,,"(J) [!]",,,,,,,,,,,,,,,
@,,460fa2158606097f6e6f63ce966d2d6ecdd58d70,,,"Zoids: Legacy",@,,,2004,"Atari - Tomy",us,,,,,,,,,,,,
@,,4643aa187993460a0e80923dc97532f761e7ae90,,,Zapper,@,,,2002,Infogrames,us,,,,,,,,,1,,,
"Star Wars: Episode II: Attack of The Clones",,469d32d6f0ec58f71cdf120bc85b9f18c04fd396,,,,,,"(E) (M5)",,,,,,,,,,,,,,,
"International Superstar Soccer",,47aa3cdb332b99df5ecc4c2cdc4d7be97cdc9043,,,,,,"(E) [f1]",,,,,,,,,,,,,,,
@,,48c85734164d4d83a232b5aca6bb9a2c5b7f5317,,,"King of Fighters EX, The: NeoBlood",@,,,2002,"BigBen - Sammy",eu,!,,,,,,,,,,,
@,,48f9f96375814e0daa58482e38d6bfaa65b83d3f,,,"Zoku Bokura no Taiyou: Taiyou Shounen Django",@,,"v rev0; Language en,ja",2004,Konami,jp,,,,,,,,,3,,,
"Final Fantasy V Advance",,492789276eaa3e94152b143ad92f310b8a3d5366,,,,,,(U),,,,,,,,,,,,,,,
"Star Wars: The New Droid Army",,4966ce40938df2b0ffd262c6aa6c4461b9fa8922,,,,,,"(E) (M4)",,,,,,,,,,,,,,,
"Final Fantasy Tactics Advance",,4ac05441f4de70a4ec3dd932116346c61b8783d9,,,,,,"(U) [!]",,,,,,,,,,,,,,,
"Star Wars: Episode III: Revenge of the Sith",,4ba5e5a6174bad9369f088f801c743f88616c5f4,,,,,,(E),,,,,,,,,,,,,,,
