"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Urban Strike",,2d33d049a7f3dcde8c4f294cca5597ca590bb407,,,,,,,1995,"Electronic Arts | THQ",us,!,,,,,,,,,,,,
"Putt & Putter",,2d4a72e6f5db344240c2a65141b08e57a4b52416,,,,,,,1991,Sega,jp,?,,,,,,,,,,,,
"Shining Force II: Sword of Hajya",,2dd374db661315e51e9eedebf346a5a4ded0c3be,,,"Shining Force Gaiden II: Jashin no Kakusei",,"Shining Force Gaiden 2 - Jashin no Kakusei",,1993,Sega,jp,?,,,,,,,,,,,,
"GG Shinobi",,2e7303f82d885cb84fa557e211954808c8ebe779,,,"The GG Shinobi",,"GG Shinobi",,1991,Sega,eu-us,!,,,,,,,,,,,,
"Paperboy 2",,2fa97c21bfd9d3968c473b6fa4fb7485b6dfb35d,,,"Paperboy II",,"Paperboy 2",,1992,"Atari | Tengen",xw,!,,,,,,,,,,,,
"Tintin in Tibet",,2fdf4a953b53578befd69e9477ac6148cfa1c67c,,,,,,,1995,Infogrames,eu,!,,,,,,,,,,,,
"Star Trek Generations: Beyond the Nexus",,307e4956fd0d50f3732215574957b040937bbfca,,,"Star Trek: Generations: Beyond the Nexus",,,,1994,"Absolute Entertainment",eu-us,!,,,,,,,,,,,,
"!Public Domain",,30810e6dde003384b33123ca07a35de8def0468b,,,"Shadow of the Beast Audio Demo",,,v1.8,2001,"Konrad, Martin",,?,,,,,,,,,,,,
"Evander Holyfield's 'Real Deal' Boxing",,3093d6e6e332c864da8473ac2eab7d17eb65b523,,,"Evander Holyfield Boxing",,,,1992,"Novotrade | Sega",eu-us,!,,,,,,,,,,,,
Lemmings,,31b9926efff652151c8390529fc2c8a211aafb0b,,,,,,Beta,1992,"Probe | Psygnosis | Sega",xw,!,,,,,,,,,,,,
"Mortal Kombat II",,320d2b8b62ef0109621bbe609b02bd8b0769a0b9,,,,,,,1994,"Acclaim | Midway | Probe",xw,?,,,,,,,,,,,,
"Addams Family",,3231d574e5eb0ac3a77b1d65d74f3a581819a9c7,,,,,,,1993,"Acclaim | Flying Edge",eu-us,!,,,,,,,,,,,,
"World Series Baseball",,333dd99f11781d6de5720043530a460a409d652b,,,,,,v1,1993,Sega,us,!,,,,,,,,,,,,
"Last Action Hero",,340e0e8ab5b4e89f6d56bc30cabf8322e79b2347,,,,,,,1993,Sony,eu-us,!,,,,,,,,,,,,
"PGA Tour Golf",,34a2b521c4577e4d1699311365722745d62f10aa,,,,,,v0,1993,"Electronic Arts | Polygames | Tengen",eu-us,!,,,,,,,,,,,,
"Dynamite Headdy",,35a62c953b5dbca2318a224bd374e3b3a95195db,,,,,,,1994,"Sega | Treasure",jp,b,,,,,,,,,,,,
"Ecco the Dolphin 2: Tides of Time",,36095f4c92f6f66ed6bc20d9b96227d6fb0dae5b,,,"Ecco II: The Tides of Time",,"Ecco 2 - Tides of Time",,1994,"Novotrade | Sega",jp,!,,,,,,,,,,,,
"Spider-Man: Return of the Sinister Six",,37e2b3fd35138e9e939d5152d86e307f7ac06f7e,,,,,,,1992,"Acclaim | BITS | Flying Edge",xw,?,,,,,,,,,,,,
"Super Space Invaders",,3864c399f76e67ae4ff40d32a60c36ad16578988,,,,,,,1991,Domark,xw,?,,,,,,,,,,,,
"Taz in Escape from Mars",,3a093b5956f03a49ab755df20807cce58edd7cc1,,,,,,,1994,Sega,eu-us,?,,,,,,,,*,,,,
"Sonic Drift 2",,3aaa82cb22b3685d85c007817765aa508cadca40,,,,,,,1995,Sega,jp,b,,,,,,,,,,,,
"PGA Tour Golf II",,3bb28c3fcd7c9f9ad7165e24425de47c0f45ee1d,,,,,,,1993,"Time Warner Interactive",eu-us,b,,,,,,,,,,,,
"Psychic World",,3be13f79eeb26b82343afab3e740b3a1d35978eb,,,,,,v1,1991,Sega,xw,!,,,,,,,,,,,,
"Iron Man X-O Manowar in Heavy Metal",,3da4166c88ee24ab86a18554ae7c5ee7bce42f11,,,,,,,1996,Acclaim,xw,?,,,,,,,,,,,,
