"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
@,,0087f6c2609f2b9d89fac3d38124b156070a5257,,,"New Power Generation Demo CD 09",@,,,19xx,"New Power Generation",@,,,,,,,,,,,,
@,,00886d69ade66481ebb8ce394f69a731fdeca30e,,,Cyberscape,@,,,1987/10,"Antic Software",us,a,"a 80 tracks; [1MB]",,,,,,,,,,
@,,0088aaa36d18fdc6e5ed600266a0bd5c8ef7b366,,,"Floppyshop Sound 0166",@,,,19xx,Floppyshop,@,,,,,,,,,,,,
@,,008a69e6c14a8ae0b4b217c09306e3b4c045276d,,,"Fernandez Must Die",@,,,1988,"Image Works",@,,,,,,,"Axel Follet",,,,,
@,,008acb8fde4c3a4b6cbfe678de33c1920e8fe41e,,,"SuperGAU Compilation 488",@,,,19xx,SuperGAU,@,,,,,,,,,,,,
@,,008b81badd4ff02d7b5aebe9431c49ec0b386a34,,,"Intro&Demo Compil 4",@,,,19xx,@,@,,,,,,,,,,,,
@,,008c7ee1bc7d59bb4cb51a7056a897c15368b996,,,"Winter Supersports",@,,,1992,Flair,@,o,"o ne disk",,,,,Cynix,,,,,
@,,008dec5ae55814e23eb5079197682ebd8132dd08,,,"Poolware 2298",@,,,19xx,Poolware,@,,,,,,,,,,,,
@,,0091cc6e23693f764c1d67cc05be5cc22f15627c,,,"Cobra 092",@,,,19xx,Cobra,@,,,,,,,,,,,,
@,,0093ccd9bb89ec9eb03783f812ac90587786e04b,,,"Delta Labs 048",@,,,19xx,"Delta Labs",@,,,,,,,,,,,,
@,,0097059fac4358ada940bb78bff411b08a08bfd2,,,"Persistance of Vision 133",@,,,1993,POV,@,a,"a 1",,,,,,,,,,
@,,00978192fb5169580be0c464879d42cf50a8524b,,,"Nothing Personal 01",@,,,1991/04/06,"Nothing Personal",@,,,,,,,,,,,,
@,,0099aa434a64277a289d73fdda9fd5efcd23b873,,,"Automation Menu Disk 187",@,,,19xx,Automation,@,,,,,,,,,,,,
