"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,060b1823cf725c4bf61ca3aee1373426257d5ea7,,,"Tycon Tex Classic",@,,,1985,Gremlin,@,,,,,,,,,,,,,
@,,061741d07c7b5a358a69e5b4a47b498bc6f1378b,,,"Recall Collection 445",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
"King of Kings, The",,0623d476a79f0c9755864b3b806229d03312fb78,,,"The King of Kings",,"King of Kings, The",,1989,"Ott, Hartmut",,,,,,,,,,,,,,
@,,062dd0b747157f9b95b19000b53f3fddf1c5633d,,,"Recall Collection 649",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Jetbrix,,06366c1cdf35635af50947ccf5e1809a01d6d0db,,,,,,,1986,"Gremlin Graphics",,,,,,,,,,,,,,
Very_Shit_Game_2,,06409abd3ad16343ca5301b7f6d2bcbefd78e99c,,,,,,,,,,,,,,,,,,,,,,
@,,066e795750330a3316f966b125a33f581455ce90,,,"Soft 80",@,,,1987,Kingsoft,de,,,,,,,Ghostware,,,,,,
Ehes_Beka,,067ce5ea0b34b15a8edc6886cf4b768502fccec9,,,,,,,,,,,,,,,,,,,,,,
@,,068ecdb76f0bf20baac9ea0dbc28991c9adbf699,,,"Recall Collection 051",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Droid,,0693e9481ce19d8c52136b0790a38411455ce1f5,,,,,,,,,,,,,,,,,,,,,,
@,,06bc2f5d397a815329ff1cc85c76a35a18004b1a,,,"Solo Spriter 2",@,,"Copyright Freeware",19xx,@,@,,,,,,,,,,,,,
Reach_For_The_Sky_,,06cc458f9fd53ee7bbc0efb2b092c6cf14007196,,,,,,(bad_chars)_Sys8192,,,,,,,,,,,,,,,,
@,,06e55a22bc196c3777ebda466898cf0aa6238158,,,"Range Ball",@,,,19xx,@,@,,,,,,,,,,,,,
@,,06e891b1e55bdb847a7c2635bc07f33a063f77fa,,,"Recall Collection 039",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,06f3dce498c9937803848f18b6709d6bbd65bdb0,,,"SCN News #12",@,,"Language hu",19xx,@,@,,,,,,,,,,,,,
@,,0704b4299660e140ad85ed6f4787f82db98c1b52,,,"Lotus 123",@,,"v 1.3; Copyright Freeware",1992,TLC,de,,,,,,,,,,,,,
Magic_Ball,,0728ab8c8a241432a0bcf5969a6774114a406a7f,,,,,,,,,,,,,,,,,,,,,,
@,,07296ac5316f0467697d5225b32fb51a04acf971,,,"Recall Collection 099",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,0729f140134ce9ab6f55b15724b06a58d6835871,,,"Recall Collection 108",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
"Adventures Dream",,072d04398b4f64e94b0b65e4ea43aad94504086f,,,,,,"Copyright Freeware",19xx,"HSO Software",de,,,,,,,,,,,,,
@,,0739d0e3573489cff2fb8770537a0da8458b13b1,,,"Recall Collection 334",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,073c5cc5c636e54b3cef9315f25cf14748badc7f,,,"Russian 3+1",@,,"Copyright Freeware",1991,Litwr,ru,,,,,,,,,,,,,
Dex,,07466a6edfe0497a37514f7be3fa081c740c7204,,,,,,"Language hu",1989,Novotrade,,,,,"+1 TTS",,,TTS,,,,,,
@,,074d973a3ee761651ddf2e725fcdbcab75162e3e,,,"Star Trader",@,,,19xx,@,@,,,,,,,,,,,,,
"Footballer Of The Year",,0760a2dc097f4bf8de8e642293552e5ac3295881,,,,,,,1986,"Gremlin Graphics",,,,,,,,,,,,,,
@,,0789382d78101d5be252d4a9ff7d1aa3d51ace5a,,,"Recall Collection 109",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,07a7371a50e21e9933fb36378c6b7caeb0bbf614,,,"Recall Collection 363",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,07fce3bed82e7523b9d76333f94db0c7e6a24ed2,,,"Purple Turtles",@,,,1984,CBM,@,,,,,it,,,,1,,,,
@,,0805bf2be8b2233efde11773d4ce9af43725ff2b,,,"Recall Collection 088",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Xzap,,0828f90373ca58a5952c861eadb64aa091097f19,,,,,,,1984,CBM,,,,,,,,,,,,,,
@,,082ecf2c14d8e228761b6b777d8fd41c92816915,,,"Recall Collection 036",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
U-jaeger_Sys20480,,0833c82ba2c79a19edf1da122b5c6bcf1ad45ab4,,,,,,,,,,,,,,,,,,,,,,
