"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Pinball Challenge",,9267d85982414af753172e4c9998863463c32c99,,,,,,,1978,Fairchild,,?,Fairchild-17,,,,,,,,@,,,
"!Public Domain",,94c1920dd9ca875d60f75c8e6669ea99df8ea687,,,Pac-Man,,,v10292004-b14,2004,"Blackbird | e5frog",,?,,,,,*,,,,@,,,
"Slot Machine",,97e12dba298460ce466509e9aefb82fe2503ef6f,,,,,,,1978,Zircon,,?,Zircon-22,,,,,,,,@,,,
Tetris,,98f73b2119ec2195117c6fcd290d8eb2d6410907,,,,,,,2004,"Trauner, Peter",,,,,,,*,,,,@,,,
"Acey-Ducey | Backgammon",,9ac23df58c95bdbe68e3a0d0a477f07cd4e951d0,,,,,,,1977,Fairchild,,?,Fairchild-11,,,,,,,,@,,,
Spitfire,,9af18e7fa3b2d040f33cbe2286392ce5fe31d0df,,,,,,,1976,Zircon,,?,Fairchild-04,,,,,,,,@,,,
Baseball,,9b0c9bd3e52da22ca7f2aab6fbb5f3c24f89ef75,,,,,,,1977,Fairchild,,?,Fairchild-12,,,,,,,,@,,,
"Pro Football",,9be97cace9b99f15a373bd95f3996034d633fff5,,,,,,,1978,Zircon,,?,Zircon-24,,,,,,,,@,,,
"Sonar Search",,a15449eec75382af6dd71e766cae1171308d192c,,,,,,,1977,Fairchild,,?,Fairchild-14,,,,,,,,@,,,
@,,a39a0a9333c6427a1d3a4d6a7e5be6bf404cc84a,,,Pac-Man,,,@,2004,"Blackbird | e5frog",@,@,@,@,@,@,*,@,@,@,@,,,
"Blind Man's Bluff | Jailbreak | Maze | Trailblazer",,a7b70fb6f24bb1dd79f2cbb1e57b3edb04332e04,,,,,,Newer,1977,Fairchild,,?,Fairchild-10,,,,,,,,@,,,
@,,a935fe5d2db2be0d64b5982d246dd35ed1625703,,,FNiNJA,,,@,2008,"Baron Knoxburry",@,@,@,@,@,@,@,@,@,@,@,,,
@,,ab29399f2cf1c05023b35e6b46cc5197bb486dfc,,,Pac-Man,,,@,2004,"Blackbird | e5frog",@,@,@,@,@,@,*,@,@,@,@,,,
